SAMPLES,GEBVs(BC),ACTUAL
15062362,94.866,94
15061954,94.514,94
15062339,94.459,95
15061482,94.16,94
15062104,94.132,94
15061707,93.694,96
15061567,92.335,94
15061964,95.141,94
15061488,86.949,94
15061438,86.949,48
15061814,91.641,94
15061721,94.226,96
15061601,94.905,96
15061719,95.139,96
15061629,93.56,96
15061477,94.602,94
15061761,95.187,95
15061336,93.484,94
15061386,93.199,96
15061305,93.39,94
15061676,94.863,96
15061523,94.659,94
15061763,93.805,96
15061385,94.587,94
15062133,95.891,95
15061333,94.32,96
15061627,93.239,96
15061731,86.949,96
15061641,91.695,96
15061330,90.921,94
15061626,93.63,96
15062147,95.078,96
15061487,95.078,96
15060536,94.144,95
15061261,95.072,95
15061389,86.959,94
15060101,95.111,95
15061397,94.586,96
15061551,94.351,94
15061539,94.582,96
15062115,94.102,94
15061361,94.837,96
15061669,93.565,96
15062359,94.786,94
15061690,86.945,94
15061308,86.963,95
15062372,95.045,96
15061342,94.833,96
15061281,94.622,96
15061932,94.686,94
15061370,94.561,96
15061630,94.648,96
15061789,94.179,94
15061666,94.618,94
15062143,94.231,94
15061297,95.101,96
15061907,95.057,48
15061538,94.549,94
15062371,94.725,96
15061685,94.284,96
15062081,92.26,96
15061969,94.989,94
15061498,88.065,96
15061271,88.889,96
15062344,92.819,96
15061279,94.261,39
15062144,94.591,96
15061722,94.301,94
15061768,94.625,96
15061557,95.002,95
15061434,95.127,96
15060072,94.69,95
15061405,95.411,94
15062052,94.418,95
15062098,94.551,94
15061916,94.891,96
15061377,95.034,94
15061633,94.366,94
15061702,94.141,96
15061614,95.496,96
15061368,93.243,96
15061520,93.626,94
15060082,93.747,94
15061656,95.549,95
15061331,93.344,96
15061327,95.088,96
15062074,91.339,94
15061300,94.162,94
15061776,94.274,96
15061462,95.306,96
15061302,93.712,94
15061957,94.136,96
15061514,95.044,96
15060909,94.822,94
15062063,94.826,94
15060090,94.708,95
15061301,92.535,36
15061423,94.34,94
15061453,94.114,94
15060215,95.433,95
15062119,94.102,94
15061537,95.202,94
15061667,94.316,96
15062123,94.978,96
15061710,94.644,96
15061258,94.89,95
15061443,94.172,94
15060050,94.706,95
15060110,94.542,95
15062053,94.676,95
15061764,94.904,96
15061799,93.755,95
