SAMPLES,GEBVs(BA),ACTUAL
15062362,26.012,47
15061954,33.187,35
15062339,40.087,47
15061482,38.936,42
15062104,14.061,36
15061707,18.186,43
15061567,36.991,47
15061964,27.233,29
15061488,20.435,11
15061438,20.505,8
15061814,30.473,29
15061721,30.969,28
15061601,26.399,8
15061719,27.202,33
15061629,35.143,41
15061477,22.677,8
15061761,26.75,32
15061336,24.737,23
15061386,17.202,16
15061305,26.737,41
15061676,26.12,32
15061523,16.84,16
15061763,29.93,22
15061385,17.169,11
15062133,25.525,29
15061333,30.859,8
15061627,32.75,32
15061731,20.385,43
15061641,30.635,28
15061330,18.821,35
15061626,27.43,8
15062147,28.47,37
15061487,19.997,16
15060536,41.022,32
15061261,33.266,41
15061389,20.376,11
15060101,27.108,26
15061397,17.597,26
15061551,39.215,41
15061539,17.271,35
15062115,35.048,42
15061361,26.145,28
15061669,39.181,47
15062359,36.68,47
15061690,20.097,8
15061308,20.383,8
15062372,28.983,16
15061342,26.477,29
15061281,30.812,37
15061932,39.262,42
15061370,33.154,37
15061630,17.11,11
15061789,38.957,41
15061666,15.898,36
15062143,34.879,32
15061297,19.347,8
15061907,46.176,42
15061538,17.557,11
15062371,30.852,35
15061685,35.328,32
15062081,19.51,19
15061969,35.097,41
15061498,20.966,8
15061271,32.438,11
15062344,20.023,29
15061279,26.382,29
15062144,17.312,16
15061722,31.237,19
15061768,26.036,33
15061557,32.528,35
15061434,28.536,29
15060072,35.023,40
15061405,29.056,36
15062052,32.784,39
15062098,33.385,28
15061916,26.465,19
15061377,33.037,47
15061633,31.339,36
15061702,17.961,42
15061614,29.308,28
15061368,17.46,24
15061520,35.956,28
15060082,30.899,42
15061656,34.251,36
15061331,31.411,35
15061327,32.977,37
15062074,30.205,41
15061300,35.487,42
15061776,38.832,47
15061462,36.071,47
15061302,19.846,11
15061957,33.84,32
15061514,33.061,37
15060909,39.217,35
15062063,26.13,19
15060090,31.27,36
15061301,33.706,32
15061423,29.854,29
15061453,35.199,8
15060215,29.883,36
15062119,13.772,8
15061537,26.815,29
15061667,35.633,28
15062123,37.8,35
15061710,17.388,8
15061258,27.989,11
15061443,39.237,47
15060050,31.643,28
15060110,16.9,16
15062053,34.357,35
15061764,16.868,35
15061799,29.433,34
