"GSCORE","TRAIT","LGSCORE","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC","TOOLS"
0.984,"CPFlor.H",0.985,"additive",1.021,"c1_7964","2",38139240,9.1201083935591e-07,6.04,4.9,TRUE,107,1,0.979,"GW,GP,TS,SH"
0.975,"CPulpa.C",0.975,"additive",1,"c1_7874","2",43712601,4.57088189614875e-07,6.34,4.9,TRUE,81,1,1,"GW,GP,SH"
0.96,"CPFlor.H",0.96,"additive",1.021,"c1_15481","2",36573477,3.89045144994281e-06,5.41,4.9,TRUE,81,1,0.979,"GW,GP,SH"
0.957,"CPBrote.H",0.959,"additive",0.942,"c2_49812","11",39731161,1.16842611278146e-05,4.932399,4.896857,TRUE,105,1,0.942,"GW,GP,TS,SH"
0.954,"CPBrote.L",0.954,"additive",1.03,"c1_5940","11",29258142,8.128305161641e-07,6.09,4.9,TRUE,81,1,0.97,"GW,GP,SH"
0.954,"CPBrote.L",0.954,"additive",1.03,"c1_5936","11",28989434,1.34896288259165e-06,5.87,4.9,TRUE,81,1,0.97,"GW,GP,SH"
0.935,"CPulpa.L",0.935,"additive",1.057,"c2_47202","2",44641059,5.24807460249772e-06,5.28,4.9,TRUE,81,1,0.943,"GW,GP,SH"
0.934,"CPBrote.H",0.934,"additive",0.942,"c1_11237","11",13277951,4.75986088574658e-06,5.322406,4.896857,TRUE,81,1,0.942,"GW,GP,SH"
0.918,"CBaya.H",0.921,"additive",1.113,"c2_25654","3",47133200,4.05004388463372e-05,4.39254,4.269046,TRUE,105,1,0.887,"GW,GP,TS,SH"
0.889,"CSTuber.H",0.889,"additive",1.123,"c2_13627","11",38340269,1.94984459975805e-07,6.71,4.9,TRUE,81,1,0.877,"GW,GP,SH"
0.889,"CSTuber.H",0.889,"additive",1.123,"c2_48483","12",6430215,1.12201845430196e-05,4.95,4.9,TRUE,81,1,0.877,"GW,GP,SH"
0.872,"CSTuber.H",0.872,"additive",1.147,"c2_28697","10",59979246,3.53993050669137e-06,5.451005,4.896857,TRUE,81,1,0.853,"GW,GP,SH"
0.871,"CTallo.H",0.871,"additive",0.851,"c2_27439","2",34015955,1.22782947713179e-05,4.910862,4.896857,TRUE,81,1,0.851,"GW,GP,SH"
0.843,"CTallo.C",0.843,"additive",0.811,"c1_11459","2",45124985,1.10650328656033e-05,4.956047,4.896857,TRUE,81,1,0.811,"GW,GP,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_15047","2",43187165,0.00257039578276886,2.59,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_11211","4",59858990,0.00331131121482591,2.48,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_513","7",37737782,0.00776247116628692,2.11,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_686","1",14805485,0.00851138038202377,2.07,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_39450","4",61191297,0.0123026877081238,1.91,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_44305","8",42730406,0.0173780082874938,1.76,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_28521","8",50650372,0.0234422881531992,1.63,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_44304","8",42730417,0.0239883291901949,1.62,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_54204","8",3526746,0.0338844156139203,1.47,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_7192","10",58252277,0.0380189396320561,1.42,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_27903","1",7192782,0.0426579518801593,1.37,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_23139","2",29015208,0.0457088189614875,1.34,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_48184","8",44057388,0.0467735141287198,1.33,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_4847","2",43151687,0.0478630092322638,1.32,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
