SAMPLES,c1_15909,c1_4206,c1_4238,c1_4243,c1_9695,c2_10615,c2_10690,c2_12976,c2_13133,c2_13177,c2_13180,c2_17938,c2_35053,c2_35101,c2_44816
15061942,3,4,4,2,1,3,1,2,0,0,0,4,0,4,3
15061763,4,3,4,2,2,4,0,1,0,0,0,3,0,4,2
15061801,2,3,2,4,2,4,0,4,2,2,2,2,2,4,2
15061494,4,4,4,1,2,4,0,3,0,0,0,4,2,3,4
15061613,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15062137,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061319,3,4,4,2,1,3,1,2,0,0,0,3,1,3,1
15062142,2,2,2,3,2,2,1,4,2,2,2,3,1,3,1
15060320,3,4,4,3,1,4,0,2,0,0,0,3,0,4,2
15061768,3,3,3,3,0,3,1,2,1,1,1,3,1,4,2
15061522,3,3,3,3,0,4,0,2,1,1,1,4,2,3,3
15060081,3,4,4,2,2,3,1,2,0,0,0,3,2,3,1
15061656,4,4,4,2,2,4,0,1,0,0,0,3,2,2,3
15061759,4,4,4,3,2,3,1,2,0,0,0,4,2,3,3
15061928,3,4,4,2,4,3,1,4,0,0,0,4,1,3,1
15061454,4,3,3,3,1,3,1,3,1,1,1,4,2,4,3
15061605,3,3,2,4,2,4,0,1,2,2,2,4,2,4,2
15060087,3,3,3,3,1,3,1,2,1,1,1,4,0,4,1
15061619,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15060090,4,3,3,4,3,4,0,2,1,1,1,3,1,4,2
15061731,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061655,4,4,4,2,2,4,0,2,0,0,0,4,3,3,1
15061661,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15061499,3,4,4,1,2,3,1,1,0,0,0,3,2,3,0
15061647,3,4,4,2,1,3,1,2,0,0,0,3,1,3,1
15061612,4,3,4,1,3,4,0,2,0,0,0,3,1,4,2
15061742,3,4,4,1,1,3,1,1,0,0,0,3,2,3,0
15061710,4,3,3,3,1,3,1,1,1,1,1,4,2,3,3
15062372,3,4,3,3,2,1,1,3,1,1,1,3,1,4,1
15061583,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15061767,4,3,3,2,1,4,0,2,1,1,1,3,2,3,2
15062130,3,4,4,2,1,3,1,1,0,0,0,2,2,3,1
15061637,3,4,4,2,2,3,1,2,0,0,0,3,1,3,1
15061337,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15062104,3,3,3,2,1,3,1,2,1,1,1,4,1,4,2
15061579,4,4,4,2,2,4,0,0,0,0,0,4,2,3,1
15061932,3,3,3,4,1,3,1,2,1,1,1,3,1,4,2
15061603,3,3,3,3,1,3,1,2,1,1,1,4,0,4,1
15060025,3,4,4,2,2,3,1,2,0,0,0,3,1,3,1
15061704,3,4,4,2,1,3,1,2,0,0,0,3,1,3,1
15061334,4,2,3,3,0,3,1,3,1,1,1,3,1,4,0
15061631,4,3,3,3,1,3,1,1,1,1,1,4,2,3,3
15060964,3,3,4,1,0,4,0,2,1,0,0,4,2,3,3
15061778,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061718,4,3,3,3,1,3,1,3,1,1,1,4,2,4,3
15061486,4,3,4,2,2,4,0,3,0,0,0,3,2,3,4
15060214,4,4,4,2,2,2,2,3,0,0,0,4,0,4,2
15061333,3,4,4,3,1,3,1,2,0,0,0,2,1,3,2
15061962,3,3,3,4,1,3,1,2,1,1,1,3,1,4,2
15061624,3,3,3,3,1,3,1,2,1,1,1,4,0,4,1
15061282,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15061529,4,3,3,3,1,4,0,2,1,1,1,3,1,4,3
15061935,3,3,3,4,1,3,1,2,1,1,1,3,1,4,2
15061568,4,4,4,3,1,3,1,4,0,0,0,3,1,4,2
15061491,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061318,3,3,3,4,1,4,0,3,1,1,1,3,0,4,2
15061361,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15061515,4,3,3,3,1,3,1,2,1,1,1,3,1,4,0
15062123,3,4,4,1,1,3,1,1,0,0,0,3,2,3,0
15061358,3,4,4,2,2,3,1,2,0,0,0,3,1,3,1
15061428,2,2,3,4,0,3,1,2,1,1,1,4,0,4,2
15061496,4,3,3,3,2,3,1,2,1,1,1,4,2,3,3
15061648,3,4,4,3,1,3,1,3,0,0,0,4,2,3,1
15061808,2,3,2,4,2,4,0,3,2,2,2,2,2,4,2
15061600,4,3,3,4,0,3,3,4,1,1,1,4,3,4,2
15061730,3,4,4,3,1,4,0,1,0,0,0,3,2,3,3
15061623,3,4,4,2,2,3,1,2,0,0,0,3,1,3,1
15061405,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15061299,4,3,4,4,2,4,0,2,0,0,0,3,2,3,2
15061578,3,3,3,2,1,3,1,2,1,1,1,4,1,4,2
15061476,4,3,3,4,1,3,1,3,1,1,1,3,0,4,2
15061765,4,3,3,3,1,4,0,2,1,1,1,3,1,4,3
15062111,2,4,4,2,2,3,1,2,0,0,0,3,1,3,1
15061397,3,3,3,3,1,3,1,2,1,1,1,4,0,4,1
15061713,3,4,4,2,1,3,1,2,0,0,0,3,1,3,1
15061584,4,3,3,2,4,4,0,2,1,1,1,4,1,4,0
15061912,4,4,4,3,1,4,0,1,0,0,0,4,2,3,2
15061260,3,4,4,2,1,3,1,2,0,0,0,3,1,3,1
15062099,3,3,3,4,1,4,0,2,1,1,1,2,2,4,2
15061350,3,4,4,2,1,3,1,4,0,0,0,3,1,4,2
15060933,3,4,4,3,3,4,0,3,0,0,0,3,2,3,2
15061548,3,4,4,2,2,2,2,2,0,0,0,3,2,2,2
15061348,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15061560,3,3,3,2,1,3,0,2,1,1,1,2,0,4,1
15061544,3,3,3,3,0,3,1,2,1,1,1,4,0,4,2
15061449,4,3,3,3,1,3,1,3,1,1,1,4,2,4,3
15062348,2,2,3,4,0,3,1,2,1,1,1,4,0,4,2
15061916,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15062138,3,3,3,3,1,3,1,2,1,1,1,4,0,NA,1
15061946,4,3,3,3,2,3,1,2,1,1,1,4,2,3,3
15061676,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15060536,4,4,3,4,2,4,0,3,0,0,0,1,2,4,3
15061391,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061662,4,3,3,3,1,3,1,3,1,1,1,4,2,4,3
15061228,4,3,3,4,3,4,0,0,1,1,1,4,2,3,2
15061356,4,3,3,4,3,4,0,2,1,1,1,3,1,4,2
15061963,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061338,3,3,3,3,1,3,1,2,1,1,1,4,0,4,1
15062331,4,3,3,4,3,4,0,2,1,1,1,3,1,4,2
15062098,2,2,3,4,0,3,1,2,1,1,1,4,0,4,2
15062114,4,4,4,2,2,4,0,0,0,0,0,4,2,3,1
15062046,4,4,4,3,1,4,0,1,0,0,0,4,2,3,2
15062370,3,3,3,2,1,3,1,2,1,1,1,4,1,4,2
15061685,3,4,4,3,2,4,0,2,0,0,0,4,0,4,3
15061540,3,4,4,1,1,3,1,1,0,0,0,3,2,3,0
15061721,2,4,4,3,3,4,0,2,0,0,0,4,0,4,3
15062074,4,4,4,2,1,4,0,3,0,0,0,4,1,4,1
15062362,3,3,3,4,0,3,1,2,1,1,1,3,1,4,2
15061689,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
15061357,3,3,3,2,1,3,1,2,1,1,1,4,1,4,2
15061376,2,2,3,4,0,3,1,2,1,1,1,4,0,4,2
15061308,3,3,3,2,1,3,1,2,1,1,1,4,1,3,1
