SAMPLES,c1_13482,c1_4799,c1_8186,c2_10681,c2_14731,c2_22024,c2_34870,c2_47202,c2_48370,c2_4910,c2_50391,c2_53914,c2_55779,c2_57401,c2_5966
15060021,2,0,2,3,4,1,2,3,2,1,3,3,2,3,2
15060027,0,1,1,2,3,3,1,4,4,3,2,2,1,0,2
15060039,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15060042,1,1,2,3,3,1,2,3,4,2,3,2,2,1,2
15060050,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15060056,2,1,0,4,3,1,1,4,2,3,3,3,0,0,2
15060063,2,3,1,4,2,2,2,3,4,1,3,2,2,1,2
15060070,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15060072,3,3,1,3,2,3,2,2,0,4,3,4,1,0,2
15060082,2,1,2,4,3,0,3,4,3,2,3,2,2,0,2
15060085,1,2,3,3,4,3,2,3,0,0,3,1,1,1,1
15060097,0,2,0,2,3,2,0,4,2,3,2,4,0,0,1
15060101,3,0,2,2,4,1,2,4,1,1,3,3,0,0,3
15060102,2,1,2,4,4,1,1,2,2,1,2,2,1,1,2
15060110,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15060112,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15060114,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15060120,1,0,3,4,4,0,1,4,4,1,2,1,2,1,2
15060121,3,1,1,3,3,2,1,3,3,0,4,2,2,0,2
15060122,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15060138,2,3,1,4,3,0,2,4,3,3,3,2,1,0,3
15060160,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15060187,0,3,3,4,3,1,0,3,2,1,4,3,1,0,4
15060188,1,1,1,4,4,0,2,4,3,0,3,1,0,0,4
15060190,2,1,2,3,3,2,3,3,3,1,3,3,0,0,2
15060191,4,0,2,3,4,1,1,3,3,0,3,2,1,0,2
15060215,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15060313,1,0,2,3,4,2,3,3,2,1,2,3,0,0,3
15060345,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15060383,1,0,2,3,4,2,3,3,2,1,2,3,0,0,3
15060420,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15060543,4,4,4,3,0,3,4,4,0,4,0,4,2,4,0
15060570,1,3,2,4,1,1,0,2,4,3,2,3,2,1,3
15060797,2,3,1,2,3,1,0,4,1,1,3,1,2,1,2
15060846,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15060907,3,3,1,4,2,2,0,4,3,2,2,3,NA,2,2
15060909,2,2,0,3,3,1,1,4,2,1,2,3,0,0,2
15060910,3,2,2,3,4,1,2,3,4,4,4,3,0,0,3
15061007,2,1,3,4,4,2,3,4,0,0,3,2,0,0,1
15061011,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061122,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15061204,2,3,0,3,2,1,1,3,2,4,4,3,0,2,3
15061213,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061215,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061216,2,2,0,3,2,2,1,3,2,3,4,3,1,2,2
15061225,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15061226,3,3,1,4,2,2,0,4,3,1,1,3,1,1,1
15061237,4,4,4,3,0,3,4,4,0,4,0,4,2,4,0
15061256,2,2,2,4,3,2,2,4,2,1,3,2,1,1,1
15061257,3,2,4,3,1,3,3,4,1,3,2,3,NA,2,0
15061258,2,1,2,4,3,2,1,3,3,2,3,3,1,1,1
15061259,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15061261,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061262,3,0,2,2,4,1,2,4,1,1,3,3,0,0,3
15061263,3,0,3,2,4,1,2,4,1,2,3,3,0,0,2
15061264,3,0,2,2,4,1,2,4,2,1,3,3,0,0,2
15061265,2,0,2,3,4,1,2,4,4,2,4,2,1,0,1
15061270,2,1,1,3,4,1,2,3,3,2,4,2,2,0,2
15061271,2,2,1,4,3,0,3,2,4,1,4,3,NA,0,1
15061273,2,0,2,3,4,1,2,4,4,2,4,2,1,0,1
15061274,1,0,1,4,4,2,2,2,3,2,4,2,2,0,3
15061277,3,3,3,4,3,1,2,3,4,3,3,2,1,0,1
15061279,2,1,1,3,3,1,1,3,3,2,3,2,1,0,1
15061281,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061283,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061286,2,2,1,4,3,0,3,2,4,1,4,3,NA,0,1
15061288,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061289,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061290,1,3,3,4,1,1,2,4,3,2,4,3,1,0,3
15061291,2,1,1,4,3,2,3,3,3,2,3,3,1,0,2
15061293,3,0,0,3,4,1,1,3,2,2,2,2,1,0,2
15061295,2,1,1,4,4,2,1,4,2,2,2,2,1,1,3
15061296,3,2,1,4,3,2,2,2,3,2,3,2,0,0,2
15061297,2,2,2,4,3,2,2,4,2,1,3,2,1,1,1
15061298,0,0,0,3,4,2,1,3,3,0,4,2,0,0,3
15061300,4,2,2,2,2,3,1,3,3,1,3,3,1,0,2
15061301,0,0,0,3,4,2,1,3,3,0,4,2,0,0,3
15061302,1,1,2,3,4,2,2,3,3,2,3,2,2,0,2
15061303,2,2,0,3,3,1,1,4,2,1,2,3,0,0,2
15061305,1,1,0,3,3,0,1,3,3,1,2,2,2,0,1
15061307,2,1,3,2,3,0,2,4,3,2,3,2,2,0,3
15061312,2,1,1,4,3,2,3,3,3,2,3,3,1,0,2
15061313,4,0,2,3,4,1,1,3,3,0,3,2,1,0,2
15061314,2,2,1,3,3,1,2,3,3,3,4,3,2,0,3
15061317,3,0,2,2,4,1,2,4,1,1,3,3,0,0,3
15061320,2,3,3,4,2,2,1,4,2,2,2,3,1,0,2
15061323,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15061324,1,1,3,2,4,3,1,3,2,4,2,2,0,0,2
15061327,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061329,2,2,1,4,3,2,1,3,3,2,3,2,1,0,2
15061330,1,2,2,2,3,2,1,4,2,2,3,4,2,0,2
15061331,3,2,3,4,3,2,3,3,2,2,3,2,0,0,3
15061335,1,0,1,3,4,2,2,4,3,0,3,1,1,0,3
15061336,1,0,0,3,4,0,1,4,3,2,4,2,NA,0,1
15061340,1,0,1,4,4,0,2,4,3,0,3,2,0,0,4
15061342,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061344,1,0,2,3,4,3,1,4,3,0,1,2,1,0,3
15061345,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15061346,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15061347,1,2,3,4,3,3,2,4,2,2,3,2,1,2,2
15061349,3,2,1,3,2,2,1,4,3,1,3,1,0,0,2
15061352,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061353,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061355,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061360,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061364,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061365,1,3,2,4,2,0,0,4,3,2,2,2,2,0,2
15061367,1,3,2,4,2,0,0,4,3,2,2,3,2,0,2
15061368,3,1,1,3,3,2,1,3,3,0,4,2,2,0,2
15061369,3,1,1,3,3,2,1,3,3,0,4,2,2,0,2
15061370,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15061377,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061378,1,0,1,3,4,2,2,4,3,0,3,1,1,0,3
15061380,1,2,3,4,3,3,2,4,2,2,3,2,1,2,2
15061382,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15061383,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061384,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15061385,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15061386,3,1,1,3,3,2,1,3,3,0,4,2,2,0,2
15061388,2,0,1,4,4,1,2,3,3,2,3,3,0,0,1
15061389,1,1,1,2,3,1,3,4,3,1,4,3,2,0,2
15061390,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061392,3,2,3,4,3,0,4,4,2,0,2,3,0,0,1
15061394,3,0,2,2,4,1,2,4,1,1,3,3,0,0,3
15061396,3,0,2,2,4,1,2,4,1,1,3,3,0,0,3
15061404,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061406,2,1,1,3,3,2,1,3,2,1,3,2,1,0,2
15061410,2,2,1,4,2,2,3,4,2,3,4,2,0,0,2
15061411,1,0,2,4,4,2,1,4,2,1,3,1,2,0,1
15061414,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061415,2,2,2,4,4,1,0,3,3,1,4,2,0,2,1
15061417,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061418,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061419,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15061420,2,3,3,4,2,2,1,4,2,2,2,3,1,0,2
15061421,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061422,3,3,0,4,3,1,1,4,3,0,4,3,0,0,2
15061423,3,2,0,4,3,1,1,4,3,0,4,2,0,0,2
15061424,2,1,2,4,3,2,1,3,3,2,3,3,1,1,2
15061425,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
15061430,2,2,1,3,4,1,1,3,3,2,4,3,2,0,2
