SAMPLES,c1_16534,c1_16540,c1_16542,c1_3497,c1_3499,c1_5837,c1_7871,c1_7872,c1_7874,c2_10681,c2_12976,c2_14980,c2_39029,c2_47202,c2_53914
15061942,1,2,3,3,0,1,2,3,1,4,2,2,0,2,2
15061763,1,1,4,1,1,0,2,3,1,3,1,2,3,3,2
15061801,2,1,3,1,1,0,3,4,0,3,4,1,1,4,3
15061494,0,0,4,2,1,0,4,4,0,4,3,0,1,4,2
15061613,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15062137,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061319,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15062142,1,2,4,3,1,0,3,4,0,4,4,0,1,4,2
15060320,2,2,3,3,1,0,3,3,1,3,2,2,1,2,1
15061768,3,3,3,2,0,0,4,4,0,4,2,0,0,4,1
15061522,2,1,3,2,0,1,4,4,0,4,2,2,3,4,2
15060081,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061656,2,2,4,3,2,0,4,4,0,2,1,0,1,4,2
15061759,2,1,4,4,1,0,4,4,0,4,2,0,0,4,NA
15061928,2,0,4,2,0,1,3,3,1,4,4,1,2,1,2
15061454,0,1,4,2,0,0,2,2,0,4,3,2,1,4,1
15061605,2,1,3,2,1,0,3,3,0,4,1,1,1,4,3
15060087,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15061619,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15060090,1,2,2,1,0,0,2,2,1,4,2,3,2,3,2
15061731,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061655,2,3,4,3,1,0,3,3,1,3,2,1,2,4,2
15061661,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15061499,1,1,4,2,1,0,3,3,1,3,1,2,1,3,2
15061647,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061612,2,2,3,0,0,0,3,4,0,4,2,2,1,4,2
15061742,1,1,4,2,1,0,3,3,1,3,1,2,1,3,2
15061710,0,1,3,4,2,1,3,3,1,3,1,2,3,3,3
15062372,1,1,4,4,1,1,3,3,1,3,3,2,2,3,1
15061583,2,2,3,3,2,0,3,3,0,3,2,2,0,4,3
15061767,1,1,4,2,1,1,3,3,1,3,2,2,3,3,2
15062130,2,2,4,2,1,0,4,4,0,3,1,0,2,4,2
15061637,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061337,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15062104,2,0,4,3,0,1,3,3,1,4,2,2,2,3,2
15061579,2,2,3,3,2,1,3,4,0,2,0,0,0,3,3
15061932,1,1,4,2,0,2,2,4,0,3,2,0,2,4,3
15061603,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15060025,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061704,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061334,2,2,4,3,1,0,4,4,0,3,3,0,1,4,3
15061631,0,1,3,4,2,1,3,3,1,3,1,2,2,3,3
15060964,1,1,4,2,0,1,4,4,0,4,2,0,2,4,2
15061778,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061718,0,1,4,2,0,0,2,2,0,4,3,2,1,4,1
15061486,1,3,3,2,0,0,4,4,0,2,3,2,0,4,1
15060214,1,2,4,3,1,2,2,3,0,3,3,2,2,4,2
15061333,3,1,4,1,0,1,3,3,1,4,2,2,0,2,2
15061962,1,1,4,2,0,2,2,4,0,3,2,0,2,4,3
15061624,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15061282,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15061529,2,1,3,2,2,1,1,2,2,4,2,NA,1,2,2
15061935,1,1,4,2,0,2,2,4,0,3,2,0,2,4,3
15061568,1,1,4,2,0,0,4,4,0,4,4,0,0,4,2
15061491,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061318,3,3,4,3,2,1,4,4,0,4,3,2,1,4,2
15061361,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15061515,1,2,4,3,2,1,3,3,0,2,2,1,1,4,3
15062123,1,1,4,2,1,0,3,3,1,3,1,2,1,3,2
15061358,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061428,2,2,4,3,1,1,3,3,1,3,2,2,2,3,3
15061496,1,1,3,4,1,0,4,4,0,4,2,0,1,4,2
15061648,0,1,4,3,1,1,2,3,1,3,3,2,0,3,3
15061808,2,1,3,1,1,0,3,4,0,3,3,1,1,4,3
15061600,1,1,4,3,0,1,4,4,0,4,4,0,1,4,2
15061730,2,2,3,2,0,1,3,3,1,4,1,3,1,3,3
15061623,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061405,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15061299,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15061578,2,0,4,3,0,1,3,3,1,4,2,2,2,3,2
15061476,2,3,3,4,3,0,3,4,0,3,3,2,1,4,1
15061765,2,1,3,2,2,1,1,2,2,4,2,NA,1,2,2
15062111,1,1,4,2,1,0,2,3,1,3,2,2,1,3,2
15061397,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15061713,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061584,2,4,2,2,0,0,3,4,0,3,2,0,0,4,3
15061912,2,0,4,2,2,1,1,4,0,4,1,2,2,4,2
15061260,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15062099,3,3,4,2,1,0,4,4,0,3,2,0,1,4,2
15061350,1,1,4,2,0,0,3,3,1,4,4,2,3,3,3
15060933,1,3,1,1,1,2,4,4,0,3,3,0,2,4,4
15061548,3,2,4,2,0,0,4,4,0,4,2,0,1,4,2
15061348,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15061560,1,2,4,2,1,1,3,3,0,3,2,2,0,4,3
15061544,3,2,3,3,0,0,4,4,0,4,2,0,1,4,1
15061449,0,1,4,2,0,0,2,2,0,4,3,2,1,4,1
15062348,2,2,4,3,1,1,3,3,1,3,2,2,2,3,3
15061916,2,2,4,3,1,1,3,3,1,3,2,2,1,2,2
15062138,2,2,3,2,0,NA,4,4,NA,4,2,1,1,4,1
15061946,1,1,3,4,1,0,4,4,0,4,2,0,1,4,2
15061676,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15060536,1,3,2,2,2,1,4,4,0,4,3,0,3,4,3
15061391,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061662,0,1,4,2,0,0,2,2,0,4,3,2,1,4,1
15061228,1,3,4,2,2,0,4,4,0,2,0,0,2,4,2
15061356,1,2,2,1,0,0,2,2,1,4,2,3,2,3,2
15061963,1,1,4,2,1,1,4,4,0,3,2,0,1,4,3
15061338,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15062331,1,2,2,1,0,0,2,2,1,4,2,3,2,3,3
15062098,2,2,4,3,1,1,3,3,1,3,2,2,2,3,3
15062114,2,2,3,3,2,1,3,4,0,2,0,0,0,3,3
15062046,2,0,4,2,2,1,1,4,0,4,1,2,2,4,2
15062370,2,0,4,3,0,1,3,3,1,4,2,2,2,3,2
15061685,1,1,4,1,1,1,3,3,1,3,2,2,2,3,2
15061540,1,1,4,2,1,0,3,3,1,3,1,2,1,3,2
15061721,1,1,4,1,0,1,3,3,1,4,2,1,2,3,2
