SAMPLES,c1_8132,c2_1506,c2_23841,c2_26165,c2_26167,c2_26210,c2_26211,c2_2653,c2_31180,c2_32644,c2_35101,c2_49128,c2_50502,c2_52067,c2_56238
15061942,3,3,4,2,2,2,2,0,2,2,4,3,1,4,3
15061763,3,4,3,2,2,2,2,2,2,3,4,1,1,3,4
15061801,3,4,3,2,3,3,3,2,1,4,4,1,1,4,4
15061494,4,4,1,2,3,3,3,1,4,3,3,1,0,1,4
15061613,4,4,2,3,1,1,4,3,3,3,3,3,1,4,4
15062137,3,3,4,3,1,3,1,1,3,4,3,3,0,4,3
15061319,4,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15062142,3,4,3,0,4,4,0,2,1,4,3,3,2,4,4
15060320,4,4,3,1,3,3,1,1,3,4,4,1,0,3,4
15061768,3,4,3,2,2,2,3,1,3,4,4,1,1,3,4
15061522,3,3,3,3,1,1,4,1,3,4,3,2,2,3,3
15060081,4,NA,2,2,1,2,3,2,3,3,3,1,2,3,4
15061656,4,3,2,3,0,1,4,2,1,3,2,1,1,3,4
15061759,3,3,3,3,2,3,3,1,4,4,3,2,2,3,3
15061928,4,3,4,3,1,2,2,1,4,4,3,3,0,3,4
15061454,2,3,3,2,3,3,3,0,2,4,4,2,0,4,3
15061605,4,4,2,4,1,3,3,2,2,3,4,4,2,2,4
15060087,3,3,3,2,2,2,2,0,2,4,4,2,0,3,3
15061619,3,3,4,3,1,3,1,1,3,4,3,3,0,4,3
15060090,4,4,2,2,2,3,2,2,4,3,4,1,0,2,4
15061731,3,3,4,3,1,3,1,1,3,4,3,3,0,4,3
15061655,4,2,1,1,2,4,2,2,3,4,3,2,1,4,4
15061661,4,4,2,3,1,1,4,3,3,2,3,3,1,4,4
15061499,3,4,1,2,1,1,3,1,3,4,3,1,2,3,4
15061647,3,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15061612,4,4,3,2,2,3,3,1,3,3,4,1,3,3,4
15061742,3,4,1,2,1,1,3,1,3,4,3,1,2,3,4
15061710,4,2,3,3,2,1,3,1,3,4,3,1,1,2,2
15062372,4,4,3,1,2,2,2,1,4,3,4,1,2,3,4
15061583,4,4,2,3,1,1,4,3,3,3,3,3,1,4,4
15061767,3,4,3,4,0,0,4,2,1,4,3,0,1,4,4
15062130,4,4,3,2,2,3,1,3,2,4,3,2,2,3,4
15061637,4,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15061337,3,4,4,2,2,2,2,1,3,4,4,1,1,4,4
15062104,3,3,4,2,3,3,2,2,3,4,4,1,0,4,4
15061579,3,3,4,2,1,1,3,0,3,4,3,3,1,4,3
15061932,3,4,0,3,1,2,2,2,2,2,4,2,2,1,4
15061603,3,3,3,2,2,2,2,0,2,4,4,2,0,3,3
15060025,4,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15061704,4,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15061334,4,3,3,2,2,3,1,2,3,4,4,3,1,3,3
15061631,4,2,3,3,2,1,3,1,3,4,3,1,1,2,2
15060964,4,4,3,2,3,2,4,1,4,4,3,2,2,4,4
15061778,3,3,4,3,1,3,1,1,3,4,3,3,0,4,3
15061718,2,3,3,2,3,3,3,0,2,4,4,2,0,4,3
