"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
5,"Baya.LCH.C","Baya","C","BA",0.256333333333333
5,"Baya.LCH.H","Baya","H","BL",0.225833333333333
5,"Baya.LCH.L","Baya","L","BA",0.229833333333333
5,"PriBrote.LCH.C","PriBrote","C","RKHS",0.492666666666667
5,"PriBrote.LCH.H","PriBrote","H","",0
5,"PriBrote.LCH.L","PriBrote","L","RKHS",0.376166666666667
5,"PriFlor.LCH.C","PriFlor","C","",0
5,"PriFlor.LCH.H","PriFlor","H","",0
5,"PriFlor.LCH.L","PriFlor","L","",0
5,"PriTuber.LCH.C","PriTuber","C","",0
5,"PriTuber.LCH.H","PriTuber","H","",0
5,"PriTuber.LCH.L","PriTuber","L","",0
5,"Pulpa.LCH.C","Pulpa","C","",0
5,"Pulpa.LCH.H","Pulpa","H","",0
5,"Pulpa.LCH.L","Pulpa","L","",0
5,"SecBrote.LCH.C","SecBrote","C","",0
5,"SecBrote.LCH.H","SecBrote","H","",0
5,"SecBrote.LCH.L","SecBrote","L","",0
5,"SecTuber.LCH.C","SecTuber","C","EGBLUP",0.154333333333333
5,"SecTuber.LCH.H","SecTuber","H","",0
5,"SecTuber.LCH.L","SecTuber","L","",0
5,"Tallo.LCH.C","Tallo","C","",0
5,"Tallo.LCH.H","Tallo","H","",0
5,"Tallo.LCH.L","Tallo","L","RKHS",0.291
100,"Baya.LCH.C","Baya","C","GBLUP",0.15
100,"Baya.LCH.H","Baya","H","GBLUP",0.124833333333333
100,"Baya.LCH.L","Baya","L","BB",0.105
100,"PriBrote.LCH.C","PriBrote","C","RKHS",0.567833333333333
100,"PriBrote.LCH.H","PriBrote","H","BA",0.330833333333333
100,"PriBrote.LCH.L","PriBrote","L","BC",0.421166666666667
100,"PriFlor.LCH.C","PriFlor","C","BC",0.658833333333333
100,"PriFlor.LCH.H","PriFlor","H","BRR",0.837833333333333
100,"PriFlor.LCH.L","PriFlor","L","BRR",0.654
100,"PriTuber.LCH.C","PriTuber","C","RKHS",0.528666666666667
100,"PriTuber.LCH.H","PriTuber","H","RKHS",0.408666666666667
100,"PriTuber.LCH.L","PriTuber","L","RKHS",0.502166666666667
100,"Pulpa.LCH.C","Pulpa","C","BB",0.4715
100,"Pulpa.LCH.H","Pulpa","H","GBLUP",0.323666666666667
100,"Pulpa.LCH.L","Pulpa","L","BB",0.454833333333333
100,"SecBrote.LCH.C","SecBrote","C","BB",0.216666666666667
100,"SecBrote.LCH.H","SecBrote","H","RKHS",0.229166666666667
100,"SecBrote.LCH.L","SecBrote","L","BB",0.275333333333333
100,"SecTuber.LCH.C","SecTuber","C","BL",0.209
100,"SecTuber.LCH.H","SecTuber","H","EGBLUP",0.236666666666667
100,"SecTuber.LCH.L","SecTuber","L","GBLUP",0.360666666666667
100,"Tallo.LCH.C","Tallo","C","BB",0.537666666666667
100,"Tallo.LCH.H","Tallo","H","RKHS",0.525333333333333
100,"Tallo.LCH.L","Tallo","L","GBLUP",0.555666666666667
15,"Baya.LCH.C","Baya","C","BA",0.283166666666667
15,"Baya.LCH.H","Baya","H","BA",0.236333333333333
15,"Baya.LCH.L","Baya","L","GBLUP",0.242666666666667
15,"PriBrote.LCH.C","PriBrote","C","RKHS",0.541
15,"PriBrote.LCH.H","PriBrote","H","RKHS",0.170833333333333
