SAMPLES,GEBVs(BA),ACTUAL
15062362,104.138,80
15061954,80.406,86
15062339,117.931,18
15061482,70.679,17
15062104,98.988,346
15061707,108.604,83
15061567,101.925,28
15061964,89.588,86
15061488,91.325,83
15061438,91.055,84
15061814,88.271,96
15061721,104.808,33
15061601,104.343,355
15061719,90.104,67
15061629,103.251,22
15061477,86.657,85
15061761,89.972,35
15061336,98.179,96
15061386,87.102,5
15061305,107.816,346
15061676,104.239,83
15061523,99,96
15061763,102.361,0
15061385,101.248,86
15062133,92.636,86
15061333,103.875,0
15061627,91.807,345
15061731,91.025,83
15061641,87.927,93
15061330,86.157,96
15061626,118.246,96
15062147,83.507,53
15061487,101.485,96
15060536,100.386,86
15061261,104.884,17
15061389,91.246,85
15060101,90.247,96
15061397,100.623,74
15061551,69.859,17
15061539,100.756,344
15062115,123.983,313
15061361,104.018,83
15061669,78.513,18
15062359,69.676,33
15061690,91.892,83
15061308,91.129,83
15062372,89.488,83
15061342,104.062,96
15061281,94.087,96
15061932,68.999,96
15061370,80.224,86
15061630,85.801,96
15061789,70.536,41
15061666,106.314,318
15062143,83.566,96
15061297,119.845,85
15061907,76.668,96
15061538,101.038,85
15062371,93.422,10
15061685,83.714,80
15062081,92.47,345
15061969,76.723,17
15061498,89.864,86
15061271,91.64,96
15062344,102.496,96
15061279,112.945,96
15062144,101.356,96
15061722,107.604,84
15061768,100.812,83
15061557,104.97,96
15061434,83.252,85
15060072,84.67,83
15061405,105.702,86
15062052,80.176,86
15062098,81.177,85
15061916,104.276,83
15061377,105.342,18
15061633,94.894,83
15061702,97.756,83
15061614,106.326,83
15061368,86.548,359
15061520,91.735,86
15060082,115.682,344
15061656,76.175,80
15061331,105.829,21
15061327,105.524,96
15062074,105.978,342
15061300,124.42,328
15061776,70.781,17
15061462,121.815,344
15061302,94.978,96
15061957,90.237,86
15061514,104.936,86
15060909,70.352,18
15062063,103.93,313
15060090,93.535,84
15061301,100.011,96
15061423,106.542,86
15061453,124.35,96
15060215,105.866,86
15062119,99.186,83
15061537,89.504,83
15061667,84.223,17
15062123,72.303,18
15061710,85.673,85
15061258,108.032,86
15061443,70.494,17
15060050,93.585,8
15060110,100.922,85
15062053,89.552,86
15061764,103.965,3
15061799,102.646,313
