Prefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.997562235022126
CBaya,H,BA,CBaya.H,0.997513016526242
CBaya,L,BA,CBaya.L,0.997919316083984
CPBrote,C,BA,CPBrote.C,0.999636035909454
CPBrote,H,BA,CPBrote.H,0.998433890077731
CPBrote,L,BA,CPBrote.L,0.999102166366769
CPFlor,C,BA,CPFlor.C,0.999641099906743
CPFlor,H,BA,CPFlor.H,0.999916964803314
CPFlor,L,BA,CPFlor.L,0.999616082618435
CPTuber,C,BA,CPTuber.C,0.999535803689593
CPTuber,H,BA,CPTuber.H,0.999205622182775
CPTuber,L,BA,CPTuber.L,0.999520009904952
CPulpa,C,BA,CPulpa.C,0.999329827355225
CPulpa,H,BA,CPulpa.H,0.998703403109282
CPulpa,L,BA,CPulpa.L,0.999272438916577
CSBrote,C,BA,CSBrote.C,0.998389488495114
CSBrote,H,BA,CSBrote.H,0.998393949627623
CSBrote,L,BA,CSBrote.L,0.998108955851303
CSPulpa,C,BA,CSPulpa.C,0.999699842627412
CSPulpa,H,BA,CSPulpa.H,0.999990640104585
CSPulpa,L,BA,CSPulpa.L,0.999445405696583
CSTuber,C,BA,CSTuber.C,0.998709420855632
CSTuber,H,BA,CSTuber.H,0.999209615333146
CSTuber,L,BA,CSTuber.L,0.9994978535846
CTallo,C,BA,CTallo.C,0.999652578016898
CTallo,H,BA,CTallo.H,0.999001748803673
CTallo,L,BA,CTallo.L,0.999719886331014
