"Theta_Rows","R_Rows"
"solcap_snp_c1_1","solcap_snp_c1_1"
"solcap_snp_c1_1000","solcap_snp_c1_1000"
"solcap_snp_c1_10000","solcap_snp_c1_10000"
"solcap_snp_c1_10001","solcap_snp_c1_10001"
"solcap_snp_c1_10011","solcap_snp_c1_10011"
"solcap_snp_c1_10012","solcap_snp_c1_10012"
"solcap_snp_c1_10013","solcap_snp_c1_10013"
"solcap_snp_c1_10020","solcap_snp_c1_10020"
"solcap_snp_c1_10031","solcap_snp_c1_10031"
"solcap_snp_c1_10042","solcap_snp_c1_10042"
"solcap_snp_c1_10050","solcap_snp_c1_10050"
"solcap_snp_c1_10054","solcap_snp_c1_10054"
"solcap_snp_c1_10069","solcap_snp_c1_10069"
"solcap_snp_c1_10109","solcap_snp_c1_10109"
"solcap_snp_c1_10130","solcap_snp_c1_10130"
"solcap_snp_c1_10139","solcap_snp_c1_10139"
"solcap_snp_c1_10144","solcap_snp_c1_10144"
"solcap_snp_c1_10157","solcap_snp_c1_10157"
"solcap_snp_c1_10167","solcap_snp_c1_10167"
"solcap_snp_c1_10168","solcap_snp_c1_10168"
"solcap_snp_c1_10169","solcap_snp_c1_10169"
"solcap_snp_c1_10178","solcap_snp_c1_10178"
"solcap_snp_c1_10179","solcap_snp_c1_10179"
"solcap_snp_c1_10180","solcap_snp_c1_10180"
"solcap_snp_c1_10181","solcap_snp_c1_10181"
"solcap_snp_c1_1019","solcap_snp_c1_1019"
"solcap_snp_c1_10196","solcap_snp_c1_10196"
"solcap_snp_c1_1020","solcap_snp_c1_1020"
"solcap_snp_c1_10202","solcap_snp_c1_10202"
"solcap_snp_c1_1023","solcap_snp_c1_1023"
"solcap_snp_c1_10249","solcap_snp_c1_10249"
"solcap_snp_c1_10250","solcap_snp_c1_10250"
"solcap_snp_c1_10252","solcap_snp_c1_10252"
"solcap_snp_c1_10253","solcap_snp_c1_10253"
"solcap_snp_c1_10255","solcap_snp_c1_10255"
"solcap_snp_c1_10256","solcap_snp_c1_10256"
"solcap_snp_c1_10269","solcap_snp_c1_10269"
"solcap_snp_c1_10270","solcap_snp_c1_10270"
"solcap_snp_c1_1029","solcap_snp_c1_1029"
"solcap_snp_c1_10295","solcap_snp_c1_10295"
"solcap_snp_c1_10297","solcap_snp_c1_10297"
"solcap_snp_c1_10315","solcap_snp_c1_10315"
"solcap_snp_c1_10351","solcap_snp_c1_10351"
"solcap_snp_c1_10354","solcap_snp_c1_10354"
"solcap_snp_c1_10358","solcap_snp_c1_10358"
"solcap_snp_c1_10369","solcap_snp_c1_10369"
"solcap_snp_c1_10384","solcap_snp_c1_10384"
"solcap_snp_c1_10390","solcap_snp_c1_10390"
"solcap_snp_c1_10391","solcap_snp_c1_10391"
"solcap_snp_c1_10397","solcap_snp_c1_10397"
"solcap_snp_c1_10407","solcap_snp_c1_10407"
"solcap_snp_c1_10416","solcap_snp_c1_10416"
"solcap_snp_c1_10424","solcap_snp_c1_10424"
"solcap_snp_c1_10425","solcap_snp_c1_10425"
"solcap_snp_c1_10428","solcap_snp_c1_10428"
"solcap_snp_c1_10435","solcap_snp_c1_10435"
"solcap_snp_c1_10441","solcap_snp_c1_10441"
"solcap_snp_c1_10457","solcap_snp_c1_10457"
"solcap_snp_c1_10461","solcap_snp_c1_10461"
"solcap_snp_c1_10467","solcap_snp_c1_10467"
"solcap_snp_c1_10471","solcap_snp_c1_10471"
"solcap_snp_c1_10477","solcap_snp_c1_10477"
"solcap_snp_c1_10478","solcap_snp_c1_10478"
"solcap_snp_c1_10479","solcap_snp_c1_10479"
"solcap_snp_c1_10480","solcap_snp_c1_10480"
"solcap_snp_c1_10491","solcap_snp_c1_10491"
"solcap_snp_c1_10492","solcap_snp_c1_10492"
"solcap_snp_c1_10493","solcap_snp_c1_10493"
"solcap_snp_c1_10494","solcap_snp_c1_10494"
"solcap_snp_c1_10496","solcap_snp_c1_10496"
"solcap_snp_c1_1051","solcap_snp_c1_1051"
"solcap_snp_c1_10510","solcap_snp_c1_10510"
"solcap_snp_c1_10514","solcap_snp_c1_10514"
"solcap_snp_c1_10519","solcap_snp_c1_10519"
"solcap_snp_c1_1052","solcap_snp_c1_1052"
