SAMPLES,GEBVs(BRR),ACTUAL
15062362,101.932,80
15061954,74.129,86
15062339,124.073,18
15061482,51.813,17
15062104,93.346,346
15061707,113.384,83
15061567,102.468,28
15061964,90.384,86
15061488,88.238,83
15061438,87.17,84
15061814,90.034,96
15061721,99.259,33
15061601,102.131,355
15061719,91.539,67
15061629,103.709,22
15061477,64.474,85
15061761,90.748,35
15061336,100.779,96
15061386,76.927,5
15061305,114.91,346
15061676,101.888,83
15061523,96.639,96
15061763,106.12,0
15061385,102.857,86
15062133,84.939,86
15061333,111.322,0
15061627,84.084,345
15061731,87.192,83
15061641,89.084,93
15061330,75.663,96
15061626,141.176,96
15062147,69.239,53
15061487,98.051,96
15060536,98.939,86
15061261,111.597,17
15061389,87.994,85
15060101,92.014,96
15061397,101.231,74
15061551,49.367,17
15061539,101.326,344
15062115,149.836,313
15061361,101.241,83
15061669,49.42,18
15062359,53.049,33
15061690,89.759,83
15061308,87.343,83
15062372,87.36,83
15061342,101.774,96
15061281,99.735,96
15061932,52.679,96
15061370,73.495,86
15061630,75.287,96
15061789,51.024,41
15061666,108.055,318
15062143,69.313,96
15061297,136.679,85
15061907,61.037,96
15061538,102.478,85
15062371,95.926,10
15061685,69.612,80
15062081,87.34,345
15061969,60.658,17
15061498,84.07,86
15061271,87.061,96
15062344,108.932,96
15061279,137.773,96
15062144,102.646,96
15061722,109.269,84
15061768,95.437,83
15061557,112.128,96
15061434,67.84,85
15060072,87.001,83
15061405,111.086,86
15062052,73.283,86
15062098,76.55,85
15061916,102.317,83
15061377,112.908,18
15061633,96.4,83
15061702,98.467,83
15061614,112.683,83
15061368,75.397,359
15061520,77.376,86
15060082,143.539,344
15061656,69.49,80
15061331,121.58,21
15061327,112.641,96
15062074,107.334,342
15061300,150.593,328
15061776,51.122,17
15061462,150.085,344
15061302,88.052,96
15061957,82.53,86
15061514,111.921,86
15060909,56.105,18
15062063,101.073,313
15060090,96.245,84
15061301,98.799,96
15061423,108.369,86
15061453,150.662,96
15060215,111.013,86
15062119,93.696,83
15061537,89.359,83
15061667,71.119,17
15062123,50.132,18
15061710,75.054,85
15061258,110.842,86
15061443,50.716,17
15060050,96.474,8
15060110,101.975,85
15062053,90.716,86
15061764,111.641,3
15061799,106.918,313
