SAMPLES,GEBVs(RKHS),ACTUAL
15062362,33.865,44
15061954,43.356,44
15062339,38.248,44
15061482,39.404,44
15062104,29.942,44
15061707,25.101,16
15061567,35.653,44
15061964,38.284,44
15061488,17.305,16
15061438,17.223,6
15061814,30.314,16
15061721,24.092,24
15061601,33.792,16
15061719,38.259,44
15061629,20.128,16
15061477,35.348,44
15061761,38.493,44
15061336,31.08,44
15061386,42.199,44
15061305,31.264,44
15061676,33.866,44
15061523,14.677,16
15061763,27.117,16
15061385,14.857,16
15062133,21.18,6
15061333,31.235,44
15061627,38.085,44
15061731,17.168,16
15061641,30.413,44
15061330,34.892,44
15061626,21.542,16
15062147,27.296,44
15061487,21.08,6
15060536,25.055,44
15061261,41.104,44
15061389,17.33,16
15060101,38.367,44
15061397,14.996,44
15061551,38.898,44
15061539,14.95,44
15062115,16.507,16
15061361,33.864,44
15061669,41.302,44
15062359,43.107,44
15061690,17.309,6
15061308,17.093,6
15062372,36.153,44
15061342,33.99,44
15061281,43.552,44
15061932,44.202,44
15061370,43.233,44
15061630,21.808,16
15061789,39.245,44
15061666,15.082,16
15062143,27.329,16
15061297,39.855,44
15061907,40.391,48
15061538,14.882,16
15062371,37.209,44
15061685,27.431,21
15062081,29.202,6
15061969,42.27,44
15061498,17.148,6
15061271,36.003,44
15062344,23.069,44
15061279,29.109,44
15062144,14.958,16
15061722,30.238,44
15061768,37.217,44
15061557,41.462,44
15061434,27.524,16
15060072,42.568,44
15061405,39.81,44
15062052,43.329,44
15062098,43.164,44
15061916,33.693,44
15061377,41.453,44
15061633,39.215,16
15061702,20.671,6
15061614,40.162,44
15061368,42.264,44
15061520,22.191,44
15060082,22.532,44
15061656,39.028,38
15061331,36.064,44
15061327,40.945,44
15062074,41.601,44
15061300,16.528,44
15061776,39.117,44
15061462,40.792,44
15061302,39.762,44
15061957,36.463,44
15061514,41.098,44
15060909,44.158,44
15062063,33.854,44
15060090,36.735,44
15061301,36.479,44
15061423,43.86,44
15061453,16.482,16
15060215,38.574,44
15062119,29.616,16
15061537,38.762,44
15061667,27.546,16
15062123,43.696,44
15061710,21.818,16
15061258,17.199,16
15061443,39.367,44
15060050,37.636,44
15060110,14.832,16
15062053,43.141,44
15061764,38.895,44
15061799,27.233,16
