SAMPLES,GEBVs(SVM),ACTUAL
15061614,79.157,83
15061337,85.741,96
15062067,42.584,41
15061752,71.531,96
15061930,64.355,83
15061566,89.904,96
15061773,35.981,83
15061575,75.869,83
15061344,85.195,67
15061282,78.55,71
15061926,81.7,86
15061906,83.388,53
15061665,41.959,33
15061397,89.156,74
15060187,43.619,93
15061534,83.627,96
15062362,83.647,41
15061521,88.493,86
15061633,60.865,83
15061659,67.606,86
15061673,61.535,40
15062356,83.19,83
15061361,85.54,41
15061729,77.151,83
15061755,81.188,96
15061496,79.755,86
15062368,83.889,85
15062339,58.925,41
15061577,82.556,85
15062136,92.114,41
15061529,47.028,86
15061396,75.101,86
15061482,37.211,40
15061814,89.905,96
15061769,67.173,83
15061610,85.091,96
15062147,68.733,86
15061358,79.46,41
15061550,81.119,96
15061271,87.46,96
15060214,59.361,33
15062074,63.922,41
15061507,83.943,96
15061383,84.074,83
15062149,70.542,86
15060042,92.122,96
15061647,79.749,40
15061477,87.295,85
15061586,65.535,41
15062347,43.763,74
15061958,59.34,41
15062346,60.531,40
15061639,88.653,90
15061757,61.814,41
15061299,74.21,80
15061653,84.242,40
15061761,78.428,35
15062146,82.688,40
15061655,63.149,41
15061329,82.416,96
15061535,73.51,86
15061578,81.912,83
15061730,79.181,86
15061627,77.733,41
15061500,37.361,41
15061717,55.845,40
15062122,59.411,86
15061435,62.559,40
15061706,61.838,40
15061624,87.482,96
15060121,45.526,96
15061423,90.016,86
15061488,85.136,83
15061916,84.049,83
15061487,73.367,96
15061281,85.107,96
15061937,61.431,96
15061493,83.352,86
15061296,93.539,83
15061649,61.207,83
15061307,90.258,93
15062133,76.923,83
15062350,86.693,83
15061338,88.712,83
15060027,48.69,83
15061011,81.212,40
15061795,83.489,85
15062358,80.628,85
15061216,65.564,84
15061300,43.168,33
15061462,43.578,41
15061516,76.466,74
15061394,76.84,41
15061453,44.118,96
15062123,35.86,33
15060110,90.274,85
15061964,74.262,86
15061542,36.019,86
15060570,58.835,40
15061785,68.009,41
15061766,37.278,33
15060021,83.585,41
15061364,85.421,86
15060050,78.845,40
15061637,81.397,41
15062369,69.961,93
15061345,83.394,83
15061966,73.787,86
15061737,76.629,41
15060112,84.87,83
15061751,73.712,74
15061567,59.011,41
