Samples,SecTuber.LCH.H
15061942,96
15061763,0
15061801,96
15061494,7
15061613,78
15062137,86
15061319,69
15062142,17
15060320,21
15061768,83
15061522,14
15060081,7
15061656,80
15061759,3
15061928,86
15061454,96
15061605,355
15060087,84
15061619,86
15060090,84
15061731,83
15061655,17
15061661,86
15061499,17
15061647,345
15061612,324
15061742,18
15061710,85
15062372,83
15061583,90
15061767,28
15062130,83
15061637,10
15061337,22
15062104,5
15061579,96
15061932,84
15061603,96
15060025,5
15061704,85
15061334,85
15061631,85
15060964,85
15061778,86
15061718,83
15061486,86
15060214,12
15061333,96
15061962,17
15061624,96
15061282,71
15061529,86
15061935,86
15061568,18
15061491,86
15061318,41
15061361,90
15061515,53
15062123,18
15061358,346
15061428,96
15061496,86
15061648,74
15061808,17
15061600,84
15061730,86
15061623,96
15061405,17
15061299,80
15061578,83
15061476,96
15061765,86
15062111,86
15061397,74
15061713,83
15061584,86
15061912,28
15061260,83
15062099,85
15061350,83
15060933,84
15061548,74
15061348,41
15061560,41
15061544,85
15061449,96
15062348,85
15061916,83
15062138,83
15061946,83
15061676,83
15060536,96
15061391,86
15061662,96
15061228,93
15061356,342
15061963,86
15061338,83
15062331,74
15062098,85
15062114,313
15062046,6
15062370,83
15061685,18
15061540,25
15061721,86
15062074,342
15062362,10
15061689,83
15061357,83
15061376,83
15061308,18
