Samples,CPBrote.H
15060021,307
15060025,307
15060027,307
15060039,327
15060042,307
15060056,307
15060063,339
15060070,307
15060081,307
15060085,307
15060087,307
15060097,337
15060102,307
15060112,307
15060114,320
15060120,328
15060121,307
15060122,324
15060138,307
15060160,307
15060187,316
15060188,307
15060190,307
15060191,307
15060214,307
15060313,318
15060320,346
15060345,341
15060383,338
15060420,306
15060543,350
15060570,322
15060797,302
15060846,307
15060907,303
15060910,336
15060933,350
15060964,309
15061007,309
15061011,302
15061122,317
15061204,307
15061213,352
15061215,330
15061216,308
15061225,305
15061226,314
15061228,307
15061237,336
15061256,307
15061257,307
15061259,307
15061260,307
15061262,307
15061263,304
15061264,307
15061265,307
15061270,307
15061273,307
15061274,341
15061277,336
15061282,306
15061283,306
15061286,308
15061288,307
15061289,323
15061290,307
15061291,327
15061293,306
15061295,307
15061296,314
15061298,314
15061299,309
15061303,328
15061307,306
15061312,308
15061313,307
15061314,346
15061317,314
15061318,307
15061319,307
15061320,339
15061323,314
15061324,307
15061329,306
15061334,320
15061335,306
15061337,314
15061338,307
15061340,306
15061344,306
15061345,339
15061346,336
15061347,307
15061348,307
15061349,314
15061350,336
15061352,41
15061353,306
15061355,307
15061356,320
15061357,307
15061358,306
15061360,307
15061364,314
15061365,319
15061367,319
15061369,307
15061376,336
15061378,309
15061380,307
15061382,310
15061383,307
15061384,306
15061388,344
15061390,307
15061391,41
15061392,309
15061394,307
15061396,307
15061404,307
15061406,307
15061410,352
15061411,307
15061414,321
15061415,339
15061417,324
15061418,324
15061419,307
15061420,312
15061421,307
15061422,346
15061424,303
15061425,336
15061428,336
15061430,339
15061435,302
15061436,309
15061437,314
15061439,306
15061441,303
15061442,308
15061444,307
15061445,308
15061447,345
15061449,307
15061454,308
15061458,336
15061459,314
15061461,336
15061463,314
15061469,309
15061470,324
15061471,314
15061475,307
15061476,314
15061478,307
15061479,347
15061480,309
15061481,307
15061484,307
15061485,352
15061486,314
15061489,314
15061490,336
15061491,336
15061492,316
15061493,314
15061494,314
15061495,307
15061496,314
15061499,314
15061500,328
15061501,332
15061503,308
15061504,308
15061505,339
15061507,309
15061508,309
15061509,314
15061511,307
15061515,314
15061516,352
15061517,304
15061518,305
15061521,307
15061522,307
15061524,314
15061525,312
15061526,302
15061528,307
15061529,314
15061530,302
15061533,314
15061534,308
15061535,307
15061536,307
15061540,307
15061542,317
15061543,314
15061544,314
15061546,314
15061548,327
15061549,307
15061550,314
15061553,314
15061555,307
15061556,315
15061560,314
15061561,333
15061564,329
15061565,336
15061566,314
15061568,320
15061571,327
15061575,307
15061576,314
15061577,307
15061578,329
15061579,314
15061580,307
15061583,308
15061584,327
15061585,314
15061586,344
15061588,307
15061600,319
15061602,316
15061603,306
15061604,353
15061605,320
15061608,324
15061609,307
15061610,307
15061612,314
15061613,314
15061619,346
15061621,331
15061622,307
15061623,307
15061624,329
15061628,308
15061631,306
15061632,353
15061637,307
15061638,314
15061639,322
15061640,307
15061642,307
15061645,306
15061646,307
15061647,306
15061648,307
15061649,314
15061650,314
15061651,314
15061653,336
15061654,314
15061655,329
15061658,314
15061659,319
15061661,308
15061662,314
15061665,323
15061668,339
15061670,329
15061671,339
15061673,327
15061677,314
15061678,314
15061679,307
15061680,329
15061682,307
15061683,314
15061684,306
15061686,307
15061687,308
15061688,303
15061689,352
15061704,306
15061706,317
15061709,352
15061712,314
15061713,307
15061714,346
15061717,306
15061718,307
15061720,341
15061723,341
15061724,312
15061725,339
15061726,353
15061729,317
15061730,319
15061733,310
15061734,339
15061735,339
15061736,306
15061737,315
15061738,346
15061740,307
15061742,307
15061744,312
15061747,314
15061751,312
15061752,307
15061753,347
15061754,332
15061755,314
15061756,308
15061757,307
15061758,308
15061759,308
15061760,308
15061762,307
15061765,307
15061766,307
15061767,307
15061769,339
15061771,308
15061772,307
15061773,307
15061777,307
15061778,322
15061784,307
15061785,322
15061788,307
15061790,329
15061795,314
15061797,41
15061798,303
15061800,314
15061801,352
15061808,352
15061811,314
15061813,315
15061815,312
15061826,352
15061905,336
15061906,307
15061908,327
15061909,307
15061910,307
15061911,336
15061912,341
15061915,343
15061917,307
15061918,324
15061926,316
15061927,304
15061928,303
15061929,307
15061930,324
15061933,307
15061934,307
15061935,347
15061937,307
15061939,41
15061941,328
15061942,314
15061944,317
15061945,336
15061946,307
15061948,323
15061949,307
15061951,336
15061952,314
15061953,307
15061958,336
15061960,307
15061961,307
15061962,328
15061963,334
15061965,307
15061966,307
15061967,307
15061968,306
15062036,323
15062038,341
15062039,324
15062046,341
15062050,307
15062051,338
15062067,346
15062069,307
15062071,307
15062080,323
15062092,306
15062094,314
15062097,307
15062099,308
15062100,328
15062101,307
15062102,320
15062103,316
15062105,307
15062106,307
15062107,314
15062108,314
15062109,332
15062111,307
15062112,307
15062114,308
15062117,339
15062118,339
15062122,307
15062124,314
15062126,307
15062130,352
15062136,314
15062137,329
15062138,306
15062139,336
15062142,327
15062145,306
15062146,307
15062149,341
15062150,307
15062151,307
15062152,307
15062153,322
15062331,322
15062332,307
15062333,307
15062334,307
15062335,332
15062337,338
15062338,339
15062346,301
15062347,307
15062348,320
15062349,306
15062350,308
15062351,307
15062353,341
15062354,339
15062356,307
15062357,307
15062358,329
15062360,317
15062361,314
15062363,346
15062366,314
15062367,314
15062368,336
15062369,336
15062370,307
