Samples,CSPulpa.L
15062362,42
15061954,42
15062339,42
15061482,43
15062104,37
15061707,41
15061567,42
15061964,30
15061488,30
15061438,50
15061814,31
15061721,30
15061601,30
15061719,27
15061629,31
15061477,31
15061761,27
15061336,42
15061386,42
15061305,27
15061676,37
15061523,29
15061763,42
15061385,29
15062133,27
15061333,41
15061627,27
15061731,41
15061641,31
15061330,42
15061626,27
15062147,42
15061487,42
15060536,41
15061261,42
15061389,27
15060101,27
15061397,33
15061551,42
15061539,30
15062115,29
15061361,31
15061669,42
15062359,41
15061690,42
15061308,33
15062372,41
15061342,41
15061281,42
15061932,42
15061370,37
15061630,27
15061789,37
15061666,27
15062143,30
15061297,28
15061907,27
15061538,27
15062371,42
15061685,27
15062081,29
15061969,42
15061498,43
15061271,42
15062344,30
15061279,42
15062144,42
15061722,37
15061768,27
15061557,37
15061434,50
15060072,27
15061405,31
15062052,33
15062098,42
15061916,43
15061377,41
15061633,30
15061702,30
15061614,42
15061368,27
15061520,30
15060082,30
15061656,27
15061331,42
15061327,50
15062074,27
15061300,27
15061776,42
15061462,27
15061302,33
15061957,29
15061514,30
15060909,41
15062063,37
15060090,31
15061301,42
15061423,31
15061453,30
15060215,31
15062119,42
15061537,27
15061667,41
15062123,42
15061710,30
15061258,29
15061443,41
15060050,42
15060110,27
15062053,30
15061764,43
15061799,30
