Samples,CPTuber.H
15062362,85
15061954,16
15062339,85
15061482,96
15062104,83
15061707,355
15061567,85
15061964,17
15061488,328
15061438,313
15061814,7
15061721,22
15061601,95
15061719,10
15061629,86
15061477,313
15061761,39
15061336,333
15061386,359
15061305,86
15061676,14
15061523,3
15061763,344
15061385,328
15062133,17
15061333,313
15061627,41
15061731,355
15061641,345
15061330,16
15061626,313
15062147,18
15061487,3
15060536,84
15061261,86
15061389,328
15060101,342
15061397,342
15061551,86
15061539,83
15062115,96
15061361,21
15061669,85
15062359,85
15061690,313
15061308,313
15062372,359
15061342,17
15061281,18
15061932,96
15061370,12
15061630,318
15061789,86
15061666,83
15062143,14
15061297,313
15061907,96
15061538,328
15062371,83
15061685,14
15062081,5
15061969,86
15061498,313
15061271,328
15062344,7
15061279,17
15062144,3
15061722,5
15061768,10
15061557,16
15061434,17
15060072,42
15061405,346
15062052,17
15062098,22
15061916,5
15061377,85
15061633,83
15061702,0
15061614,22
15061368,40
15061520,22
15060082,96
15061656,346
15061331,53
15061327,12
15062074,86
15061300,96
15061776,85
15061462,85
15061302,328
15061957,14
15061514,18
15060909,93
15062063,5
15060090,346
15061301,14
15061423,17
15061453,313
15060215,85
15062119,313
15061537,17
15061667,22
15062123,83
15061710,313
15061258,328
15061443,85
15060050,67
15060110,359
15062053,16
15061764,83
15061799,8
