Samples,CTallo.H
15060021,359
15060025,117
15060027,359
15060039,117
15060042,359
15060056,117
15060063,359
15060070,359
15060081,117
15060085,117
15060087,359
15060097,117
15060102,117
15060112,117
15060114,117
15060120,359
15060121,117
15060122,117
15060138,359
15060160,117
15060187,359
15060188,117
15060190,117
15060191,117
15060214,117
15060313,117
15060320,117
15060345,117
15060383,117
15060420,117
15060543,117
15060570,117
15060797,117
15060846,117
15060907,359
15060910,359
15060933,117
15060964,117
15061007,117
15061011,117
15061122,117
15061204,117
15061213,117
15061215,117
15061216,117
15061225,117
15061226,117
15061228,359
15061237,117
15061256,117
15061257,359
15061259,359
15061260,117
15061262,117
15061263,117
15061264,117
15061265,117
15061270,117
15061273,117
15061274,117
15061277,117
15061282,117
15061283,117
15061286,117
15061288,117
15061289,117
15061290,117
15061291,117
15061293,359
15061295,28
15061296,359
15061298,117
15061299,23
15061303,117
15061307,359
15061312,117
15061313,117
15061314,117
15061317,117
15061318,117
15061319,117
15061320,117
15061323,117
15061324,117
15061329,359
15061334,117
15061335,117
15061337,117
15061338,359
15061340,359
15061344,117
15061345,117
15061346,117
15061347,117
15061348,117
15061349,117
15061350,117
15061352,117
15061353,117
15061355,359
15061356,117
15061357,359
15061358,117
15061360,117
15061364,117
15061365,117
15061367,117
15061369,117
15061376,117
15061378,117
15061380,359
15061382,117
15061383,359
15061384,359
15061388,117
15061390,359
15061391,359
15061392,117
15061394,117
15061396,359
15061404,23
15061406,117
15061410,117
15061411,117
15061414,359
15061415,117
15061417,359
15061418,359
15061419,359
15061420,117
15061421,117
15061422,117
15061424,359
15061425,117
15061428,117
15061430,117
15061435,359
15061436,117
15061437,117
15061439,117
15061441,359
15061442,117
15061444,117
15061445,23
15061447,117
15061449,117
15061454,117
15061458,117
15061459,23
15061461,117
15061463,117
15061469,117
15061470,117
15061471,132
15061475,117
15061476,359
15061478,359
15061479,117
15061480,359
15061481,117
15061484,134
15061485,117
15061486,23
15061489,359
15061490,359
15061491,359
15061492,23
15061493,117
15061494,359
15061495,359
15061496,359
15061499,117
15061500,117
15061501,359
15061503,117
15061504,134
15061505,132
15061507,117
15061508,359
15061509,117
15061511,117
15061515,134
15061516,359
15061517,138
15061518,117
15061521,359
15061522,359
15061524,359
15061525,117
15061526,359
15061528,23
15061529,117
15061530,117
15061533,117
15061534,117
15061535,359
15061536,359
15061540,117
15061542,117
15061543,117
15061544,359
15061546,359
15061548,117
15061549,132
15061550,359
15061553,117
15061555,138
15061556,117
15061560,117
15061561,117
15061564,117
15061565,138
15061566,359
15061568,117
15061571,117
15061575,132
15061576,132
15061577,117
15061578,23
15061579,359
15061580,138
15061583,117
15061584,117
15061585,132
15061586,117
15061588,138
15061600,117
15061602,117
15061603,23
15061604,117
15061605,117
15061608,117
15061609,23
15061610,138
15061612,359
15061613,117
15061619,359
15061621,117
15061622,117
15061623,117
15061624,23
15061628,117
15061631,359
15061632,117
15061637,132
15061638,117
15061639,132
15061640,359
15061642,117
15061645,23
15061646,117
15061647,117
15061648,132
15061649,117
15061650,117
15061651,128
15061653,117
15061654,117
15061655,117
15061658,132
15061659,132
15061661,117
15061662,359
15061665,117
15061668,117
15061670,117
15061671,117
15061673,359
15061677,23
15061678,23
15061679,359
15061680,132
15061682,132
15061683,359
15061684,117
15061686,132
15061687,117
15061688,117
15061689,23
15061704,117
15061706,117
15061709,117
15061712,117
15061713,117
15061714,359
15061717,359
15061718,132
15061720,138
15061723,359
15061724,359
15061725,359
15061726,359
15061729,359
15061730,359
15061733,117
15061734,359
15061735,117
15061736,359
15061737,359
15061738,359
15061740,359
15061742,117
15061744,117
15061747,117
15061751,124
15061752,134
15061753,23
15061754,117
15061755,117
15061756,132
15061757,359
15061758,117
15061759,117
15061760,359
15061762,359
15061765,117
15061766,117
15061767,117
15061769,117
15061771,359
15061772,117
15061773,359
15061777,359
15061778,23
15061784,359
15061785,117
15061788,117
15061790,117
15061795,359
15061797,359
15061798,117
15061800,117
15061801,117
15061808,117
15061811,117
15061813,117
15061815,117
15061826,117
15061905,128
15061906,359
15061908,359
15061909,117
15061910,117
15061911,117
15061912,117
15061915,117
15061917,117
15061918,117
15061926,117
15061927,359
15061928,359
15061929,117
15061930,359
15061933,117
15061934,359
15061935,117
15061937,117
15061939,117
15061941,117
15061942,117
15061944,117
15061945,117
15061946,359
15061948,117
15061949,117
15061951,117
15061952,359
15061953,23
15061958,117
15061960,23
15061961,23
15061962,117
15061963,23
15061965,117
15061966,359
15061967,359
15061968,117
15062036,117
15062038,117
15062039,117
15062046,117
15062050,117
15062051,117
15062067,117
15062069,359
15062071,117
15062080,117
15062092,117
15062094,23
15062097,117
15062099,117
15062100,117
15062101,359
15062102,117
15062103,117
15062105,359
15062106,23
15062107,117
15062108,359
15062109,117
15062111,359
15062112,359
15062114,359
15062117,117
15062118,117
15062122,23
15062124,134
15062126,359
15062130,117
15062136,23
15062137,23
15062138,359
15062139,117
15062142,117
15062145,359
15062146,359
15062149,359
15062150,359
15062151,23
15062152,359
15062153,117
15062331,117
15062332,117
15062333,359
15062334,117
15062335,117
15062337,117
15062338,117
15062346,117
15062347,117
15062348,117
15062349,117
15062350,117
15062351,359
15062353,117
15062354,117
15062356,138
15062357,359
15062358,359
15062360,117
15062361,117
15062363,117
15062366,117
15062367,359
15062368,117
15062369,359
15062370,117
