Samples,CSTuber.C
15060021,41
15060025,19
15060027,35
15060039,42
15060042,42
15060056,29
15060063,32
15060070,42
15060081,29
15060085,26
15060087,32
15060097,42
15060102,29
15060112,35
15060114,35
15060120,38
15060121,41
15060122,36
15060138,36
15060160,32
15060187,35
15060188,11
15060190,31
15060191,37
15060214,37
15060313,33
15060320,39
15060345,39
15060383,29
15060420,35
15060543,47
15060570,32
15060797,41
15060846,32
15060907,41
15060910,42
15060933,32
15060964,47
15061007,35
15061011,33
15061122,35
15061204,16
15061213,35
15061215,42
15061216,32
15061225,24
15061226,23
15061228,35
15061237,32
15061256,35
15061257,42
15061259,41
15061260,35
15061262,40
15061263,16
15061264,33
15061265,42
15061270,47
15061273,32
15061274,42
15061277,29
15061282,6
15061283,42
15061286,35
15061288,35
15061289,35
15061290,33
15061291,42
15061293,11
15061295,11
15061296,35
15061298,42
15061299,26
15061303,33
15061307,35
15061312,35
15061313,39
15061314,36
15061317,35
15061318,47
15061319,40
15061320,35
15061323,36
15061324,47
15061329,42
15061334,47
15061335,36
15061337,42
15061338,35
15061340,35
15061344,39
15061345,35
15061346,32
15061347,42
15061348,29
15061349,32
15061350,35
15061352,36
15061353,35
15061355,41
15061356,26
15061357,35
15061358,36
15061360,41
15061364,41
15061365,35
15061367,35
15061369,32
15061376,35
15061378,26
15061380,47
15061382,18
15061383,41
15061384,41
15061388,26
15061390,41
15061391,41
15061392,36
15061394,37
15061396,41
15061404,35
15061406,32
15061410,32
15061411,35
15061414,19
15061415,36
15061417,47
15061418,16
15061419,42
15061420,16
15061421,35
15061422,41
15061424,42
15061425,42
15061428,42
15061430,47
15061435,42
15061436,42
15061437,26
15061439,16
15061441,8
15061442,35
15061444,32
15061445,42
15061447,42
15061449,42
15061454,42
15061458,47
15061459,42
15061461,32
15061463,42
15061469,35
15061470,22
15061471,32
15061475,42
15061476,42
15061478,42
15061479,42
15061480,42
15061481,25
15061484,19
15061485,37
15061486,32
15061489,35
15061490,42
15061491,41
15061492,41
15061493,41
15061494,29
15061495,41
15061496,41
15061499,39
15061500,39
15061501,32
15061503,35
15061504,35
15061505,42
15061507,42
15061508,29
15061509,39
15061511,42
15061515,31
15061516,35
15061517,42
15061518,41
15061521,41
15061522,32
15061524,42
15061525,42
15061526,35
15061528,16
15061529,36
15061530,37
15061533,41
15061534,42
15061535,41
15061536,41
15061540,32
15061542,41
15061543,41
15061544,47
15061546,41
15061548,42
15061549,32
15061550,42
15061553,41
15061555,35
15061556,28
15061560,32
15061561,36
15061564,42
15061565,26
15061566,42
15061568,37
15061571,28
15061575,35
15061576,36
15061577,47
15061578,36
15061579,42
15061580,42
15061583,18
15061584,41
15061585,24
15061586,37
15061588,36
15061600,32
15061602,22
15061603,42
15061604,42
15061605,43
15061608,42
15061609,42
15061610,42
15061612,33
15061613,20
15061619,41
15061621,42
15061622,16
15061623,42
15061624,42
15061628,30
15061631,47
15061632,36
15061637,33
15061638,33
15061639,18
15061640,32
15061642,36
15061645,41
15061646,26
15061647,28
15061648,37
15061649,35
15061650,22
15061651,35
15061653,39
15061654,28
15061655,41
15061658,32
15061659,41
15061661,41
15061662,42
15061665,39
15061668,32
15061670,42
15061671,41
15061673,42
15061677,36
15061678,35
15061679,37
15061680,26
15061682,37
15061683,37
15061684,32
15061686,35
15061687,29
15061688,35
15061689,36
15061704,47
15061706,33
15061709,37
15061712,42
15061713,11
15061714,29
15061717,24
15061718,36
15061720,19
15061723,36
15061724,26
15061725,35
15061726,35
15061729,36
15061730,41
15061733,19
15061734,35
15061735,37
15061736,19
15061737,19
15061738,35
15061740,41
15061742,37
15061744,35
15061747,26
15061751,37
15061752,32
15061753,32
15061754,36
15061755,18
15061756,40
15061757,8
15061758,36
15061759,16
15061760,28
15061762,36
15061765,42
15061766,35
15061767,25
15061769,37
15061771,36
15061772,35
15061773,41
15061777,36
15061778,41
15061784,36
15061785,29
15061788,28
15061790,29
15061795,29
15061797,16
15061798,26
15061800,22
15061801,42
15061808,29
15061811,32
15061813,39
15061815,26
15061826,47
15061905,42
15061906,35
15061908,11
15061909,36
15061910,16
15061911,35
15061912,25
15061915,29
15061917,42
15061918,30
15061926,41
15061927,42
15061928,41
15061929,36
15061930,36
15061933,35
15061934,16
15061935,41
15061937,42
15061939,28
15061941,33
15061942,42
15061944,39
15061945,32
15061946,36
15061948,35
15061949,47
15061951,41
15061952,41
15061953,41
15061958,39
15061960,42
15061961,41
15061962,29
15061963,41
15061965,32
15061966,41
15061967,41
15061968,41
15062036,42
15062038,41
15062039,26
15062046,41
15062050,39
15062051,41
15062067,37
15062069,19
15062071,26
15062080,36
15062092,11
15062094,41
15062097,41
15062099,41
15062100,39
15062101,35
15062102,32
15062103,22
15062105,42
15062106,18
15062107,36
15062108,41
15062109,47
15062111,22
15062112,41
15062114,8
15062117,24
15062118,35
15062122,29
15062124,36
15062126,36
15062130,35
15062136,42
15062137,41
15062138,35
15062139,47
15062142,39
15062145,35
15062146,6
15062149,36
15062150,42
15062151,47
15062152,47
15062153,36
15062331,37
15062332,28
15062333,8
15062334,37
15062335,35
15062337,42
15062338,47
15062346,28
15062347,37
15062348,47
15062349,47
15062350,35
15062351,35
15062353,28
15062354,28
15062356,35
15062357,41
15062358,47
15062360,28
15062361,36
15062363,41
15062366,35
15062367,8
15062368,47
15062369,41
15062370,35
