SAMPLES,GEBVs(RKHS),ACTUAL
15062362,47.43,54
15061954,53.719,54
15062339,49.257,54
15061482,51.788,54
15062104,42.189,54
15061707,36.369,28
15061567,47.186,54
15061964,49.843,54
15061488,32.018,28
15061438,32.046,28
15061814,50.326,28
15061721,35.73,54
15061601,47.331,28
15061719,49.798,54
15061629,31.118,28
15061477,47.56,54
15061761,49.92,54
15061336,42.945,54
15061386,52.714,54
15061305,43.369,54
15061676,47.346,54
15061523,28.718,28
15061763,38.145,28
15061385,28.983,28
15062133,33.673,28
15061333,43.753,54
15061627,50.11,54
15061731,31.955,28
15061641,50.43,54
15061330,48.133,54
15061626,33.091,28
15062147,39.832,54
15061487,32.138,28
15060536,36.029,54
15061261,53.082,54
15061389,32.217,28
15060101,49.847,54
15061397,29.145,54
15061551,51.199,54
15061539,29.165,54
15062115,29.583,28
15061361,47.387,54
15061669,52.255,54
15062359,53.653,54
15061690,32.077,28
15061308,31.922,28
15062372,49.018,54
15061342,47.518,54
15061281,54.145,54
15061932,54.257,54
15061370,53.517,54
15061630,35.034,28
15061789,51.685,54
15061666,32.344,28
15062143,43.911,28
15061297,51.356,54
15061907,52.252,66
15061538,29.078,28
15062371,52.05,54
15061685,44.071,49
15062081,42.846,28
15061969,52.742,54
15061498,31.826,28
15061271,50.977,54
15062344,33.777,54
15061279,43.648,54
15062144,29.082,28
15061722,41.643,54
15061768,48.466,54
15061557,53.281,54
15061434,40.097,28
15060072,52.706,54
15061405,51.842,54
15062052,53.556,54
15062098,53.468,54
15061916,47.24,54
15061377,53.243,54
15061633,51.139,28
15061702,34.52,28
15061614,52.091,54
15061368,52.775,54
15061520,33.114,54
15060082,33.274,54
15061656,50.402,53
15061331,47.762,54
15061327,52.836,54
15062074,52.533,54
15061300,29.552,54
15061776,51.578,54
15061462,51.93,54
15061302,51.733,54
15061957,48.641,54
15061514,53.09,54
15060909,54.246,54
15062063,47.378,54
15060090,51.63,54
15061301,49.289,54
15061423,54.343,54
15061453,29.624,28
15060215,51.138,54
15062119,41.904,28
15061537,50.178,54
15061667,44.139,28
15062123,54.157,54
15061710,35.084,28
15061258,28.898,28
15061443,51.745,54
15060050,52.19,54
15060110,28.998,28
15062053,53.88,54
15061764,51.438,54
15061799,38.147,28
