Prefix,HCL_component,Traits,Models,Predictive_ability
Baya,C,Baya.C,BA,-0.013
Baya,C,Baya.C,BA,0.151
Baya,C,Baya.C,BA,0.343
Baya,C,Baya.C,BA,0.21
Baya,C,Baya.C,BA,0.215
Baya,C,Baya.C,BA,0.259
Baya,C,Baya.C,BA,0.119
Baya,C,Baya.C,BA,0.213
Baya,C,Baya.C,BA,0.16
Baya,C,Baya.C,BA,0.107
Baya,C,Baya.C,BA,0.071
Baya,C,Baya.C,BA,0.214
Baya,C,Baya.C,BA,0.171
Baya,C,Baya.C,BA,0.108
Baya,C,Baya.C,BA,0.187
Baya,C,Baya.C,BA,-0.024
Baya,C,Baya.C,BA,0.125
Baya,C,Baya.C,BA,0.158
Baya,C,Baya.C,BA,0.356
Baya,C,Baya.C,BA,0.207
Baya,C,Baya.C,BA,0.103
Baya,C,Baya.C,BA,0.122
Baya,C,Baya.C,BA,0.013
Baya,C,Baya.C,BA,0.122
Baya,C,Baya.C,BA,0.3
Baya,C,Baya.C,BB,0.111
Baya,C,Baya.C,BB,0.034
Baya,C,Baya.C,BB,0.086
Baya,C,Baya.C,BB,0.267
Baya,C,Baya.C,BB,0.151
Baya,C,Baya.C,BB,0.109
Baya,C,Baya.C,BB,0.044
Baya,C,Baya.C,BB,0.033
Baya,C,Baya.C,BB,0.112
Baya,C,Baya.C,BB,0.365
Baya,C,Baya.C,BB,0.173
Baya,C,Baya.C,BB,0.13
Baya,C,Baya.C,BB,0.172
Baya,C,Baya.C,BB,0.235
Baya,C,Baya.C,BB,0.096
Baya,C,Baya.C,BB,0.01
Baya,C,Baya.C,BB,0.324
Baya,C,Baya.C,BB,0.207
Baya,C,Baya.C,BB,0.169
Baya,C,Baya.C,BB,0.231
Baya,C,Baya.C,BB,0.203
Baya,C,Baya.C,BB,0.132
Baya,C,Baya.C,BB,0.261
Baya,C,Baya.C,BB,0.105
Baya,C,Baya.C,BB,0.159
Baya,C,Baya.C,BC,0.14
Baya,C,Baya.C,BC,0.052
Baya,C,Baya.C,BC,0.169
Baya,C,Baya.C,BC,0.227
Baya,C,Baya.C,BC,0.138
Baya,C,Baya.C,BC,0.206
Baya,C,Baya.C,BC,0.238
Baya,C,Baya.C,BC,-0.095
Baya,C,Baya.C,BC,0.205
Baya,C,Baya.C,BC,0.192
Baya,C,Baya.C,BC,0.096
Baya,C,Baya.C,BC,0.215
Baya,C,Baya.C,BC,0.04
Baya,C,Baya.C,BC,0.234
Baya,C,Baya.C,BC,0.151
Baya,C,Baya.C,BC,0.171
Baya,C,Baya.C,BC,0.056
Baya,C,Baya.C,BC,0.25
Baya,C,Baya.C,BC,0.225
Baya,C,Baya.C,BC,-0.009
Baya,C,Baya.C,BC,0.022
Baya,C,Baya.C,BC,0.295
Baya,C,Baya.C,BC,0.031
Baya,C,Baya.C,BC,-0.024
Baya,C,Baya.C,BC,0.222
Baya,C,Baya.C,BL,0.142
Baya,C,Baya.C,BL,0.109
Baya,C,Baya.C,BL,0.243
Baya,C,Baya.C,BL,0.161
Baya,C,Baya.C,BL,0.237
Baya,C,Baya.C,BL,0.136
Baya,C,Baya.C,BL,0.233
Baya,C,Baya.C,BL,0.177
Baya,C,Baya.C,BL,0.183
Baya,C,Baya.C,BL,0.075
Baya,C,Baya.C,BL,0.183
Baya,C,Baya.C,BL,0.229
Baya,C,Baya.C,BL,0.241
Baya,C,Baya.C,BL,0.132
Baya,C,Baya.C,BL,0.082
Baya,C,Baya.C,BL,0.296
Baya,C,Baya.C,BL,0.069
Baya,C,Baya.C,BL,0.307
Baya,C,Baya.C,BL,0.008
Baya,C,Baya.C,BL,0.208
Baya,C,Baya.C,BL,0.243
Baya,C,Baya.C,BL,0.258
Baya,C,Baya.C,BL,0.044
Baya,C,Baya.C,BL,0.162
Baya,C,Baya.C,BL,-0.086
Baya,C,Baya.C,BRR,0.159
Baya,C,Baya.C,BRR,0.169
Baya,C,Baya.C,BRR,0.243
Baya,C,Baya.C,BRR,0.109
Baya,C,Baya.C,BRR,0.04
Baya,C,Baya.C,BRR,0.301
Baya,C,Baya.C,BRR,0.083
Baya,C,Baya.C,BRR,0.082
Baya,C,Baya.C,BRR,0.29
Baya,C,Baya.C,BRR,0.099
Baya,C,Baya.C,BRR,-0.001
Baya,C,Baya.C,BRR,0.112
Baya,C,Baya.C,BRR,0.146
Baya,C,Baya.C,BRR,0.003
Baya,C,Baya.C,BRR,0.197
Baya,C,Baya.C,BRR,0.234
Baya,C,Baya.C,BRR,0.238
Baya,C,Baya.C,BRR,0.171
Baya,C,Baya.C,BRR,0.099
