Samples,CSPulpa.H
15060025,324
15060039,331
15060056,346
15060063,344
15060070,324
15060072,331
15060081,324
15060082,328
15060085,318
15060087,345
15060090,344
15060097,344
15060101,316
15060102,331
15060114,344
15060120,344
15060122,344
15060138,345
15060160,322
15060188,328
15060190,344
15060191,333
15060215,322
15060313,344
15060320,344
15060345,344
15060383,344
15060420,345
15060536,346
15060543,324
15060797,331
15060846,318
15060907,345
15060909,329
15060910,345
15060933,346
15060964,324
15061007,344
15061122,346
15061204,344
15061213,346
15061215,344
15061225,322
15061226,346
15061228,333
15061237,345
15061256,324
15061257,344
15061258,333
15061259,324
15061260,344
15061261,331
15061262,344
15061263,321
15061264,345
15061265,316
15061270,344
15061273,316
15061274,344
15061277,333
15061279,321
15061283,324
15061286,316
15061288,322
15061289,346
15061290,328
15061291,345
15061293,344
15061295,324
15061297,318
15061298,344
15061301,344
15061302,316
15061303,346
15061305,344
15061308,316
15061312,344
15061313,346
15061314,346
15061317,345
15061318,344
15061319,328
15061320,344
15061323,344
15061324,324
15061327,324
15061330,324
15061331,344
15061333,316
15061334,345
15061335,342
15061336,344
15061340,344
15061342,322
15061346,324
15061347,333
15061348,346
15061349,344
15061350,346
15061352,344
15061353,324
15061355,342
15061356,324
15061357,334
15061360,345
15061365,334
15061367,334
15061368,316
15061369,342
15061370,345
15061376,345
15061377,333
15061378,345
15061380,345
15061382,328
15061384,324
15061385,333
15061386,324
15061388,345
15061389,344
15061390,344
15061391,346
15061392,322
15061404,328
15061405,334
15061406,345
15061410,328
15061411,324
15061414,346
15061415,344
15061417,342
15061418,346
15061419,324
15061420,324
15061421,324
15061422,328
15061424,328
15061425,346
15061428,346
15061430,346
15061434,344
15061436,344
15061437,345
15061438,342
15061439,328
15061441,344
15061442,316
15061443,344
15061444,344
15061445,345
15061447,344
15061449,328
15061454,346
15061458,345
15061459,316
15061461,345
15061463,344
15061469,328
15061470,344
15061471,345
15061475,324
15061476,345
15061478,324
15061479,344
15061480,329
15061481,324
15061484,344
15061485,346
15061486,316
15061489,344
15061490,346
15061491,345
15061492,345
15061494,346
15061495,344
15061498,333
15061499,344
15061501,344
15061503,324
15061504,324
15061505,345
15061508,344
15061509,344
15061511,344
15061514,329
15061515,346
15061517,344
15061518,346
15061520,345
15061522,344
15061523,333
15061524,345
15061525,329
15061526,334
15061528,344
15061530,344
15061533,344
15061536,344
15061537,324
15061538,344
15061539,345
15061540,344
15061543,344
15061544,344
15061546,344
15061548,328
15061549,329
15061551,344
15061553,316
15061555,324
15061556,344
15061557,329
15061560,346
15061561,346
15061564,318
15061565,344
15061568,344
15061571,344
15061576,344
15061579,344
15061580,346
15061583,316
15061584,344
15061585,346
15061588,344
15061600,346
15061601,324
15061602,331
15061603,344
15061604,334
15061605,344
15061608,324
15061609,333
15061612,346
15061613,346
15061619,346
15061621,334
15061622,324
15061623,324
15061626,344
15061628,344
15061629,345
15061630,344
15061631,344
15061632,346
15061638,321
15061640,344
15061641,344
15061642,344
15061645,322
15061646,316
15061648,346
15061650,324
15061651,346
15061654,344
15061656,344
15061658,322
15061661,345
15061662,324
15061666,346
15061667,346
15061668,344
15061669,342
15061670,345
15061671,316
15061676,318
15061677,346
15061678,333
15061679,346
15061680,344
15061682,345
15061683,346
15061684,333
15061685,344
15061686,344
15061687,346
15061688,324
15061689,346
15061690,346
15061702,346
15061704,346
15061707,344
15061709,318
15061710,345
15061712,344
15061713,324
15061714,344
15061718,334
15061719,334
15061720,344
15061721,344
15061722,331
15061723,344
15061724,344
15061725,344
15061726,345
15061731,344
15061733,321
15061734,344
15061735,344
15061736,344
15061738,344
15061740,345
15061742,328
15061744,324
15061747,316
15061753,346
15061754,344
15061756,344
15061758,324
15061759,331
15061760,344
15061762,345
15061763,333
15061764,316
15061765,345
15061767,324
15061768,344
15061771,344
15061772,324
15061776,344
15061777,345
15061778,345
15061784,344
15061788,346
15061789,344
15061790,346
15061797,344
15061798,324
15061799,344
15061800,346
15061801,316
15061808,344
15061811,344
15061813,344
15061815,345
15061826,345
15061905,346
15061907,328
15061908,344
15061909,346
15061910,334
15061911,328
15061912,346
15061915,344
15061917,344
15061918,334
15061927,322
15061928,333
15061929,324
15061932,344
15061933,331
15061934,318
15061935,345
15061939,316
15061941,344
15061942,344
15061944,346
15061945,344
15061946,344
15061948,345
15061949,333
15061951,344
15061952,344
15061953,344
15061954,346
15061957,316
15061960,328
15061961,344
15061962,346
15061963,344
15061965,345
15061967,345
15061968,328
15061969,345
15062036,345
15062038,344
15062039,344
15062046,344
15062050,346
15062051,344
15062052,346
15062053,328
15062063,346
15062069,316
15062071,344
15062080,344
15062081,344
15062092,345
15062094,334
15062097,324
15062098,334
15062099,328
15062100,346
15062101,344
15062102,346
15062103,345
15062104,328
15062105,344
15062106,345
15062107,345
15062108,345
15062109,342
15062111,344
15062112,344
15062114,346
15062115,346
15062117,344
15062118,333
15062119,346
15062124,344
15062126,344
15062130,324
15062137,345
15062138,344
15062139,333
15062142,344
15062143,345
15062144,346
15062145,346
15062150,328
15062151,345
15062152,344
15062153,333
15062331,344
15062332,344
15062333,344
15062334,328
15062335,345
15062337,342
15062338,331
15062344,328
15062348,331
15062349,324
15062351,344
15062353,344
15062354,344
15062357,344
15062359,344
15062360,346
15062361,329
15062363,344
15062366,345
15062367,344
15062370,344
15062371,344
15062372,324
