Samples,CBaya.C
15061614,44
15061337,44
15062067,48
15061752,48
15061930,45
15061566,38
15061773,44
15061575,48
15061344,50
15061282,38
15061926,48
15061906,44
15061665,44
15061397,38
15060187,44
15061534,38
15062362,44
15061521,48
15061633,44
15061659,44
15061673,38
15062356,43
15061361,44
15061729,44
15061755,38
15061496,44
15062368,48
15062339,48
15061577,44
15062136,38
15061529,48
15061396,48
15061482,50
15061814,44
15061769,44
15061610,48
15062147,45
15061358,38
15061550,44
15061271,43
15060214,44
15062074,44
15061507,48
15061383,38
15062149,38
15060042,48
15061647,44
15061477,45
15061586,48
15062347,48
15061958,39
15062346,44
15061639,44
15061757,45
15061299,44
15061653,44
15061761,44
15062146,45
15061655,48
15061329,44
15061535,44
15061578,44
15061730,38
15061627,48
15061500,38
15061717,44
15062122,48
15061435,44
15061706,44
15061624,44
15060121,45
15061423,44
15061488,44
15061916,38
15061487,38
15061281,38
15061937,50
15061493,44
15061296,48
15061649,45
15061307,44
15062133,44
15062350,44
15061338,48
15060027,44
15061011,44
15061795,38
15062358,45
15061216,48
15061300,38
15061462,45
15061516,48
15061394,48
15061453,38
15062123,44
15060110,44
15061964,44
15061542,38
15060570,44
15061785,38
15061766,48
15060021,38
15061364,48
15060050,38
15061637,48
15062369,44
15061345,48
15061966,44
15061737,44
15060112,38
15061751,45
15061567,48
