Samples,CPBrote.H
15060025,307
15060039,327
15060056,307
15060063,339
15060070,307
15060072,322
15060081,307
15060082,307
15060085,307
15060087,307
15060090,307
15060097,337
15060101,307
15060102,307
15060114,320
15060120,328
15060122,324
15060138,307
15060160,307
15060188,307
15060190,307
15060191,307
15060215,324
15060313,318
15060320,346
15060345,341
15060383,338
15060420,309
15060536,329
15060543,336
15060797,306
15060846,307
15060907,303
15060909,307
15060910,336
15060933,339
15060964,309
15061007,309
15061122,317
15061204,307
15061213,346
15061215,330
15061225,305
15061226,308
15061228,307
15061237,336
15061256,307
15061257,338
15061258,307
15061259,307
15061260,307
15061261,316
15061262,307
15061263,304
15061264,307
15061265,307
15061270,307
15061273,307
15061274,341
15061277,306
15061279,314
15061283,306
15061286,308
15061288,307
15061289,323
15061290,307
15061291,327
15061293,306
15061295,307
15061297,307
15061298,314
15061301,314
15061302,306
15061303,328
15061305,307
15061308,306
15061312,308
15061313,307
15061314,346
15061317,314
15061318,307
15061319,307
15061320,339
15061323,314
15061324,307
15061327,307
15061330,339
15061331,316
15061333,306
15061334,320
15061335,306
15061336,307
15061340,306
15061342,306
15061346,336
15061347,307
15061348,307
15061349,314
15061350,336
15061352,307
15061353,306
15061355,307
15061356,320
15061357,307
15061360,307
15061365,319
15061367,319
15061368,307
15061369,307
15061370,336
15061376,336
15061377,336
15061378,309
15061380,307
15061382,310
15061384,306
15061385,307
15061386,307
15061388,344
15061389,302
15061390,307
15061391,307
15061392,309
15061404,307
15061405,307
15061406,307
15061410,317
15061411,307
15061414,321
15061415,339
15061417,324
15061418,324
15061419,307
15061420,312
15061421,307
15061422,346
15061424,303
15061425,336
15061428,336
15061430,339
15061434,346
15061436,309
15061437,314
15061438,314
15061439,306
15061441,303
15061442,308
15061443,344
15061444,307
15061445,308
15061447,345
15061449,307
15061454,308
15061458,336
15061459,314
15061461,336
15061463,314
15061469,309
15061470,324
15061471,314
15061475,307
15061476,314
15061478,307
15061479,347
15061480,309
15061481,307
15061484,307
15061485,317
15061486,314
15061489,314
15061490,336
15061491,336
15061492,316
15061494,314
15061495,307
15061498,314
15061499,314
15061501,332
15061503,308
15061504,308
15061505,339
15061508,309
15061509,314
15061511,307
15061514,307
15061515,314
15061517,304
15061518,305
15061520,334
15061522,307
15061523,307
15061524,314
15061525,312
15061526,302
15061528,307
15061530,302
15061533,314
15061536,307
15061537,308
15061538,308
15061539,309
15061540,307
15061543,314
15061544,314
15061546,314
15061548,327
15061549,307
15061551,336
15061553,314
15061555,307
15061556,315
15061557,307
15061560,314
15061561,333
15061564,329
15061565,336
15061568,320
15061571,327
15061576,314
15061579,314
15061580,307
15061583,308
15061584,327
15061585,314
15061588,307
15061600,319
15061601,307
15061602,316
15061603,306
15061604,336
15061605,320
15061608,324
15061609,307
15061612,314
15061613,314
15061619,346
15061621,331
15061622,307
15061623,307
15061626,307
15061628,308
15061629,307
15061630,307
15061631,306
15061632,322
15061638,314
15061640,307
15061641,315
15061642,307
15061645,306
15061646,307
15061648,307
15061650,314
15061651,314
15061654,314
15061656,316
15061658,314
15061661,308
15061662,314
15061666,316
15061667,307
15061668,339
15061669,336
15061670,329
15061671,339
15061676,314
15061677,314
15061678,314
15061679,307
15061680,329
15061682,307
15061683,314
15061684,306
15061685,306
15061686,307
15061687,308
15061688,303
15061689,327
15061690,314
15061702,306
15061704,306
15061707,314
15061709,309
15061710,307
15061712,314
15061713,307
15061714,346
15061718,307
15061719,306
15061720,341
15061721,331
15061722,327
15061723,341
15061724,312
15061725,339
15061726,336
15061731,347
15061733,310
15061734,339
15061735,339
15061736,306
15061738,346
15061740,307
15061742,307
15061744,312
15061747,314
15061753,347
15061754,332
15061756,308
15061758,308
15061759,308
15061760,308
15061762,307
15061763,307
15061764,307
15061765,307
15061767,307
15061768,301
15061771,308
15061772,307
15061776,314
15061777,307
15061778,322
15061784,307
15061788,307
15061789,328
15061790,329
15061797,307
15061798,303
15061799,307
15061800,314
15061801,308
15061808,347
15061811,314
15061813,315
15061815,312
15061826,346
15061905,336
15061907,308
15061908,327
15061909,307
15061910,307
15061911,336
15061912,341
15061915,343
15061917,338
15061918,324
15061927,304
15061928,303
15061929,307
15061932,330
15061933,307
15061934,307
15061935,347
15061939,307
15061941,328
15061942,314
15061944,317
15061945,336
15061946,307
15061948,323
15061949,307
15061951,336
15061952,314
15061953,307
15061954,339
15061957,322
15061960,307
15061961,307
15061962,328
15061963,334
15061965,307
15061967,307
15061968,306
15061969,314
15062036,307
15062038,341
15062039,324
15062046,341
15062050,308
15062051,338
15062052,345
15062053,330
15062063,307
15062069,307
15062071,307
15062080,323
15062081,307
15062092,306
15062094,314
15062097,307
15062098,336
15062099,308
15062100,328
15062101,307
15062102,320
15062103,316
15062104,307
15062105,307
15062106,307
15062107,314
15062108,314
15062109,332
15062111,307
15062112,307
15062114,308
15062115,312
15062117,339
15062118,339
15062119,307
15062124,314
15062126,307
15062130,303
15062137,329
15062138,306
15062139,336
15062142,327
15062143,307
15062144,303
15062145,306
15062150,307
15062151,307
15062152,307
15062153,322
15062331,322
15062332,307
15062333,307
15062334,307
15062335,332
15062337,338
15062338,329
15062344,307
15062348,320
15062349,306
15062351,307
15062353,341
15062354,339
15062357,307
15062359,314
15062360,317
15062361,314
15062363,341
15062366,314
15062367,314
15062370,307
15062371,321
15062372,306
