Samples,CSTuber.H
15061614,83
15061337,96
15062067,41
15061752,96
15061930,83
15061566,96
15061773,83
15061575,83
15061344,67
15061282,71
15061926,86
15061906,53
15061665,33
15061397,74
15060187,93
15061534,96
15062362,41
15061521,86
15061633,83
15061659,86
15061673,40
15062356,83
15061361,41
15061729,83
15061755,96
15061496,86
15062368,85
15062339,41
15061577,85
15062136,41
15061529,86
15061396,86
15061482,40
15061814,96
15061769,83
15061610,96
15062147,86
15061358,41
15061550,96
15061271,96
15060214,33
15062074,41
15061507,96
15061383,83
15062149,86
15060042,96
15061647,40
15061477,85
15061586,41
15062347,74
15061958,41
15062346,40
15061639,90
15061757,41
15061299,80
15061653,40
15061761,35
15062146,40
15061655,41
15061329,96
15061535,86
15061578,83
15061730,86
15061627,41
15061500,41
15061717,40
15062122,86
15061435,40
15061706,40
15061624,96
15060121,96
15061423,86
15061488,83
15061916,83
15061487,96
15061281,96
15061937,96
15061493,86
15061296,83
15061649,83
15061307,93
15062133,83
15062350,83
15061338,83
15060027,83
15061011,40
15061795,85
15062358,85
15061216,84
15061300,33
15061462,41
15061516,74
15061394,41
15061453,96
15062123,33
15060110,85
15061964,86
15061542,86
15060570,40
15061785,41
15061766,33
15060021,41
15061364,86
15060050,40
15061637,41
15062369,93
15061345,83
15061966,86
15061737,41
15060112,83
15061751,74
15061567,41
