Samples,CBaya.C
15060025,48
15060039,38
15060056,48
15060063,50
15060070,44
15060072,50
15060081,38
15060082,38
15060085,45
15060087,38
15060090,48
15060097,45
15060101,38
15060102,44
15060114,44
15060120,50
15060122,38
15060138,38
15060160,45
15060188,45
15060190,50
15060191,45
15060215,44
15060313,38
15060320,48
15060345,50
15060383,38
15060420,45
15060536,44
15060543,44
15060797,44
15060846,44
15060907,44
15060909,44
15060910,38
15060933,48
15060964,38
15061007,44
15061122,38
15061204,38
15061213,38
15061215,44
15061225,48
15061226,38
15061228,45
15061237,48
15061256,44
15061257,48
15061258,44
15061259,38
15061260,45
15061261,48
15061262,45
15061263,45
15061264,44
15061265,48
15061270,44
15061273,44
15061274,38
15061277,45
15061279,44
15061283,48
15061286,44
15061288,44
15061289,48
15061290,45
15061291,44
15061293,48
15061295,50
15061297,44
15061298,48
15061301,44
15061302,48
15061303,48
15061305,48
15061308,44
15061312,48
15061313,39
15061314,48
15061317,48
15061318,44
15061319,45
15061320,45
15061323,44
15061324,44
15061327,44
15061330,43
15061331,44
15061333,44
15061334,48
15061335,48
15061336,44
15061340,44
15061342,48
15061346,44
15061347,44
15061348,45
15061349,45
15061350,45
15061352,48
15061353,44
15061355,44
15061356,44
15061357,44
15061360,44
15061365,44
15061367,48
15061368,48
15061369,48
15061370,44
15061376,44
15061377,44
15061378,44
15061380,44
15061382,38
15061384,44
15061385,44
15061386,48
15061388,45
15061389,48
15061390,44
15061391,44
15061392,44
15061404,48
15061405,38
15061406,44
15061410,44
15061411,38
15061414,48
15061415,38
15061417,45
15061418,48
15061419,44
15061420,44
15061421,48
15061422,44
15061424,44
15061425,44
15061428,48
15061430,44
15061434,38
15061436,38
15061437,50
15061438,44
15061439,44
15061441,48
15061442,48
15061443,50
15061444,43
15061445,44
15061447,38
15061449,45
15061454,44
15061458,48
15061459,38
15061461,48
15061463,44
15061469,38
15061470,48
15061471,44
15061475,50
15061476,50
15061478,44
15061479,48
15061480,44
15061481,44
15061484,45
15061485,48
15061486,44
15061489,48
15061490,48
15061491,48
15061492,44
15061494,44
15061495,45
15061498,44
15061499,50
15061501,38
15061503,48
15061504,44
15061505,48
15061508,48
15061509,48
15061511,38
15061514,48
15061515,38
15061517,44
15061518,48
15061520,38
15061522,48
15061523,45
15061524,43
15061525,45
15061526,44
15061528,48
15061530,48
15061533,38
15061536,45
15061537,50
15061538,43
15061539,44
15061540,45
15061543,48
15061544,38
15061546,44
15061548,44
15061549,38
15061551,48
15061553,44
15061555,44
15061556,44
15061557,38
15061560,48
15061561,44
15061564,38
15061565,38
15061568,44
15061571,45
15061576,44
15061579,45
15061580,48
15061583,44
15061584,48
15061585,38
15061588,44
15061600,44
15061601,38
15061602,38
15061603,48
15061604,45
15061605,48
15061608,38
15061609,44
15061612,44
15061613,45
15061619,38
15061621,48
15061622,44
15061623,48
15061626,44
15061628,48
15061629,48
15061630,43
15061631,48
15061632,44
15061638,44
15061640,44
15061641,44
15061642,44
15061645,45
15061646,44
15061648,48
15061650,48
15061651,48
15061654,44
15061656,45
15061658,44
15061661,38
15061662,44
15061666,48
15061667,43
15061668,48
15061669,38
15061670,38
15061671,44
15061676,45
15061677,44
15061678,48
15061679,48
15061680,48
15061682,50
15061683,45
15061684,38
15061685,50
15061686,48
15061687,44
15061688,44
15061689,48
15061690,44
15061702,38
15061704,44
15061707,44
15061709,48
15061710,48
15061712,44
15061713,38
15061714,44
15061718,43
15061719,45
15061720,45
15061721,48
15061722,48
15061723,48
15061724,48
15061725,44
15061726,44
15061731,48
15061733,38
15061734,44
15061735,50
15061736,43
15061738,44
15061740,45
15061742,38
15061744,48
15061747,44
15061753,48
15061754,48
15061756,44
15061758,48
15061759,45
15061760,48
15061762,38
15061763,38
15061764,48
15061765,48
15061767,39
15061768,48
15061771,39
15061772,50
15061776,44
15061777,48
15061778,44
15061784,44
15061788,44
15061789,45
15061790,48
15061797,44
15061798,38
15061799,38
15061800,44
15061801,48
15061808,48
15061811,44
15061813,43
15061815,48
15061826,44
15061905,48
15061907,38
15061908,38
15061909,50
15061910,44
15061911,44
15061912,44
15061915,44
15061917,48
15061918,50
15061927,48
15061928,44
15061929,44
15061932,45
15061933,38
15061934,38
15061935,50
15061939,48
15061941,50
15061942,48
15061944,45
15061945,48
15061946,44
15061948,44
15061949,44
15061951,48
15061952,48
15061953,48
15061954,38
15061957,38
15061960,44
15061961,38
15061962,44
15061963,45
15061965,48
15061967,44
15061968,38
15061969,38
15062036,38
15062038,45
15062039,38
15062046,44
15062050,38
15062051,44
15062052,50
15062053,38
15062063,48
15062069,44
15062071,38
15062080,44
15062081,50
15062092,38
15062094,48
15062097,44
15062098,48
15062099,44
15062100,44
15062101,48
15062102,45
15062103,38
15062104,45
15062105,44
15062106,44
15062107,38
15062108,44
15062109,50
15062111,38
15062112,48
15062114,50
15062115,48
15062117,48
15062118,48
15062119,48
15062124,48
15062126,48
15062130,48
15062137,44
15062138,48
15062139,44
15062142,48
15062143,44
15062144,45
15062145,44
15062150,44
15062151,44
15062152,44
15062153,48
15062331,48
15062332,48
15062333,44
15062334,45
15062335,38
15062337,48
15062338,44
15062344,44
15062348,44
15062349,38
15062351,48
15062353,45
15062354,48
15062357,48
15062359,44
15062360,38
15062361,45
15062363,44
15062366,48
15062367,50
15062370,44
15062371,38
15062372,44
