Samples,CSBrote.C
15061614,7
15061337,5
15062067,4
15061752,7
15061930,7
15061566,4
15061773,7
15061575,7
15061344,7
15061282,7
15061926,4
15061906,7
15061665,4
15061397,7
15060187,7
15061534,7
15062362,4
15061521,7
15061633,4
15061659,7
15061673,7
15062356,7
15061361,7
15061729,7
15061755,7
15061496,7
15062368,7
15062339,7
15061577,4
15062136,7
15061529,7
15061396,4
15061482,4
15061814,4
15061769,7
15061610,4
15062147,7
15061358,7
15061550,7
15061271,7
15060214,7
15062074,4
15061507,4
15061383,7
15062149,7
15060042,5
15061647,4
15061477,7
15061586,5
15062347,4
15061958,4
15062346,7
15061639,7
15061757,5
15061299,7
15061653,7
15061761,4
15062146,7
15061655,4
15061329,4
15061535,7
15061578,4
15061730,7
15061627,7
15061500,4
15061717,4
15062122,7
15061435,7
15061706,7
15061624,4
15060121,7
15061423,4
15061488,4
15061916,4
15061487,7
15061281,7
15061937,4
15061493,7
15061296,7
15061649,7
15061307,4
15062133,7
15062350,7
15061338,7
15060027,7
15061011,7
15061795,7
15062358,4
15061216,7
15061300,4
15061462,7
15061516,5
15061394,7
15061453,4
15062123,4
15060110,5
15061964,4
15061542,7
15060570,7
15061785,7
15061766,7
15060021,7
15061364,5
15060050,7
15061637,7
15062369,7
15061345,4
15061966,7
15061737,7
15060112,7
15061751,4
15061567,4
