Samples,CSPulpa.C
15061614,33
15061337,33
15062067,33
15061752,34
15061930,28
15061566,22
15061773,28
15061575,33
15061344,33
15061282,30
15061926,28
15061906,22
15061665,28
15061397,39
15060187,33
15061534,34
15062362,28
15061521,22
15061633,28
15061659,34
15061673,33
15062356,22
15061361,26
15061729,33
15061755,43
15061496,28
15062368,23
15062339,28
15061577,36
15062136,22
15061529,33
15061396,22
15061482,33
15061814,30
15061769,37
15061610,33
15062147,28
15061358,28
15061550,36
15061271,36
15060214,28
15062074,36
15061507,30
15061383,23
15062149,26
15060042,26
15061647,28
15061477,33
15061586,22
15062347,36
15061958,28
15062346,33
15061639,26
15061757,22
15061299,43
15061653,33
15061761,28
15062146,22
15061655,34
15061329,39
15061535,33
15061578,34
15061730,33
15061627,33
15061500,33
15061717,23
15062122,22
15061435,22
15061706,28
15061624,28
15060121,36
15061423,36
15061488,33
15061916,36
15061487,28
15061281,26
15061937,36
15061493,36
15061296,33
15061649,33
15061307,36
15062133,33
15062350,33
15061338,23
15060027,38
15061011,22
15061795,22
15062358,11
15061216,33
15061300,28
15061462,36
15061516,22
15061394,22
15061453,28
15062123,22
15060110,22
15061964,33
15061542,37
15060570,23
15061785,36
15061766,22
15060021,22
15061364,22
15060050,43
15061637,22
15062369,33
15061345,37
15061966,33
15061737,36
15060112,36
15061751,30
15061567,36
