Samples,CPulpa.H
15060025,52
15060039,71
15060056,71
15060063,90
15060070,71
15060072,94
15060081,52
15060082,71
15060085,52
15060087,52
15060090,52
15060097,52
15060101,71
15060102,71
15060114,71
15060120,71
15060122,90
15060138,71
15060160,90
15060188,52
15060190,90
15060191,94
15060215,71
15060313,90
15060320,90
15060345,94
15060383,96
15060420,90
15060536,90
15060543,94
15060797,93
15060846,71
15060907,71
15060909,71
15060910,90
15060933,52
15060964,84
15061007,84
15061122,71
15061204,90
15061213,85
15061215,90
15061225,71
15061226,71
15061228,90
15061237,52
15061256,88
15061257,90
15061258,71
15061259,71
15061260,71
15061261,96
15061262,90
15061263,94
15061264,94
15061265,71
15061270,90
15061273,94
15061274,90
15061277,71
15061279,94
15061283,90
15061286,94
15061288,71
15061289,90
15061290,71
15061291,90
15061293,90
15061295,71
15061297,95
15061298,90
15061301,90
15061302,94
15061303,71
15061305,71
15061308,93
15061312,71
15061313,90
15061314,90
15061317,94
15061318,71
15061319,71
15061320,90
15061323,71
15061324,94
15061327,71
15061330,94
15061331,71
15061333,90
15061334,94
15061335,90
15061336,90
15061340,90
15061342,90
15061346,94
15061347,90
15061348,90
15061349,90
15061350,93
15061352,94
15061353,71
15061355,90
15061356,88
15061357,90
15061360,90
15061365,90
15061367,71
15061368,94
15061369,71
15061370,90
15061376,94
15061377,94
15061378,90
15061380,90
15061382,71
15061384,71
15061385,71
15061386,90
15061388,71
15061389,90
15061390,90
15061391,90
15061392,94
15061404,90
15061405,71
15061406,90
15061410,71
15061411,52
15061414,90
15061415,90
15061417,85
15061418,71
15061419,71
15061420,71
15061421,90
15061422,71
15061424,94
15061425,90
15061428,90
15061430,90
15061434,90
15061436,71
15061437,71
15061438,71
15061439,90
15061441,90
15061442,71
15061443,90
15061444,71
15061445,90
15061447,71
15061449,90
15061454,90
15061458,94
15061459,71
15061461,94
15061463,96
15061469,96
15061470,71
15061471,71
15061475,90
15061476,71
15061478,96
15061479,96
15061480,94
15061481,71
15061484,94
15061485,90
15061486,88
15061489,90
15061490,94
15061491,90
15061492,93
15061494,71
15061495,90
15061498,90
15061499,90
15061501,71
15061503,94
15061504,71
15061505,94
15061508,71
15061509,90
15061511,71
15061514,90
15061515,90
15061517,90
15061518,71
15061520,93
15061522,71
15061523,71
15061524,71
15061525,71
15061526,94
15061528,90
15061530,71
15061533,71
15061536,71
15061537,94
15061538,71
15061539,90
15061540,90
15061543,90
15061544,71
15061546,71
15061548,94
15061549,90
15061551,71
15061553,90
15061555,90
15061556,71
15061557,90
15061560,90
15061561,90
15061564,71
15061565,94
15061568,90
15061571,71
15061576,90
15061579,71
15061580,90
15061583,71
15061584,71
15061585,71
15061588,90
15061600,90
15061601,94
15061602,94
15061603,71
15061604,90
15061605,95
15061608,94
15061609,71
15061612,71
15061613,71
15061619,90
15061621,94
15061622,90
15061623,71
15061626,71
15061628,90
15061629,71
15061630,96
15061631,71
15061632,71
15061638,94
15061640,90
15061641,52
15061642,90
15061645,90
15061646,94
15061648,90
15061650,93
15061651,71
15061654,71
15061656,71
15061658,71
15061661,71
15061662,71
15061666,71
15061667,90
15061668,90
15061669,71
15061670,71
15061671,94
15061676,90
15061677,71
15061678,90
15061679,90
15061680,71
15061682,90
15061683,71
15061684,71
15061685,94
15061686,90
15061687,71
15061688,90
15061689,90
15061690,90
15061702,90
15061704,71
15061707,90
15061709,71
15061710,96
15061712,90
15061713,85
15061714,71
15061718,71
15061719,94
15061720,90
15061721,90
15061722,71
15061723,90
15061724,90
15061725,71
15061726,94
15061731,90
15061733,94
15061734,71
15061735,52
15061736,94
15061738,90
15061740,71
15061742,71
15061744,71
15061747,94
15061753,71
15061754,90
15061756,94
15061758,94
15061759,94
15061760,94
15061762,90
15061763,94
15061764,94
15061765,90
15061767,94
15061768,71
15061771,90
15061772,90
15061776,71
15061777,94
15061778,96
15061784,90
15061788,71
15061789,71
15061790,71
15061797,90
15061798,71
15061799,90
15061800,71
15061801,71
15061808,96
15061811,90
15061813,90
15061815,90
15061826,71
15061905,90
15061907,94
15061908,85
15061909,90
15061910,71
15061911,90
15061912,94
15061915,90
15061917,90
15061918,71
15061927,71
15061928,71
15061929,71
15061932,71
15061933,94
15061934,94
15061935,71
15061939,94
15061941,90
15061942,90
15061944,71
15061945,90
15061946,71
15061948,90
15061949,71
15061951,90
15061952,90
15061953,71
15061954,90
15061957,71
15061960,90
15061961,71
15061962,71
15061963,71
15061965,90
15061967,71
15061968,90
15061969,71
15062036,71
15062038,94
15062039,94
15062046,94
15062050,90
15062051,94
15062052,94
15062053,71
15062063,90
15062069,94
15062071,90
15062080,90
15062081,90
15062092,71
15062094,71
15062097,90
15062098,90
15062099,94
15062100,71
15062101,90
15062102,71
15062103,94
15062104,90
15062105,71
15062106,90
15062107,71
15062108,71
15062109,90
15062111,94
15062112,88
15062114,90
15062115,90
15062117,90
15062118,90
15062119,71
15062124,90
15062126,90
15062130,71
15062137,71
15062138,71
15062139,71
15062142,71
15062143,90
15062144,90
15062145,90
15062150,71
15062151,90
15062152,71
15062153,71
15062331,71
15062332,71
15062333,71
15062334,71
15062335,90
15062337,90
15062338,94
15062344,90
15062348,94
15062349,90
15062351,90
15062353,90
15062354,94
15062357,71
15062359,90
15062360,71
15062361,94
15062363,90
15062366,71
15062367,90
15062370,94
15062371,71
15062372,94
