Samples,CPulpa.H
15061614,71
15061337,90
15062067,71
15061752,94
15061930,71
15061566,71
15061773,90
15061575,90
15061344,90
15061282,71
15061926,71
15061906,71
15061665,90
15061397,94
15060187,93
15061534,96
15062362,90
15061521,93
15061633,71
15061659,71
15061673,71
15062356,94
15061361,90
15061729,90
15061755,94
15061496,71
15062368,94
15062339,94
15061577,94
15062136,93
15061529,90
15061396,71
15061482,71
15061814,71
15061769,71
15061610,71
15062147,71
15061358,90
15061550,94
15061271,71
15060214,71
15062074,71
15061507,71
15061383,90
15062149,90
15060042,71
15061647,71
15061477,71
15061586,71
15062347,90
15061958,90
15062346,94
15061639,71
15061757,94
15061299,71
15061653,94
15061761,94
15062146,93
15061655,90
15061329,93
15061535,90
15061578,71
15061730,90
15061627,71
15061500,71
15061717,90
15062122,71
15061435,90
15061706,90
15061624,71
15060121,71
15061423,71
15061488,71
15061916,90
15061487,71
15061281,71
15061937,71
15061493,94
15061296,94
15061649,90
15061307,90
15062133,71
15062350,94
15061338,71
15060027,71
15061011,94
15061795,93
15062358,90
15061216,90
15061300,96
15061462,96
15061516,52
15061394,94
15061453,90
15062123,71
15060110,71
15061964,90
15061542,90
15060570,94
15061785,71
15061766,90
15060021,93
15061364,90
15060050,71
15061637,90
15062369,90
15061345,90
15061966,90
15061737,90
15060112,90
15061751,71
15061567,94
