Samples,CSTuber.H
15060025,41
15060039,96
15060056,67
15060063,96
15060070,96
15060072,83
15060081,40
15060082,41
15060085,41
15060087,84
15060090,84
15060097,33
15060101,96
15060102,41
15060114,83
15060120,33
15060122,83
15060138,83
15060160,84
15060188,41
15060190,53
15060191,33
15060215,86
15060313,33
15060320,41
15060345,41
15060383,40
15060420,83
15060536,41
15060543,86
15060797,86
15060846,84
15060907,86
15060909,41
15060910,96
15060933,84
15060964,85
15061007,83
15061122,83
15061204,96
15061213,83
15061215,96
15061225,85
15061226,41
15061228,93
15061237,84
15061256,83
15061257,85
15061258,86
15061259,86
15061260,83
15061261,41
15061262,69
15061263,93
15061264,41
15061265,96
15061270,80
15061273,41
15061274,85
15061277,41
15061279,84
15061283,96
15061286,83
15061288,93
15061289,83
15061290,41
15061291,96
15061293,41
15061295,33
15061297,85
15061298,96
15061301,96
15061302,96
15061303,41
15061305,41
15061308,96
15061312,83
15061313,41
15061314,86
15061317,83
15061318,86
15061319,69
15061320,40
15061323,40
15061324,85
15061327,96
15061330,96
15061331,40
15061333,74
15061334,85
15061335,41
15061336,96
15061340,83
15061342,96
15061346,84
15061347,96
15061348,83
15061349,33
15061350,83
15061352,41
15061353,83
15061355,86
15061356,33
15061357,83
15061360,84
15061365,83
15061367,83
15061368,41
15061369,41
15061370,86
15061376,83
15061377,40
15061378,41
15061380,85
15061382,83
15061384,86
15061385,86
15061386,84
15061388,80
15061389,85
15061390,86
15061391,86
15061392,41
15061404,93
15061405,74
15061406,84
15061410,84
15061411,93
15061414,41
15061415,86
15061417,85
15061418,41
15061419,96
15061420,41
15061421,83
15061422,86
15061424,96
15061425,96
15061428,96
15061430,85
15061434,41
15061436,35
15061437,41
15061438,84
15061439,41
15061441,40
15061442,93
15061443,33
15061444,90
15061445,41
15061447,96
15061449,96
15061454,96
15061458,85
15061459,96
15061461,41
15061463,96
15061469,83
15061470,70
15061471,84
15061475,96
15061476,96
15061478,96
15061479,96
15061480,96
15061481,40
15061484,74
15061485,41
15061486,83
15061489,83
15061490,96
15061491,86
15061492,86
15061494,41
15061495,86
15061498,86
15061499,40
15061501,41
15061503,93
15061504,93
15061505,96
15061508,40
15061509,86
15061511,96
15061514,86
15061515,53
15061517,96
15061518,86
15061520,86
15061522,33
15061523,96
15061524,33
15061525,96
15061526,83
15061528,41
15061530,74
15061533,86
15061536,86
15061537,83
15061538,85
15061539,41
15061540,33
15061543,86
15061544,85
15061546,86
15061548,83
15061549,84
15061551,41
15061553,86
15061555,93
15061556,41
15061557,96
15061560,41
15061561,41
15061564,96
15061565,80
15061568,41
15061571,67
15061576,33
15061579,96
15061580,96
15061583,90
15061584,86
15061585,85
15061588,83
15061600,84
15061601,41
15061602,41
15061603,96
15061604,86
15061605,41
15061608,41
15061609,96
15061612,41
15061613,78
15061619,86
15061621,83
15061622,41
15061623,96
15061626,96
15061628,41
15061629,41
15061630,86
15061631,85
15061632,96
15061638,41
15061640,84
15061641,93
15061642,41
15061645,86
15061646,80
15061648,74
15061650,41
15061651,83
15061654,67
15061656,80
15061658,84
15061661,86
15061662,96
15061666,33
15061667,41
15061668,40
15061669,41
15061670,86
15061671,83
15061676,83
15061677,83
15061678,83
15061679,83
15061680,94
15061682,41
15061683,90
15061684,41
15061685,69
15061686,83
15061687,41
15061688,83
15061689,83
15061690,83
15061702,83
15061704,85
15061707,33
15061709,41
15061710,84
15061712,96
15061713,41
15061714,33
15061718,83
15061719,67
15061720,67
15061721,84
15061722,84
15061723,83
15061724,33
15061725,83
15061726,96
15061731,83
15061733,41
15061734,41
15061735,33
15061736,33
15061738,83
15061740,74
15061742,40
15061744,41
15061747,80
15061753,84
15061754,33
15061756,83
15061758,84
15061759,41
15061760,67
15061762,83
15061763,41
15061764,41
15061765,86
15061767,33
15061768,83
15061771,83
15061772,83
15061776,33
15061777,83
15061778,86
15061784,83
15061788,41
15061789,41
15061790,41
15061797,41
15061798,83
15061799,40
15061800,41
15061801,96
15061808,41
15061811,84
15061813,40
15061815,80
15061826,85
15061905,96
15061907,41
15061908,41
15061909,41
15061910,41
15061911,93
15061912,33
15061915,33
15061917,96
15061918,83
15061927,96
15061928,86
15061929,41
15061932,41
15061933,83
15061934,41
15061935,86
15061939,40
15061941,41
15061942,96
15061944,33
15061945,41
15061946,83
15061948,83
15061949,85
15061951,86
15061952,86
15061953,86
15061954,86
15061957,96
15061960,86
15061961,86
15061962,41
15061963,86
15061965,41
15061967,86
15061968,86
15061969,40
15062036,96
15062038,86
15062039,40
15062046,41
15062050,33
15062051,86
15062052,86
15062053,86
15062063,33
15062069,41
15062071,33
15062080,41
15062081,41
15062092,41
15062094,86
15062097,86
15062098,85
15062099,96
15062100,33
15062101,93
15062102,41
15062103,41
15062104,83
15062105,96
15062106,93
15062107,83
15062108,86
15062109,85
15062111,41
15062112,86
15062114,41
15062115,41
15062117,85
15062118,83
15062119,83
15062124,41
15062126,83
15062130,83
15062137,86
15062138,83
15062139,85
15062142,41
15062143,96
15062144,96
15062145,83
15062150,96
15062151,85
15062152,84
15062153,83
15062331,74
15062332,67
15062333,41
15062334,41
15062335,83
15062337,96
15062338,85
15062344,96
15062348,85
15062349,85
15062351,83
15062353,41
15062354,41
15062357,86
15062359,33
15062360,33
15062361,96
15062363,86
15062366,83
15062367,41
15062370,83
15062371,40
15062372,83
