Samples,CSBrote.H
15060025,318
15060039,318
15060056,318
15060063,318
15060070,318
15060072,344
15060081,344
15060082,41
15060085,344
15060087,344
15060090,318
15060097,41
15060101,318
15060102,318
15060114,52
15060120,318
15060122,318
15060138,318
15060160,344
15060188,318
15060190,318
15060191,318
15060215,318
15060313,318
15060320,41
15060345,318
15060383,318
15060420,318
15060536,318
15060543,318
15060797,318
15060846,41
15060907,318
15060909,41
15060910,318
15060933,318
15060964,318
15061007,318
15061122,318
15061204,41
15061213,41
15061215,41
15061225,318
15061226,41
15061228,318
15061237,318
15061256,318
15061257,41
15061258,344
15061259,41
15061260,41
15061261,318
15061262,41
15061263,318
15061264,41
15061265,318
15061270,318
15061273,353
15061274,318
15061277,318
15061279,346
15061283,344
15061286,346
15061288,41
15061289,41
15061290,318
15061291,41
15061293,41
15061295,318
15061297,318
15061298,41
15061301,352
15061302,41
15061303,41
15061305,41
15061308,318
15061312,41
15061313,41
15061314,318
15061317,41
15061318,41
15061319,344
15061320,41
15061323,318
15061324,41
15061327,318
15061330,41
15061331,318
15061333,318
15061334,318
15061335,318
15061336,41
15061340,318
15061342,318
15061346,41
15061347,318
15061348,318
15061349,318
15061350,41
15061352,322
15061353,318
15061355,41
15061356,318
15061357,41
15061360,41
15061365,318
15061367,41
15061368,318
15061369,318
15061370,318
15061376,318
15061377,41
15061378,318
15061380,41
15061382,318
15061384,318
15061385,41
15061386,318
15061388,41
15061389,41
15061390,41
15061391,316
15061392,318
15061404,347
15061405,41
15061406,318
15061410,41
15061411,41
15061414,41
15061415,318
15061417,344
15061418,41
15061419,41
15061420,318
15061421,318
15061422,41
15061424,318
15061425,318
15061428,41
15061430,41
15061434,318
15061436,41
15061437,318
15061438,336
15061439,41
15061441,318
15061442,41
15061443,41
15061444,41
15061445,41
15061447,41
15061449,318
15061454,41
15061458,318
15061459,318
15061461,318
15061463,41
15061469,41
15061470,41
15061471,318
15061475,344
15061476,41
15061478,41
15061479,41
15061480,318
15061481,344
15061484,41
15061485,41
15061486,318
15061489,41
15061490,41
15061491,318
15061492,41
15061494,41
15061495,318
15061498,318
15061499,318
15061501,318
15061503,318
15061504,318
15061505,318
15061508,41
15061509,41
15061511,41
15061514,318
15061515,318
15061517,318
15061518,41
15061520,41
15061522,41
15061523,41
15061524,318
15061525,318
15061526,41
15061528,344
15061530,41
15061533,318
15061536,318
15061537,41
15061538,41
15061539,318
15061540,41
15061543,41
15061544,41
15061546,318
15061548,318
15061549,41
15061551,41
15061553,318
15061555,318
15061556,41
15061557,41
15061560,318
15061561,41
15061564,41
15061565,318
15061568,41
15061571,318
15061576,41
15061579,41
15061580,41
15061583,318
15061584,41
15061585,41
15061588,41
15061600,318
15061601,318
15061602,318
15061603,318
15061604,318
15061605,318
15061608,41
15061609,318
15061612,318
15061613,318
15061619,318
15061621,41
15061622,318
15061623,318
15061626,318
15061628,318
15061629,318
15061630,318
15061631,41
15061632,318
15061638,318
15061640,318
15061641,318
15061642,41
15061645,318
15061646,318
15061648,41
15061650,41
15061651,41
15061654,41
15061656,344
15061658,318
15061661,318
15061662,41
15061666,41
15061667,344
15061668,318
15061669,318
15061670,41
15061671,318
15061676,318
15061677,318
15061678,41
15061679,344
15061680,344
15061682,41
15061683,318
15061684,318
15061685,318
15061686,41
15061687,318
15061688,318
15061689,318
15061690,41
15061702,318
15061704,41
15061707,318
15061709,344
15061710,318
15061712,41
15061713,41
15061714,318
15061718,318
15061719,318
15061720,318
15061721,318
15061722,41
15061723,318
15061724,318
15061725,318
15061726,41
15061731,318
15061733,318
15061734,318
15061735,41
15061736,41
15061738,41
15061740,41
15061742,41
15061744,318
15061747,318
15061753,318
15061754,41
15061756,318
15061758,318
15061759,318
15061760,318
15061762,318
15061763,318
15061764,318
15061765,41
15061767,41
15061768,318
15061771,41
15061772,318
15061776,318
15061777,318
15061778,318
15061784,318
15061788,318
15061789,41
15061790,41
15061797,322
15061798,318
15061799,318
15061800,41
15061801,41
15061808,41
15061811,41
15061813,41
15061815,318
15061826,41
15061905,318
15061907,336
15061908,344
15061909,344
15061910,318
15061911,318
15061912,318
15061915,318
15061917,318
15061918,41
15061927,41
15061928,318
15061929,318
15061932,41
15061933,41
15061934,41
15061935,41
15061939,324
15061941,41
15061942,41
15061944,318
15061945,318
15061946,318
15061948,318
15061949,41
15061951,41
15061952,41
15061953,41
15061954,41
15061957,318
15061960,41
15061961,318
15061962,41
15061963,41
15061965,41
15061967,318
15061968,318
15061969,41
15062036,52
15062038,344
15062039,318
15062046,318
15062050,318
15062051,318
15062052,318
15062053,318
15062063,41
15062069,318
15062071,318
15062080,318
15062081,344
15062092,41
15062094,318
15062097,318
15062098,41
15062099,41
15062100,41
15062101,41
15062102,41
15062103,41
15062104,41
15062105,41
15062106,347
15062107,41
15062108,41
15062109,41
15062111,318
15062112,41
15062114,318
15062115,41
15062117,318
15062118,41
15062119,41
15062124,318
15062126,318
15062130,318
15062137,41
15062138,41
15062139,41
15062142,41
15062143,41
15062144,318
15062145,318
15062150,41
15062151,41
15062152,41
15062153,41
15062331,344
15062332,344
15062333,41
15062334,41
15062335,318
15062337,318
15062338,318
15062344,318
15062348,41
15062349,318
15062351,318
15062353,41
15062354,41
15062357,41
15062359,41
15062360,41
15062361,318
15062363,318
15062366,41
15062367,41
15062370,41
15062371,318
15062372,318
