Samples,CPulpa.L
15061614,92
15061337,84
15062067,92
15061752,84
15061930,92
15061566,92
15061773,84
15061575,84
15061344,84
15061282,92
15061926,92
15061906,92
15061665,84
15061397,84
15060187,82
15061534,80
15062362,84
15061521,82
15061633,92
15061659,92
15061673,92
15062356,84
15061361,84
15061729,84
15061755,84
15061496,92
15062368,84
15062339,84
15061577,84
15062136,82
15061529,84
15061396,92
15061482,92
15061814,92
15061769,92
15061610,92
15062147,92
15061358,84
15061550,84
15061271,92
15060214,92
15062074,92
15061507,92
15061383,84
15062149,84
15060042,92
15061647,92
15061477,92
15061586,92
15062347,84
15061958,84
15062346,84
15061639,92
15061757,84
15061299,92
15061653,84
15061761,84
15062146,82
15061655,84
15061329,82
15061535,84
15061578,92
15061730,84
15061627,92
15061500,92
15061717,84
15062122,92
15061435,84
15061706,84
15061624,92
15060121,92
15061423,92
15061488,92
15061916,84
15061487,92
15061281,92
15061937,92
15061493,84
15061296,84
15061649,84
15061307,84
15062133,92
15062350,84
15061338,92
15060027,92
15061011,84
15061795,82
15062358,84
15061216,84
15061300,88
15061462,88
15061516,94
15061394,84
15061453,84
15062123,92
15060110,92
15061964,84
15061542,84
15060570,84
15061785,92
15061766,84
15060021,82
15061364,84
15060050,92
15061637,84
15062369,84
15061345,84
15061966,84
15061737,84
15060112,84
15061751,92
15061567,84
