Samples,CSTuber.C
15061614,30
15061337,47
15062067,37
15061752,41
15061930,36
15061566,42
15061773,35
15061575,26
15061344,35
15061282,42
15061926,41
15061906,32
15061665,39
15061397,37
15060187,35
15061534,42
15062362,37
15061521,41
15061633,36
15061659,41
15061673,19
15062356,35
15061361,33
15061729,36
15061755,42
15061496,41
15062368,47
15062339,37
15061577,47
15062136,31
15061529,42
15061396,41
15061482,29
15061814,42
15061769,37
15061610,42
15062147,42
15061358,36
15061550,42
15061271,42
15060214,37
15062074,26
15061507,42
15061383,36
15062149,42
15060042,42
15061647,28
15061477,24
15061586,37
15062347,37
15061958,39
15062346,39
15061639,37
15061757,32
15061299,26
15061653,39
15061761,20
15062146,19
15061655,29
15061329,42
15061535,41
15061578,36
15061730,41
15061627,28
15061500,39
15061717,24
15062122,42
15061435,42
15061706,32
15061624,42
15060121,41
15061423,41
15061488,35
15061916,35
15061487,42
15061281,42
15061937,42
15061493,41
15061296,35
15061649,35
15061307,35
15062133,37
15062350,35
15061338,35
15060027,35
15061011,33
15061795,42
15062358,47
15061216,32
15061300,41
15061462,22
15061516,33
15061394,19
15061453,42
15062123,37
15060110,47
15061964,41
15061542,41
15060570,32
15061785,29
15061766,35
15060021,32
15061364,41
15060050,34
15061637,33
15062369,42
15061345,35
15061966,41
15061737,19
15060112,35
15061751,37
15061567,25
