Samples,CSTuber.L
15061614,82
15061337,80
15062067,42
15061752,80
15061930,79
15061566,80
15061773,76
15061575,80
15061344,75
15061282,92
15061926,80
15061906,75
15061665,43
15061397,74
15060187,82
15061534,80
15062362,43
15061521,80
15061633,79
15061659,80
15061673,60
15062356,80
15061361,30
15061729,79
15061755,80
15061496,80
15062368,76
15062339,42
15061577,76
15062136,60
15061529,80
15061396,80
15061482,50
15061814,80
15061769,80
15061610,80
15062147,80
15061358,42
15061550,80
15061271,80
15060214,41
15062074,50
15061507,80
15061383,76
15062149,80
15060042,80
15061647,30
15061477,84
15061586,54
15062347,74
15061958,43
15062346,43
15061639,84
15061757,29
15061299,82
15061653,43
15061761,78
15062146,42
15061655,42
15061329,80
15061535,80
15061578,79
15061730,80
15061627,30
15061500,43
15061717,53
15062122,80
15061435,45
15061706,48
15061624,80
15060121,82
15061423,80
15061488,75
15061916,75
15061487,80
15061281,80
15061937,80
15061493,80
15061296,75
15061649,75
15061307,82
15062133,76
15062350,75
15061338,75
15060027,75
15061011,43
15061795,80
15062358,76
15061216,81
15061300,30
15061462,27
15061516,73
15061394,60
15061453,80
15062123,42
15060110,76
15061964,80
15061542,80
15060570,38
15061785,50
15061766,40
15060021,43
15061364,80
15060050,34
15061637,43
15062369,80
15061345,75
15061966,80
15061737,27
15060112,75
15061751,74
15061567,45
