Samples,CPBrote.H
15061614,324
15061337,314
15062067,346
15061752,307
15061930,324
15061566,314
15061773,307
15061575,307
15061344,306
15061282,306
15061926,316
15061906,307
15061665,323
15061397,304
15060187,316
15061534,308
15062362,309
15061521,324
15061633,309
15061659,319
15061673,327
15062356,307
15061361,307
15061729,317
15061755,314
15061496,314
15062368,336
15062339,321
15061577,307
15062136,314
15061529,314
15061396,307
15061482,327
15061814,317
15061769,339
15061610,307
15062147,346
15061358,306
15061550,314
15061271,307
15060214,314
15062074,307
15061507,309
15061383,307
15062149,341
15060042,307
15061647,306
15061477,307
15061586,344
15062347,307
15061958,336
15062346,301
15061639,322
15061757,307
15061299,309
15061653,336
15061761,307
15062146,307
15061655,329
15061329,306
15061535,307
15061578,329
15061730,319
15061627,320
15061500,328
15061717,306
15062122,307
15061435,302
15061706,317
15061624,329
15060121,307
15061423,324
15061488,308
15061916,307
15061487,307
15061281,320
15061937,307
15061493,314
15061296,314
15061649,314
15061307,306
15062133,307
15062350,308
15061338,307
15060027,307
15061011,302
15061795,314
15062358,329
15061216,308
15061300,306
15061462,302
15061516,346
15061394,307
15061453,309
15062123,307
15060110,307
15061964,307
15061542,317
15060570,322
15061785,322
15061766,307
15060021,307
15061364,314
15060050,327
15061637,307
15062369,336
15061345,339
15061966,307
15061737,315
15060112,307
15061751,312
15061567,339
