Samples,CPFlor.L
15061614,54
15061337,49
15062067,45
15061752,45
15061930,45
15061566,49
15061773,67
15061575,41
15061344,54
15061282,43
15061926,36
15061906,52
15061665,43
15061397,33
15060187,39
15061534,54
15062362,41
15061521,61
15061633,49
15061659,43
15061673,54
15062356,59
15061361,43
15061729,52
15061755,63
15061496,33
15062368,49
15062339,36
15061577,43
15062136,36
15061529,61
15061396,43
15061482,41
15061814,43
15061769,63
15061610,36
15062147,33
15061358,48
15061550,67
15061271,43
15060214,36
15062074,70
15061507,36
15061383,49
15062149,43
15060042,45
15061647,52
15061477,43
15061586,67
15062347,52
15061958,67
15062346,41
15061639,61
15061757,49
15061299,61
15061653,52
15061761,54
15062146,43
15061655,66
15061329,36
15061535,49
15061578,61
15061730,52
15061627,66
15061500,36
15061717,52
15062122,31
15061435,43
15061706,43
15061624,38
15060121,52
15061423,54
15061488,43
15061916,36
15061487,42
15061281,41
15061937,36
15061493,43
15061296,54
15061649,54
15061307,61
15062133,43
15062350,54
15061338,54
15060027,36
15061011,43
15061795,43
15062358,43
15061216,57
15061300,43
15061462,43
15061516,41
15061394,43
15061453,43
15062123,58
15060110,36
15061964,43
15061542,57
15060570,42
15061785,66
15061766,33
15060021,37
15061364,43
15060050,54
15061637,43
15062369,43
15061345,36
15061966,43
15061737,43
15060112,41
15061751,58
15061567,63
