Samples,CBaya.H
15060025,118
15060039,115
15060056,118
15060063,115
15060070,117
15060072,115
15060081,112
15060082,116
15060085,117
15060087,115
15060090,118
15060097,116
15060101,115
15060102,117
15060114,117
15060120,115
15060122,116
15060138,116
15060160,117
15060188,117
15060190,115
15060191,116
15060215,117
15060313,115
15060320,118
15060345,115
15060383,115
15060420,117
15060536,117
15060543,117
15060797,117
15060846,117
15060907,117
15060909,117
15060910,116
15060933,118
15060964,115
15061007,117
15061122,115
15061204,115
15061213,111
15061215,117
15061225,118
15061226,112
15061228,117
15061237,116
15061256,117
15061257,118
15061258,117
15061259,116
15061260,117
15061261,117
15061262,117
15061263,117
15061264,117
15061265,118
15061270,117
15061273,117
15061274,116
15061277,116
15061279,117
15061283,118
15061286,117
15061288,117
15061289,118
15061290,115
15061291,117
15061293,118
15061295,115
15061297,117
15061298,118
15061301,117
15061302,118
15061303,118
15061305,118
15061308,117
15061312,118
15061313,111
15061314,116
15061317,118
15061318,117
15061319,115
15061320,115
15061323,117
15061324,117
15061327,117
15061330,116
15061331,117
15061333,117
15061334,118
15061335,118
15061336,117
15061340,117
15061342,117
15061346,117
15061347,117
15061348,117
15061349,117
15061350,117
15061352,118
15061353,117
15061355,117
15061356,117
15061357,117
15061360,117
15061365,117
15061367,117
15061368,117
15061369,118
15061370,117
15061376,117
15061377,117
15061378,117
15061380,117
15061382,115
15061384,117
15061385,117
15061386,118
15061388,118
15061389,118
15061390,117
15061391,117
15061392,117
15061404,118
15061405,115
15061406,117
15061410,117
15061411,115
15061414,118
15061415,115
15061417,117
15061418,118
15061419,117
15061420,117
15061421,118
15061422,117
15061424,117
15061425,117
15061428,118
15061430,117
15061434,116
15061436,115
15061437,115
15061438,117
15061439,117
15061441,118
15061442,118
15061443,115
15061444,115
15061445,117
15061447,112
15061449,115
15061454,117
15061458,118
15061459,115
15061461,117
15061463,117
15061469,112
15061470,118
15061471,117
15061475,115
15061476,115
15061478,117
15061479,118
15061480,117
15061481,117
15061484,115
15061485,117
15061486,117
15061489,118
15061490,118
15061491,117
15061492,117
15061494,117
15061495,115
15061498,117
15061499,117
15061501,115
15061503,118
15061504,117
15061505,118
15061508,118
15061509,118
15061511,115
15061514,118
15061515,112
15061517,117
15061518,118
15061520,115
15061522,118
15061523,115
15061524,115
15061525,115
15061526,117
15061528,118
15061530,118
15061533,115
15061536,115
15061537,115
15061538,117
15061539,117
15061540,115
15061543,118
15061544,115
15061546,117
15061548,117
15061549,112
15061551,117
15061553,117
15061555,117
15061556,117
15061557,115
15061560,118
15061561,117
15061564,115
15061565,116
15061568,117
15061571,116
15061576,117
15061579,115
15061580,118
15061583,117
15061584,118
15061585,115
15061588,117
15061600,117
15061601,116
15061602,115
15061603,118
15061604,117
15061605,118
15061608,112
15061609,117
15061612,117
15061613,117
15061619,115
15061621,117
15061622,117
15061623,118
15061626,117
15061628,117
15061629,115
15061630,116
15061631,118
15061632,117
15061638,117
15061640,117
15061641,117
15061642,117
15061645,115
15061646,117
15061648,118
15061650,118
15061651,117
15061654,117
15061656,118
15061658,117
15061661,115
15061662,115
15061666,118
15061667,116
15061668,117
15061669,112
15061670,115
15061671,117
15061676,117
15061677,117
15061678,117
15061679,116
15061680,118
15061682,115
15061683,115
15061684,115
15061685,115
15061686,116
15061687,117
15061688,117
15061689,117
15061690,117
15061702,115
15061704,112
15061707,117
15061709,116
15061710,117
15061712,117
15061713,115
15061714,117
15061718,117
15061719,115
15061720,117
15061721,117
15061722,117
15061723,118
15061724,117
15061725,117
15061726,117
15061731,118
15061733,115
15061734,117
15061735,115
15061736,116
15061738,117
15061740,117
15061742,111
15061744,117
15061747,117
15061753,118
15061754,117
15061756,117
15061758,117
15061759,115
15061760,118
15061762,115
15061763,115
15061764,118
15061765,118
15061767,111
15061768,118
15061771,112
15061772,120
15061776,117
15061777,117
15061778,117
15061784,117
15061788,117
15061789,115
15061790,118
15061797,117
15061798,112
15061799,115
15061800,117
15061801,118
15061808,118
15061811,117
15061813,116
15061815,118
15061826,117
15061905,117
15061907,116
15061908,115
15061909,115
15061910,117
15061911,117
15061912,117
15061915,117
15061917,118
15061918,115
15061927,117
15061928,117
15061929,117
15061932,117
15061933,116
15061934,115
15061935,115
15061939,118
15061941,115
15061942,118
15061944,115
15061945,118
15061946,117
15061948,117
15061949,117
15061951,117
15061952,118
15061953,117
15061954,115
15061957,115
15061960,117
15061961,117
15061962,117
15061963,117
15061965,118
15061967,117
15061968,116
15061969,116
15062036,115
15062038,117
15062039,115
15062046,117
15062050,112
15062051,117
15062052,118
15062053,112
15062063,118
15062069,117
15062071,115
15062080,117
15062081,115
15062092,115
15062094,116
15062097,117
15062098,118
15062099,117
15062100,117
15062101,118
15062102,117
15062103,115
15062104,117
15062105,117
15062106,117
15062107,115
15062108,117
15062109,115
15062111,115
15062112,117
15062114,115
15062115,118
15062117,118
15062118,118
15062119,118
15062124,116
15062126,117
15062130,117
15062137,117
15062138,118
15062139,117
15062142,117
15062143,117
15062144,117
15062145,117
15062150,117
15062151,117
15062152,117
15062153,118
15062331,116
15062332,118
15062333,117
15062334,117
15062335,115
15062337,118
15062338,117
15062344,117
15062348,117
15062349,112
15062351,117
15062353,117
15062354,116
15062357,118
15062359,117
15062360,116
15062361,118
15062363,117
15062366,118
15062367,115
15062370,117
15062371,111
15062372,117
