Samples,CBaya.H
15061614,117
15061337,117
15062067,116
15061752,118
15061930,116
15061566,115
15061773,117
15061575,118
15061344,115
15061282,112
15061926,117
15061906,117
15061665,117
15061397,112
15060187,117
15061534,115
15062362,117
15061521,118
15061633,117
15061659,117
15061673,115
15062356,116
15061361,117
15061729,117
15061755,115
15061496,117
15062368,117
15062339,117
15061577,117
15062136,116
15061529,118
15061396,118
15061482,118
15061814,117
15061769,117
15061610,118
15062147,116
15061358,115
15061550,117
15061271,115
15060214,117
15062074,117
15061507,117
15061383,115
15062149,115
15060042,118
15061647,117
15061477,115
15061586,118
15062347,117
15061958,117
15062346,117
15061639,117
15061757,117
15061299,117
15061653,117
15061761,117
15062146,115
15061655,118
15061329,117
15061535,117
15061578,117
15061730,115
15061627,116
15061500,115
15061717,117
15062122,118
15061435,117
15061706,117
15061624,117
15060121,117
15061423,117
15061488,117
15061916,112
15061487,115
15061281,115
15061937,115
15061493,117
15061296,118
15061649,117
15061307,117
15062133,117
15062350,117
15061338,118
15060027,117
15061011,117
15061795,115
15062358,117
15061216,118
15061300,112
15061462,115
15061516,118
15061394,118
15061453,115
15062123,117
15060110,117
15061964,117
15061542,115
15060570,117
15061785,115
15061766,118
15060021,116
15061364,116
15060050,115
15061637,117
15062369,117
15061345,117
15061966,117
15061737,117
15060112,116
15061751,120
15061567,118
