Samples,CPFlor.H
15061614,320
15061337,317
15062067,327
15061752,327
15061930,327
15061566,317
15061773,314
15061575,316
15061344,320
15061282,322
15061926,329
15061906,305
15061665,322
15061397,322
15060187,322
15061534,320
15062362,316
15061521,319
15061633,317
15061659,322
15061673,320
15062356,315
15061361,322
15061729,305
15061755,315
15061496,312
15062368,317
15062339,329
15061577,322
15062136,329
15061529,305
15061396,312
15061482,332
15061814,322
15061769,326
15061610,321
15062147,316
15061358,314
15061550,314
15061271,312
15060214,321
15062074,304
15061507,329
15061383,317
15062149,322
15060042,327
15061647,305
15061477,312
15061586,319
15062347,305
15061958,319
15062346,316
15061639,319
15061757,317
15061299,319
15061653,328
15061761,322
15062146,309
15061655,309
15061329,321
15061535,317
15061578,319
15061730,305
15061627,309
15061500,329
15061717,305
15062122,324
15061435,322
15061706,316
15061624,308
15060121,305
15061423,320
15061488,322
15061916,321
15061487,319
15061281,332
15061937,321
15061493,312
15061296,320
15061649,308
15061307,319
15062133,322
15062350,320
15061338,320
15060027,321
15061011,312
15061795,322
15062358,322
15061216,319
15061300,322
15061462,309
15061516,332
15061394,321
15061453,322
15062123,310
15060110,329
15061964,312
15061542,323
15060570,319
15061785,309
15061766,312
15060021,331
15061364,322
15060050,320
15061637,322
15062369,312
15061345,329
15061966,312
15061737,322
15060112,318
15061751,310
15061567,326
