SAMPLES,GEBVs(RF),ACTUAL
15062362,15.582,18
15061954,23.104,18
15062339,21.259,26
15061482,9.487,6
15062104,24.436,18
15061707,17.361,18
15061567,15.64,26
15061964,20.069,18
15061488,19.349,6
15061438,16.504,6
15061814,6.601,6
15061721,13.93,18
15061601,16.056,26
15061719,19.471,26
15061629,8.419,6
15061477,9.365,6
15061761,21.679,26
15061336,13.611,18
15061386,14.939,18
15061305,15.621,6
15061676,14.578,18
15061523,5.656,6
15061763,20.641,26
15061385,4.838,6
15062133,14.367,6
15061333,15.464,18
15061627,19.267,6
15061731,17.074,18
15061641,6.577,5
15061330,15.996,26
15061626,9.909,6
15062147,12.697,6
15061487,16.704,6
15060536,9.943,18
15061261,15.905,42
15061389,17.435,18
15060101,19.51,6
15061397,5.466,26
15061551,11.957,6
15061539,5.535,18
15062115,18.292,18
15061361,16.413,18
15061669,15.363,6
15062359,12.095,18
15061690,18.616,18
15061308,17.12,35
15062372,14.88,26
15061342,14.654,18
15061281,16.176,6
15061932,12.227,6
15061370,24.969,18
15061630,33.606,42
15061789,13.435,6
15061666,8.116,6
15062143,19.888,18
15061297,9.693,8
15061907,14.036,26
15061538,5.072,6
15062371,7.619,6
15061685,19.498,26
15062081,15.007,18
15061969,7.211,6
15061498,13.394,18
15061271,22.68,3
15062344,10.008,18
15061279,22.951,26
15062144,5.478,18
15061722,11.832,6
15061768,6.464,6
15061557,15.802,18
15061434,11.593,18
15060072,17.034,26
15061405,6.248,6
15062052,23.029,26
15062098,22.64,18
15061916,13.289,18
15061377,17.315,26
15061633,14.704,6
15061702,17.133,18
15061614,6.122,6
15061368,15.1,26
15061520,11.222,35
15060082,9.966,6
15061656,14.046,6
15061331,16.859,6
15061327,13.962,6
15062074,10.396,3
15061300,18.032,10
15061776,14.155,6
15061462,16.14,10
15061302,14.661,26
15061957,16.878,6
15061514,17.432,18
15060909,12.648,6
15062063,15.375,18
15060090,7.983,5
15061301,17.164,18
15061423,8.755,6
15061453,18.67,18
15060215,5.543,6
15062119,23.675,6
15061537,20.57,26
15061667,19.543,18
15062123,17.617,6
15061710,32.952,42
15061258,22.296,3
15061443,12.154,18
15060050,6.636,6
15060110,4.937,6
15062053,14.68,6
15061764,14.972,26
15061799,17.794,18
