SAMPLES,GEBVs(SVM),ACTUAL
15061614,29.939,28
15061337,26.474,28
15062067,37.361,42
15061752,12.453,22
15061930,35.057,26
15061566,9.421,8
15061773,30.391,29
15061575,33.26,46
15061344,33.272,36
15061282,29.589,26
15061926,31.744,16
15061906,9.011,8
15061665,39.867,37
15061397,14.501,26
15060187,33.727,16
15061534,9.401,11
15062362,22.557,47
15061521,28.408,29
15061633,33.824,36
15061659,31.333,36
15061673,33.154,42
15062356,9.404,8
15061361,25.8,28
15061729,29.647,29
15061755,16.703,16
15061496,24.677,28
15062368,35.544,28
15062339,32.872,47
15061577,9.745,11
15062136,30.822,29
15061529,12.77,11
15061396,28.249,8
15061482,44.848,42
15061814,29.436,29
15061769,30.354,34
15061610,26.246,16
15062147,30.021,37
15061358,34.35,41
15061550,28.175,19
15061271,34.772,11
15060214,33.677,47
15062074,30.487,41
15061507,26.801,32
15061383,25.391,29
15062149,31.629,29
15060042,28.215,26
15061647,34.028,47
15061477,21.423,8
15061586,30.058,42
15062347,17.147,16
15061958,31.548,47
15062346,33.276,42
15061639,30.101,28
15061757,23.786,29
15061299,30.572,33
15061653,35.409,35
15061761,28.236,32
15062146,10.175,42
15061655,33.632,47
15061329,10.899,11
15061535,26.339,28
15061578,9.982,16
15061730,30.614,19
15061627,27.765,32
15061500,44.855,42
15061717,31.066,16
15062122,33.436,8
15061435,25.738,37
15061706,33.78,26
15061624,14.57,39
15060121,16.853,16
15061423,33.166,29
15061488,12.87,11
15061916,25.143,19
15061487,28.646,16
15061281,29.722,37
15061937,32.691,16
15061493,25.846,29
15061296,44.639,8
15061649,33.736,28
15061307,12.623,16
15062133,24.395,29
15062350,9.999,16
15061338,14.635,8
15060027,14.618,29
15061011,31.91,42
15061795,9.324,11
15062358,12.856,11
15061216,32.976,11
15061300,42.824,42
15061462,44.475,47
15061516,34.429,32
15061394,29.399,26
15061453,40.221,8
15062123,39.826,35
15060110,9.621,16
15061964,30.571,29
15061542,39.363,19
15060570,32.88,47
15061785,30.542,35
15061766,39.224,47
15060021,9.338,8
15061364,25.503,29
15060050,32.633,28
15061637,33.357,35
15062369,30.82,28
15061345,35.056,37
15061966,28.165,8
15061737,29.021,32
15060112,25.431,29
15061751,30.829,33
15061567,30.943,47
