Samples,Pulpa.LCH.L
15061942,84
15061763,84
15061801,92
15061494,92
15061613,94
15062137,92
15061319,92
15062142,92
15060320,84
15061768,92
15061522,92
15060081,94
15061656,92
15061759,84
15061928,92
15061454,84
15061605,89
15060087,94
15061619,84
15060090,94
15061731,84
15061655,84
15061661,92
15061499,84
15061647,92
15061612,92
15061742,92
15061710,80
15062372,84
15061583,92
15061767,84
15062130,92
15061637,84
15061337,84
15062104,84
15061579,92
15061932,92
15061603,92
15060025,94
15061704,92
15061334,84
15061631,92
15060964,81
15061778,80
15061718,92
15061486,92
15060214,92
15061333,84
15061962,92
15061624,92
15061282,92
15061529,84
15061935,92
15061568,84
15061491,84
15061318,92
15061361,84
15061515,84
15062123,92
15061358,84
15061428,84
15061496,92
15061648,84
15061808,88
15061600,84
15061730,84
15061623,92
15061405,92
15061299,92
15061578,92
15061476,92
15061765,84
15062111,84
15061397,84
15061713,84
15061584,92
15061912,84
15061260,92
15062099,84
15061350,82
15060933,94
15061548,84
15061348,84
15061560,84
15061544,92
15061449,84
15062348,84
15061916,84
15062138,92
15061946,92
15061676,84
15060536,84
15061391,84
15061662,92
15061228,84
15061356,92
15061963,92
15061338,92
15062331,92
15062098,84
15062114,84
15062046,84
15062370,84
15061685,84
15061540,84
15061721,84
15062074,92
15062362,84
15061689,84
15061357,84
15061376,84
15061308,82
