SAMPLES,GEBVs(BB),ACTUAL
15062362,33.844,36
15061954,34.414,43
15062339,32.897,34
15061482,31.939,33
15062104,33.045,36
15061707,34.13,38
15061567,31.187,43
15061964,28.291,22
15061488,32.291,36
15061438,32.301,26
15061814,35.703,36
15061721,32.941,37
15061601,33.852,23
15061719,28.34,22
15061629,31.49,22
15061477,32.841,33
15061761,28.463,22
15061336,32.953,36
15061386,32.245,33
15061305,32.55,30
15061676,33.813,36
15061523,29.394,23
15061763,31.556,36
15061385,29.422,23
15062133,32.017,22
15061333,34.092,42
15061627,33.089,28
15061731,32.297,38
15061641,35.752,33
15061330,32.601,43
15061626,33.169,22
15062147,31.139,26
15061487,31.817,36
15060536,32.425,33
15061261,33.288,34
15061389,32.309,33
15060101,28.342,23
15061397,29.467,33
15061551,31.967,36
15061539,29.431,28
15062115,32.567,36
15061361,33.848,22
15061669,31.672,37
15062359,32.777,33
15061690,32.308,36
15061308,32.308,34
15062372,33.018,37
15061342,33.86,33
15061281,33.218,38
15061932,32.297,36
15061370,34.394,39
15061630,27.911,22
15061789,31.922,36
15061666,32.658,34
15062143,33.705,23
15061297,32.972,11
15061907,31.719,38
15061538,29.42,22
15062371,31.883,33
15061685,33.752,33
15062081,31.562,36
15061969,31.596,36
15061498,32.223,42
15061271,33.315,36
15062344,32.512,28
15061279,33.621,22
15062144,29.432,36
15061722,33.318,43
15061768,33.758,33
15061557,33.35,37
15061434,31.175,58
15060072,31.563,33
15061405,34.427,36
15062052,34.378,22
15062098,34.409,42
15061916,33.803,55
15061377,33.292,38
15061633,32.635,28
15061702,36.137,22
15061614,34.45,36
15061368,32.258,28
15061520,31.059,22
15060082,30.954,36
15061656,30.929,33
15061331,32.699,36
15061327,33.489,38
15062074,33.003,33
15061300,32.589,36
15061776,32.13,36
15061462,35.222,36
15061302,32.666,36
15061957,33.115,36
15061514,33.3,28
15060909,32.4,28
15062063,33.841,26
15060090,31.84,28
15061301,32.744,36
15061423,34.005,28
15061453,32.601,36
15060215,34.412,22
15062119,33.054,36
15061537,28.348,28
15061667,33.849,33
15062123,29.066,33
15061710,27.927,28
15061258,32.708,23
15061443,31.965,33
15060050,31.951,33
15060110,29.435,22
15062053,32.98,28
15061764,30.046,33
15061799,31.722,33
