SAMPLES,GEBVs(RKHS),ACTUAL
15061614,335.484,328
15061337,337.394,344
15062067,338.161,344
15061752,339.479,328
15061930,337.331,346
15061566,338.276,344
15061773,336.551,345
15061575,340.159,346
15061344,335.108,345
15061282,335.555,346
15061926,335.539,344
15061906,338.218,344
15061665,338.195,346
15061397,338.249,328
15060187,335.35,344
15061534,340.628,316
15062362,337.449,342
15061521,339.351,344
15061633,337.035,345
15061659,337.463,342
15061673,338.017,344
15062356,340.636,344
15061361,337.362,344
15061729,337.266,333
15061755,338.318,316
15061496,340.098,345
15062368,340.666,345
15062339,338.065,344
15061577,337.508,328
15062136,339.47,346
15061529,338.095,324
15061396,333.863,344
15061482,341.978,344
15061814,340.151,346
15061769,338.348,345
15061610,337.395,344
15062147,340.488,346
15061358,332.595,344
15061550,337.303,316
15061271,337.336,346
15060214,337.438,344
15062074,333.436,345
15061507,337.847,334
15061383,337.371,346
15062149,340.311,344
15060042,339.465,346
15061647,332.609,324
15061477,338.394,324
15061586,337.478,344
15062347,333.73,344
15061958,337.505,344
15062346,336.325,324
15061639,340.093,344
15061757,339.664,344
15061299,335.472,346
15061653,340.647,346
15061761,333.87,344
15062146,340.66,344
15061655,335.565,344
15061329,337.5,321
15061535,339.914,345
15061578,337.53,344
15061730,337.272,334
15061627,335.792,346
15061500,341.949,344
15061717,336.107,344
15062122,336.353,344
15061435,339.752,344
15061706,337.833,345
15061624,338.119,322
15060121,333.81,316
15061423,336.573,316
15061488,340.054,324
15061916,337.367,345
15061487,338.214,316
15061281,338.807,345
15061937,333.451,328
15061493,340.03,316
15061296,338.732,318
15061649,337.862,331
15061307,336.894,324
15062133,340.045,316
15062350,335.895,324
15061338,338.265,333
15060027,338.657,324
15061011,332.756,344
15061795,340.629,344
15062358,340.05,346
15061216,337.87,346
15061300,340.078,346
15061462,335.924,324
15061516,338.687,344
15061394,333.788,345
15061453,340.157,346
15062123,335.427,342
15060110,338.229,334
15061964,333.879,331
15061542,335.376,344
15060570,338.105,345
15061785,335.774,318
15061766,335.294,344
15060021,340.661,344
15061364,337.383,345
15060050,337.468,346
15061637,332.597,344
15062369,340.444,345
15061345,340.648,344
15061966,338.178,345
15061737,337.289,346
15060112,337.356,344
15061751,337.533,344
15061567,337.57,344
