SAMPLES,c2_10615,c2_10690,c2_33657,c2_44816,c2_52202
15061942,3,1,2,3,4
15061763,4,0,2,2,4
15061801,4,0,3,2,4
15061494,4,0,2,4,4
15061613,4,0,4,2,2
15062137,3,1,3,1,3
15061319,3,1,2,1,4
15062142,2,1,2,1,4
15060320,4,0,2,2,4
15061768,3,1,4,2,3
15061522,4,0,4,3,4
15060081,3,1,2,1,4
15061656,4,0,3,3,4
15061759,3,1,3,3,4
15061928,3,1,3,1,4
15061454,3,1,3,3,3
15061605,4,0,3,2,2
15060087,3,1,2,1,3
15061619,3,1,3,1,3
15060090,4,0,3,2,2
15061731,3,1,3,1,3
15061655,4,0,4,1,3
15061661,4,0,4,2,2
15061499,3,1,3,0,2
15061647,3,1,2,1,4
15061612,4,0,2,2,4
15061742,3,1,3,0,2
15061710,3,1,2,3,4
15062372,1,1,3,1,4
15061583,4,0,4,2,2
15061767,4,0,2,2,4
15062130,3,1,4,1,4
15061637,3,1,2,1,4
15061337,3,1,3,2,4
15062104,3,1,3,2,4
15061579,4,0,2,1,4
15061932,3,1,3,2,4
15061603,3,1,2,1,3
15060025,3,1,2,1,4
15061704,3,1,2,1,4
15061334,3,1,3,0,3
15061631,3,1,2,3,4
15060964,4,0,2,3,4
15061778,3,1,3,1,3
15061718,3,1,3,3,3
15061486,4,0,2,4,4
15060214,2,2,4,2,3
15061333,3,1,4,2,3
15061962,3,1,3,2,4
15061624,3,1,2,1,3
15061282,4,0,4,2,2
15061529,4,0,3,3,3
15061935,3,1,3,2,4
15061568,3,1,4,2,3
15061491,3,1,3,1,3
15061318,4,0,3,2,3
15061361,3,1,3,2,4
15061515,3,1,4,0,1
15062123,3,1,3,0,2
15061358,3,1,2,1,4
15061428,3,1,4,2,4
15061496,3,1,2,3,4
15061648,3,1,4,1,3
15061808,4,0,3,2,4
15061600,3,3,2,2,3
15061730,4,0,2,3,4
15061623,3,1,2,1,4
15061405,4,0,4,2,3
15061299,4,0,4,2,2
15061578,3,1,3,2,4
15061476,3,1,4,2,3
15061765,4,0,3,3,3
15062111,3,1,2,1,4
15061397,3,1,2,1,3
15061713,3,1,2,1,4
15061584,4,0,4,0,2
15061912,4,0,3,2,4
15061260,3,1,2,1,4
15062099,4,0,2,2,4
15061350,3,1,2,2,3
15060933,4,0,1,2,3
15061548,2,2,2,2,4
15061348,3,1,3,2,4
15061560,3,0,2,1,3
15061544,3,1,2,2,4
15061449,3,1,3,3,3
15062348,3,1,4,2,4
15061916,3,1,3,2,4
15062138,3,1,2,1,3
15061946,3,1,3,3,4
15061676,3,1,3,2,4
15060536,4,0,3,3,2
15061391,3,1,3,1,3
15061662,3,1,3,3,3
15061228,4,0,4,2,3
15061356,4,0,3,2,2
15061963,3,1,3,1,3
15061338,3,1,2,1,3
15062331,4,0,3,2,2
15062098,3,1,4,2,4
15062114,4,0,2,1,4
15062046,4,0,3,2,4
15062370,3,1,3,2,4
15061685,4,0,3,3,4
15061540,3,1,3,0,2
15061721,4,0,3,3,4
15062074,4,0,2,1,4
15062362,3,1,3,2,4
15061689,3,1,3,1,3
15061357,3,1,3,2,4
15061376,3,1,4,2,4
15061308,3,1,3,1,3
