SAMPLES,c1_4803,c2_14841,c2_28012,c2_38167,c2_44000
15061942,3,1,0,0,3
15061763,3,1,0,1,2
15061801,2,2,0,0,4
15061494,3,2,0,0,2
15061613,3,2,0,0,3
15062137,3,1,1,1,3
15061319,1,1,0,0,3
15062142,1,0,0,0,4
15060320,2,1,0,1,2
15061768,1,0,0,0,4
15061522,3,1,0,0,3
15060081,2,1,0,0,2
15061656,2,1,1,2,4
15061759,1,1,0,0,3
15061928,3,1,0,0,3
15061454,3,2,0,1,3
15061605,4,3,1,0,2
15060087,2,1,0,0,4
15061619,3,1,1,1,3
15060090,1,1,1,0,3
15061731,3,1,1,1,3
15061655,2,1,1,0,4
15061661,3,2,0,0,3
15061499,2,1,0,0,4
15061647,1,1,0,0,3
15061612,3,1,0,0,3
15061742,2,1,0,0,4
15061710,2,1,1,0,3
15062372,3,2,0,0,4
15061583,3,2,0,0,3
15061767,2,0,0,0,4
15062130,1,0,0,0,4
15061637,1,1,0,0,3
15061337,3,1,0,0,3
15062104,3,1,1,1,3
15061579,2,0,0,0,4
15061932,1,0,0,2,4
15061603,2,1,0,0,4
15060025,1,1,0,0,3
15061704,1,1,0,0,3
15061334,3,2,0,1,4
15061631,2,1,1,0,3
15060964,3,0,0,0,2
15061778,3,1,1,1,3
15061718,3,2,0,1,3
15061486,3,1,1,1,3
15060214,2,1,0,0,4
15061333,3,1,1,0,3
15061962,1,0,0,2,4
15061624,2,1,0,0,4
15061282,3,2,0,0,3
15061529,2,1,0,0,4
15061935,1,0,0,2,4
15061568,2,0,0,1,3
15061491,3,1,1,1,3
15061318,3,2,0,0,3
15061361,3,1,0,0,3
15061515,4,2,0,0,3
15062123,2,1,0,0,4
15061358,1,1,0,0,3
15061428,2,0,0,0,4
15061496,3,2,0,0,2
15061648,4,1,0,1,2
15061808,2,2,0,0,4
15061600,4,2,0,0,3
15061730,3,2,1,0,3
15061623,1,1,0,0,3
15061405,3,2,0,0,3
15061299,3,2,0,0,3
15061578,3,1,1,1,3
15061476,2,1,0,0,4
15061765,2,1,0,0,4
15062111,3,1,0,1,3
15061397,2,1,0,0,4
15061713,1,1,0,0,3
15061584,2,2,1,1,2
15061912,2,1,1,1,4
15061260,1,1,0,0,3
15062099,2,1,0,0,3
15061350,3,1,0,3,2
15060933,1,0,0,0,4
15061548,1,0,0,0,3
15061348,3,1,0,0,3
15061560,1,1,0,0,2
15061544,2,1,0,0,4
15061449,3,2,0,1,3
15062348,2,0,0,0,4
15061916,3,1,0,0,3
15062138,2,1,0,0,4
15061946,3,2,0,0,2
15061676,3,1,0,0,3
15060536,2,1,0,0,4
15061391,3,1,1,1,3
15061662,3,2,0,1,3
15061228,2,1,0,1,4
15061356,1,1,1,0,3
15061963,3,1,1,1,3
15061338,2,1,0,0,4
15062331,1,1,1,0,3
15062098,2,0,0,0,4
15062114,2,0,0,0,4
15062046,2,1,1,1,4
15062370,3,1,1,1,3
15061685,2,2,1,0,3
15061540,2,1,0,0,4
15061721,3,3,0,0,3
15062074,2,2,2,0,3
15062362,3,1,0,0,3
15061689,3,1,1,1,3
15061357,3,1,1,1,3
15061376,2,0,0,0,4
15061308,3,1,1,1,3
