Samples,PriFlor.LCH.C
15061942,46
15061763,48
15061801,26
15061494,58
15061613,49
15062137,58
15061319,42
15062142,58
15060320,57
15061768,58
15061522,58
15060081,45
15061656,36
15061759,58
15061928,57
15061454,58
15061605,43
15060087,60
15061619,58
15060090,60
15061731,49
15061655,36
15061661,36
15061499,36
15061647,45
15061612,58
15061742,57
15061710,57
15062372,35
15061583,48
15061767,35
15062130,41
15061637,58
15061337,57
15062104,58
15061579,58
15061932,46
15061603,39
15060025,45
15061704,37
15061334,57
15061631,58
15060964,39
15061778,58
15061718,40
15061486,45
15060214,39
15061333,45
15061962,49
15061624,40
15061282,58
15061529,6
15061935,55
15061568,58
15061491,58
15061318,55
15061361,58
15061515,6
15062123,45
15061358,40
15061428,49
15061496,58
15061648,58
15061808,46
15061600,40
15061730,45
15061623,40
15061405,45
15061299,43
15061578,43
15061476,42
15061765,6
15062111,58
15061397,6
15061713,36
15061584,58
15061912,46
15061260,46
15062099,57
15061350,40
15060933,58
15061548,55
15061348,58
15061560,43
15061544,36
15061449,45
15062348,49
15061916,39
15062138,58
15061946,40
15061676,42
15060536,36
15061391,55
15061662,42
15061228,58
15061356,43
15061963,58
15061338,49
15062331,57
15062098,49
15062114,58
15062046,57
15062370,58
15061685,49
15061540,58
15061721,57
15062074,31
15062362,42
15061689,55
15061357,58
15061376,55
15061308,46
