SAMPLES,GEBVs(BA),ACTUAL
15062362,35.145,35
15061954,37.859,41
15062339,33.35,37
15061482,36.416,29
15062104,36.646,30
15061707,33.918,36
15061567,33.569,25
15061964,33.762,41
15061488,35.188,35
15061438,35.203,32
15061814,32.248,42
15061721,34.454,39
15061601,35.106,43
15061719,33.707,28
15061629,35.086,28
15061477,35.349,24
15061761,33.687,20
15061336,35.099,42
15061386,34.952,42
15061305,35.46,36
15061676,35.129,36
15061523,37.079,42
15061763,33.995,42
15061385,36.893,41
15062133,35.297,41
15061333,34.544,32
15061627,33.89,28
15061731,35.192,36
15061641,32.333,35
15061330,32.509,41
15061626,32.613,42
15062147,35.837,37
15061487,35.385,42
15060536,34.379,35
15061261,34.044,29
15061389,35.169,47
15060101,33.746,42
15061397,36.933,37
15061551,36.481,29
15061539,36.896,22
15062115,32.265,8
15061361,35.163,35
15061669,35.531,37
15062359,35.172,36
15061690,35.171,36
15061308,35.185,42
15062372,34.218,35
15061342,35.168,42
15061281,36.151,42
15061932,35.134,29
15061370,37.824,41
15061630,35.372,42
15061789,36.293,32
15061666,33.672,11
15062143,35.25,42
15061297,34.013,47
15061907,31.819,8
15061538,36.866,47
15062371,33.851,33
15061685,35.196,33
15062081,34.345,25
15061969,34.075,29
15061498,35.418,41
15061271,36.188,42
15062344,35.411,42
15061279,33.815,42
15062144,36.874,42
15061722,35.431,32
15061768,35.364,36
15061557,34.082,42
15061434,35.824,42
15060072,35.426,35
15061405,29.935,35
15062052,37.844,41
15062098,37.806,47
15061916,35.131,35
15061377,34.031,37
15061633,34.326,36
15061702,35.801,36
15061614,29.832,30
15061368,34.981,16
15061520,36.495,41
15060082,34.604,22
15061656,35.373,26
15061331,35.839,39
15061327,34.01,42
15062074,34.602,26
15061300,32.304,11
15061776,36.449,29
15061462,32.135,22
15061302,35.942,42
15061957,36.508,41
15061514,34.058,41
15060909,35.068,37
15062063,35.181,8
15060090,33.806,32
15061301,35.642,42
15061423,36.86,41
15061453,32.208,42
15060215,29.87,41
15062119,36.604,35
15061537,33.757,30
15061667,35.151,25
15062123,33.695,37
15061710,35.36,36
15061258,33.725,41
15061443,36.402,39
15060050,33.743,34
15060110,36.869,47
15062053,35.941,41
15061764,36.051,16
15061799,33.872,8
