SAMPLES,GEBVs(RKHS),ACTUAL
15062362,5.618,4
15061954,6.138,4
15062339,6.744,7
15061482,5.097,4
15062104,5.914,4
15061707,7.034,7
15061567,7.251,4
15061964,5.862,4
15061488,11.144,4
15061438,11.115,58
15061814,6.31,4
15061721,6.726,7
15061601,5.623,7
15061719,5.857,7
15061629,6.922,7
15061477,6.074,4
15061761,5.862,7
15061336,6.604,4
15061386,6.874,7
15061305,6.526,4
15061676,5.637,7
15061523,5.769,4
15061763,6.438,7
15061385,5.803,4
15062133,6.353,7
15061333,6.491,7
15061627,7.161,7
15061731,11.118,7
15061641,6.288,7
15061330,6.85,4
15061626,6.782,7
15062147,6.714,7
15061487,6.186,7
15060536,6.465,7
15061261,6.056,7
15061389,11.125,4
15060101,5.878,7
15061397,5.798,7
15061551,5.083,4
15061539,5.803,7
15062115,6.265,4
15061361,5.654,7
15061669,6.284,7
15062359,5.715,4
15061690,11.147,4
15061308,11.118,7
15062372,5.838,7
15061342,5.653,7
15061281,5.515,7
15061932,5.464,4
15061370,6.12,7
15061630,6.503,7
15061789,5.094,4
15061666,6.751,4
15062143,6.601,4
15061297,6.483,7
15061907,5.635,58
15061538,5.819,4
15062371,5.33,7
15061685,6.576,7
15062081,7.282,7
15061969,5.172,4
15061498,10.625,7
15061271,11.249,7
15062344,7.576,7
15061279,6.51,53
15062144,5.795,7
15061722,6.46,4
15061768,5.609,7
15061557,6.085,7
15061434,6.688,7
15060072,6.128,5
15061405,6.258,4
15062052,6.16,7
15062098,6.127,4
15061916,5.602,4
15061377,6.084,4
15061633,5.951,4
15061702,6.941,7
15061614,6.223,7
15061368,6.841,7
15061520,6.314,4
15060082,6.972,4
15061656,5.706,5
15061331,6.934,7
15061327,6.064,7
15062074,9.8,4
15061300,6.242,4
15061776,5.087,7
15061462,6.121,7
15061302,6.588,4
15061957,6.496,7
15061514,6.062,7
15060909,5.464,4
15062063,5.653,4
15060090,5.329,7
15061301,6.99,47
15061423,5.6,4
15061453,6.259,4
15060215,6.181,7
15062119,5.924,4
15061537,5.819,4
15061667,6.562,7
15062123,6.463,7
15061710,6.52,7
15061258,6.137,5
15061443,5.09,4
15060050,5.364,7
15060110,5.813,5
15062053,5.595,7
15061764,5.852,7
15061799,6.422,5
