SAMPLES,GEBVs(SVM),ACTUAL
15062362,318.526,316
15061954,322.178,320
15062339,313.485,329
15061482,322.49,332
15062104,317.301,312
15061707,315.598,308
15061567,313.999,326
15061964,80.627,71
15061488,323.827,322
15061438,323.133,323
15061814,322.777,322
15061721,328.751,327
15061601,318.015,316
15061719,82.064,71
15061629,318.275,319
15061477,323.489,312
15061761,82.13,71
15061336,322.808,322
15061386,307.428,309
15061305,321.923,319
15061676,322.891,316
15061523,322.594,322
15061763,320.085,315
15061385,321.512,320
15062133,314.503,322
15061333,316.499,305
15061627,322.168,309
15061731,323.539,320
15061641,323.568,320
15061330,296.791,322
15061626,324.805,321
15062147,316.626,316
15061487,309.466,319
15060536,314.399,319
15061261,311.489,305
15061389,323.773,327
15060101,82.408,95
15061397,320.431,71
15061551,315.893,327
15061539,321.538,322
15062115,323.616,320
15061361,321.852,322
15061669,324.547,328
15062359,322.432,309
15061690,324.649,329
15061308,323.267,323
15062372,294.451,303
15061342,322.156,319
15061281,323.204,332
15061932,323.135,323
15061370,320.993,329
15061630,320.825,318
15061789,321.676,326
15061666,317.648,329
15062143,315.599,312
15061297,323.791,312
15061907,296.556,95
15061538,319.442,319
15062371,324.261,322
15061685,314.977,320
15062081,308.739,308
15061969,312.632,304
15061498,323.511,316
15061271,332.161,312
15062344,319.91,329
15061279,325.851,320
15062144,321.026,320
15061722,314.428,314
15061768,324.455,322
15061557,319.227,315
15061434,316.226,320
15060072,305.437,317
15061405,318.43,310
15062052,322.296,329
15062098,324.932,320
15061916,319.848,321
15061377,312.148,305
15061633,297.991,317
15061702,312.93,327
15061614,318.568,320
15061368,308.233,305
15061520,316.613,322
15060082,315.32,321
15061656,296.779,309
15061331,301.859,320
15061327,312.012,326
15062074,310.792,304
15061300,323.895,322
15061776,321.849,305
15061462,315.922,309
15061302,315.311,324
15061957,310.221,314
15061514,311.297,309
15060909,322.991,319
15062063,323.253,321
15060090,323.64,332
15061301,312.521,322
15061423,316.634,320
15061453,323.362,322
15060215,320.651,327
15062119,317.579,312
15061537,83.039,71
15061667,315.402,310
15062123,316.596,310
15061710,321.344,327
15061258,314.393,320
15061443,321.979,320
15060050,333.895,320
15060110,323.232,329
15062053,320.683,327
15061764,77.765,324
15061799,322.052,327
