SAMPLES,c1_14770,c1_15521,c1_16021,c1_8132,c1_8353,c1_8518,c2_1506,c2_22205,c2_23841,c2_26165,c2_26167,c2_26210,c2_26211,c2_2653,c2_31180,c2_32644,c2_34002,c2_35101,c2_37762,c2_44712,c2_49128,c2_50502,c2_52067,c2_56238,c2_57678
15061942,1,3,4,3,0,3,3,2,4,2,2,2,2,0,2,2,3,4,1,3,3,1,4,3,2
15061763,3,NA,4,3,2,2,4,3,3,2,2,2,2,2,2,3,2,4,1,3,1,1,3,4,1
15061801,2,4,4,3,1,3,4,2,3,2,3,3,3,2,1,4,0,4,1,0,1,1,4,4,2
15061494,1,4,4,4,2,4,4,2,1,2,3,3,3,1,4,3,2,3,1,3,1,0,1,4,1
15061613,1,4,3,4,1,4,4,1,2,3,1,1,4,3,3,3,2,3,1,3,3,1,4,4,2
15062137,1,4,4,3,0,3,3,2,4,3,1,3,1,1,3,4,3,3,1,3,3,0,4,3,0
15061319,3,4,4,4,2,3,4,3,3,2,1,1,3,2,3,4,3,3,0,3,0,1,3,4,1
15062142,2,4,3,3,1,4,4,2,3,0,4,4,0,2,1,4,2,3,2,2,3,2,4,4,1
15060320,2,NA,4,4,0,3,4,3,3,1,3,3,1,1,3,4,3,4,0,4,1,0,3,4,1
15061768,3,4,4,3,1,2,4,4,3,2,2,2,3,1,3,4,2,4,2,2,1,1,3,4,1
15061522,3,3,4,3,2,2,3,3,3,3,1,1,4,1,3,4,2,3,1,2,2,2,3,3,2
15060081,2,3,3,4,2,3,NA,3,2,2,1,2,3,2,3,3,2,3,0,3,1,2,3,4,1
15061656,0,4,4,4,1,4,3,1,2,3,0,1,4,2,1,3,3,2,1,3,1,1,3,4,1
15061759,2,4,3,3,2,3,3,4,3,3,2,3,3,1,4,4,2,3,2,4,2,2,3,3,1
15061928,0,4,3,4,3,4,3,0,4,3,1,2,2,1,4,4,2,3,0,4,3,0,3,4,2
15061454,0,4,4,2,1,4,3,2,3,2,3,3,3,0,2,4,2,4,2,3,2,0,4,3,2
15061605,1,4,4,4,2,4,4,2,2,4,1,3,3,2,2,3,0,4,1,2,4,2,2,4,0
15060087,2,3,4,3,0,3,3,4,3,2,2,2,2,0,2,4,3,4,2,4,2,0,3,3,1
15061619,1,4,4,3,0,3,3,2,4,3,1,3,1,1,3,4,3,3,1,3,3,0,4,3,0
15060090,0,4,4,4,2,3,4,2,2,2,2,3,2,2,4,3,2,4,2,3,1,0,2,4,3
