Samples,CTallo.L,CTallo.C,CTallo.H,CPFlor.L,CPFlor.C,CPFlor.H,CBaya.L,CBaya.C,CBaya.H,CPTuber.L,CPTuber.C,CPTuber.H,CSTuber.L,CSTuber.C,CSTuber.H,CPulpa.L,CPulpa.C,CPulpa.H,CSPulpa.L,CSPulpa.C,CSPulpa.H,CPBrote.L,CPBrote.C,CPBrote.H,CSBrote.L,CSBrote.C,CSBrote.H
15062362,54,44,117,41,42,316,54,44,117,76,47,85,48,35,80,84,18,90,42,36,344,43,40,309,94,4,41
15061954,54,44,117,54,49,320,53,38,132,40,35,16,80,41,86,84,18,90,42,43,342,39,57,339,94,4,41
15062339,54,44,117,36,55,329,69,59,106,76,47,85,42,37,18,84,26,94,42,34,344,36,39,321,95,7,318
15061482,54,44,117,41,60,332,54,44,117,80,42,96,50,29,17,92,6,71,43,33,324,36,47,352,94,4,41
15062104,54,44,117,33,58,312,58,45,128,79,36,83,28,30,346,84,18,90,37,36,328,26,20,307,94,4,41
15061707,28,16,359,38,40,308,54,44,117,51,43,355,42,36,83,84,18,90,41,38,324,33,26,314,96,7,318
15061567,54,44,117,63,40,326,66,48,118,76,47,85,45,25,28,84,26,94,42,43,345,39,57,339,94,4,41
15061964,54,44,117,92,6,71,54,44,117,50,29,17,80,41,86,84,18,90,30,22,345,26,20,307,94,4,41
15061488,28,16,359,43,58,322,54,44,117,30,11,328,75,35,83,92,6,71,30,36,346,38,40,308,94,4,41
15061438,28,6,23,57,46,323,54,44,117,29,8,313,81,32,84,92,6,71,50,26,342,33,26,314,48,58,336
15061814,28,16,359,43,58,322,54,44,117,30,29,7,80,42,96,92,6,71,31,36,345,49,57,317,94,4,41
15061721,54,24,136,45,57,327,69,59,106,39,28,22,80,39,33,84,18,90,30,37,346,37,43,331,96,7,318
15061601,28,16,359,33,34,316,44,26,116,89,8,95,51,43,355,84,26,94,30,23,345,26,20,307,96,7,318
15061719,54,44,117,92,6,71,72,45,115,43,33,10,80,28,67,84,26,94,27,22,10,27,28,306,96,7,318
15061629,28,16,359,61,43,319,76,75,107,80,41,86,39,28,22,92,6,71,31,22,345,26,20,307,96,7,318
15061477,54,44,117,43,58,312,72,45,115,29,8,313,84,24,85,92,6,71,31,33,324,26,20,307,94,4,344
15061761,54,44,117,92,6,71,54,44,117,45,32,39,78,20,35,84,26,94,27,22,344,26,20,307,95,7,318
15061336,54,44,117,43,58,322,54,44,117,29,23,333,80,42,96,84,18,90,42,36,346,26,20,307,94,4,41
15061386,54,44,117,43,40,309,66,48,118,28,16,359,80,42,5,84,18,90,42,33,346,26,20,307,96,7,318
15061305,54,44,117,42,39,319,66,48,118,80,41,86,42,36,346,92,6,71,27,30,324,26,20,307,94,4,41
15061676,54,44,117,41,42,316,58,45,128,38,32,14,79,36,83,84,18,90,37,36,344,33,26,314,96,7,318
15061523,28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,29,23,333,26,20,307,94,4,41
15061763,28,16,359,59,48,315,53,38,132,27,22,344,45,42,0,84,26,94,42,36,345,26,20,307,96,7,318
15061385,28,16,359,54,49,320,54,44,117,30,11,328,80,41,86,92,6,71,29,23,333,26,20,307,94,4,41
15062133,28,6,23,43,58,322,54,44,117,35,29,17,82,41,86,92,6,71,27,22,344,26,20,307,95,7,318
15061333,54,44,117,52,45,305,54,44,117,29,8,313,80,32,0,84,18,90,41,42,316,27,28,306,96,7,318
15061627,54,44,117,66,36,309,76,75,107,60,32,41,30,28,345,92,6,71,27,28,344,54,49,320,96,7,318
15061731,28,16,359,54,49,320,66,48,118,51,43,355,79,36,83,84,18,90,41,38,344,35,41,347,96,7,318
