SAMPLES,GEBVs(BA),ACTUAL
15062362,83.177,90
15061954,89.486,90
15062339,87.531,94
15061482,70.594,71
15062104,88.473,90
15061707,89.554,90
15061567,80.53,94
15061964,87.033,90
15061488,85.013,71
15061438,84.777,71
15061814,75.834,71
15061721,79.595,90
15061601,83.39,94
15061719,86.686,94
15061629,80.115,71
15061477,82.253,71
15061761,86.672,94
15061336,78.566,90
15061386,84.11,90
15061305,79.462,71
15061676,83.383,90
15061523,64.351,71
15061763,84.151,94
15061385,64.528,71
15062133,84.902,71
15061333,83.845,90
15061627,83.985,71
15061731,84.854,90
15061641,75.712,52
15061330,82.822,94
15061626,80.434,71
15062147,79.459,71
15061487,80.391,71
15060536,83.712,90
15061261,82.59,96
15061389,85.188,90
15060101,86.571,71
15061397,64.417,94
15061551,70.64,71
15061539,64.488,90
15062115,81.79,90
15061361,83.284,90
15061669,82.839,71
15062359,81.339,90
15061690,84.971,90
15061308,85.025,93
15062372,85.289,94
15061342,83.271,90
15061281,84.76,71
15061932,80.257,71
15061370,89.565,90
15061630,88.282,96
15061789,70.665,71
15061666,82.451,71
15062143,89.544,90
15061297,85.568,95
15061907,75.637,94
15061538,64.499,71
15062371,70.054,71
15061685,89.528,94
15062081,83.193,90
15061969,76.682,71
15061498,84.543,90
15061271,86.134,32
15062344,78.63,90
15061279,86.977,94
15062144,64.844,90
15061722,77.795,71
15061768,71.319,71
15061557,82.445,90
15061434,79.115,90
15060072,83.64,94
15061405,68.62,71
15062052,89.447,94
15062098,89.763,90
15061916,83.499,90
15061377,82.583,94
15061633,77.816,71
15061702,85.478,90
15061614,68.474,71
15061368,83.996,94
15061520,82.088,93
15060082,81.407,71
15061656,82.093,71
15061331,83.395,71
15061327,82.393,71
15062074,76.589,32
15061300,81.819,96
15061776,71.183,71
15061462,79.762,96
15061302,89.825,94
15061957,84.257,71
15061514,82.478,90
15060909,80.31,71
15062063,83.421,90
15060090,70,52
15061301,86.518,90
15061423,75.917,71
15061453,81.653,90
15060215,68.593,71
15062119,88.432,71
15061537,87.043,94
15061667,89.828,90
15062123,84.364,71
15061710,88.318,96
15061258,86.848,32
15061443,71.052,90
15060050,69.715,71
15060110,64.467,71
15062053,83.773,71
15061764,82.433,94
15061799,84.243,90
