SAMPLES,c1_15204,c1_8118,c2_12760,c2_30741,c2_7919
15060021,1,1,1,4,0
15060027,1,1,1,4,1
15060039,1,1,1,2,0
15060042,0,1,1,3,1
15060050,0,1,0,1,1
15060056,1,0,0,4,0
15060063,3,0,1,2,1
15060070,0,0,0,3,1
15060072,1,2,0,2,0
15060082,1,1,0,3,2
15060085,2,0,1,3,2
15060097,0,1,0,3,0
15060101,0,2,0,3,1
15060102,0,0,0,2,1
15060110,0,0,0,3,1
15060112,0,1,1,4,1
15060114,0,1,1,2,0
15060120,0,2,0,3,1
15060121,1,0,0,2,0
15060122,0,1,0,1,1
15060138,0,1,1,4,0
15060160,0,1,0,1,2
15060187,0,0,0,4,0
15060188,0,1,NA,2,1
15060190,0,0,0,3,1
15060191,1,0,0,2,0
15060215,0,1,1,2,0
15060313,0,2,2,4,1
15060345,1,0,0,3,0
15060383,0,2,2,4,1
15060420,1,0,0,3,0
15060543,1,1,0,4,0
15060570,2,1,0,4,0
15060797,0,1,0,4,0
15060846,0,1,0,1,1
15060907,2,1,0,4,0
15060909,0,1,0,4,1
15060910,2,1,1,3,0
15061007,0,2,1,3,2
15061011,1,0,0,3,0
15061122,0,1,0,1,1
15061204,3,2,0,2,0
15061213,1,1,1,2,0
15061215,1,1,1,2,0
15061216,2,1,0,4,0
15061225,0,1,1,2,0
15061226,3,1,0,3,0
15061237,1,1,0,4,0
15061256,0,0,1,4,1
15061257,0,1,0,4,0
15061258,0,2,0,4,1
15061259,0,0,0,3,1
15061261,1,0,0,3,0
15061262,0,2,0,3,1
15061263,0,1,0,3,1
15061264,0,2,NA,2,1
15061265,0,0,1,3,0
15061270,1,0,0,2,0
15061271,1,0,0,3,0
15061273,0,0,1,3,0
15061274,0,2,1,4,1
15061277,0,1,2,3,1
15061279,1,0,1,4,0
15061281,1,1,1,2,0
15061283,0,1,1,4,1
15061286,1,0,0,3,0
15061288,1,1,1,2,0
15061289,1,1,1,2,0
15061290,2,1,0,3,0
15061291,1,0,1,4,2
15061293,1,2,1,4,0
15061295,1,2,0,4,0
15061296,0,0,0,3,1
15061297,0,0,1,4,1
15061298,0,0,0,2,1
15061300,0,0,1,4,1
15061301,0,0,0,2,1
15061302,1,1,1,4,1
15061303,0,1,0,4,1
15061305,0,1,0,3,0
15061307,0,0,1,2,0
15061312,1,0,1,4,2
15061313,1,0,0,2,0
15061314,1,0,0,4,0
15061317,0,2,0,3,1
15061320,1,2,0,2,0
15061323,0,1,1,2,0
15061324,1,0,0,2,0
15061327,1,0,0,3,0
15061329,1,0,1,4,1
15061330,2,3,1,3,0
15061331,1,2,0,3,0
15061335,1,0,0,4,1
15061336,2,0,0,4,1
15061340,0,0,0,3,1
15061342,0,1,1,4,1
15061344,1,2,1,2,0
15061345,1,0,0,3,0
15061346,1,0,0,2,0
15061347,1,2,0,4,0
15061349,0,1,1,3,1
15061352,1,1,0,4,1
15061353,0,1,1,4,1
15061355,0,1,1,4,1
15061360,0,1,1,4,1
15061364,0,1,1,4,1
15061365,1,1,1,2,0
15061367,1,1,1,2,0
15061368,1,0,0,2,0
15061369,1,0,0,2,0
15061370,1,0,0,3,0
15061377,1,0,0,3,0
15061378,1,0,0,4,1
15061380,1,2,0,4,0
15061382,0,1,1,2,0
15061383,0,1,1,4,1
15061384,0,0,0,3,1
15061385,0,0,0,3,1
15061386,1,0,0,2,0
15061388,0,0,1,3,0
15061389,1,1,0,4,1
15061390,1,1,0,4,1
15061392,0,2,0,4,0
15061394,0,2,0,3,1
15061396,0,2,0,3,1
15061404,1,1,0,4,1
15061406,0,1,1,4,1
15061410,1,1,1,2,0
15061411,1,1,1,2,0
15061414,1,1,0,4,1
15061415,0,2,0,2,0
15061417,1,1,0,4,1
15061418,1,1,0,4,1
15061419,0,0,0,3,1
15061420,1,2,0,2,0
15061421,1,0,0,3,0
15061422,0,0,0,4,0
15061423,0,0,0,4,0
15061424,0,2,0,4,1
15061425,1,0,0,3,0
15061430,1,0,0,3,0
15061434,0,2,0,2,0
15061435,2,1,0,4,1
15061436,0,0,0,3,0
15061437,2,0,0,2,0
15061438,1,1,0,4,1
15061439,2,0,0,2,0
15061441,0,0,1,4,1
15061442,1,1,1,3,0
15061443,0,0,0,3,0
15061444,1,1,0,3,0
15061445,0,0,1,4,1
15061447,0,0,NA,4,0
15061453,0,0,1,4,1
15061458,1,0,0,3,0
15061459,1,1,0,4,1
15061461,1,0,0,3,0
15061462,2,0,0,2,0
15061463,0,0,0,4,0
15061469,1,2,1,2,0
15061470,0,1,0,1,1
15061471,0,1,0,1,1
15061475,1,0,0,3,0
15061477,1,1,0,3,0
15061478,0,0,0,3,1
15061479,0,0,0,4,0
15061480,0,0,1,4,1
15061481,1,0,0,2,0
15061482,0,0,0,3,0
15061484,1,0,0,2,0
15061485,0,0,0,3,0
15061487,1,2,0,3,1
15061488,1,1,0,4,1
15061489,1,1,0,4,1
15061490,1,1,0,4,1
15061492,1,1,0,4,1
15061493,1,2,0,4,0
15061495,1,2,0,4,0
15061498,1,1,0,4,1
15061500,0,0,0,3,0
15061501,2,0,1,2,2
15061503,0,0,0,4,0
15061504,0,1,1,2,0
15061505,1,0,0,3,0
15061507,1,1,1,3,0
15061508,1,1,1,3,0
15061509,0,0,0,3,1
15061511,0,0,0,3,1
15061514,1,0,0,3,0
15061516,2,0,1,3,2
15061517,0,1,1,4,1
15061518,0,0,0,4,0
15061520,1,1,1,2,1
15061521,0,1,1,3,1
15061523,0,0,0,3,1
15061524,1,1,0,4,1
15061525,1,1,1,3,0
15061526,0,2,0,4,1
15061528,1,2,0,4,0
15061530,1,1,1,3,0
15061533,1,1,1,3,0
15061534,1,1,1,4,0
15061535,1,2,0,4,0
15061536,1,1,1,3,0
15061537,0,2,0,3,1
15061538,0,0,0,3,1
15061539,0,0,0,3,1
15061542,1,0,0,2,0
15061543,1,1,1,2,0
15061546,0,0,0,3,1
15061549,1,0,1,4,0
15061550,0,2,0,4,1
15061551,0,0,0,3,0
15061553,1,2,0,3,1
15061555,1,0,0,3,0
15061556,0,0,0,3,0
15061557,1,0,0,3,0
15061561,0,1,1,4,1
15061564,0,0,0,4,0
15061565,0,2,2,4,1
15061566,0,0,0,3,1
15061567,2,0,0,3,0
15061571,1,0,0,3,2
15061575,1,0,0,2,0
15061576,0,1,0,1,1
15061577,1,0,1,4,1
15061580,0,1,1,4,1
15061585,0,1,0,1,1
15061586,0,1,0,1,1
15061588,0,0,0,2,0
15061601,0,1,1,4,1
15061602,1,1,0,3,1
15061604,1,2,0,2,0
15061608,0,1,0,1,1
15061609,0,0,0,3,1
15061610,0,1,1,4,1
15061614,0,1,1,2,0
15061621,2,0,1,3,2
15061622,1,1,0,3,NA
15061626,1,1,2,4,1
15061627,1,0,0,4,1
15061628,0,0,0,3,1
15061629,0,2,0,3,1
15061630,1,1,1,4,0
15061632,0,1,1,2,0
15061633,0,1,0,3,0
15061638,1,0,0,3,0
15061639,2,2,1,3,1
15061640,0,1,1,3,1
15061641,2,2,1,2,1
15061642,1,0,0,3,0
15061645,0,1,1,3,1
15061646,0,2,0,3,1
15061649,2,3,0,2,1
15061650,0,1,0,3,0
15061651,1,1,1,3,0
15061653,1,0,0,3,0
15061654,0,1,1,2,0
15061658,0,1,1,2,0
