SAMPLES,c1_16542,c1_7871,c1_7872,c1_7874,c2_47202
15061942,3,2,3,1,2
15061763,4,2,3,1,3
15061801,3,3,4,0,4
15061494,4,4,4,0,4
15061613,3,3,3,0,4
15062137,4,4,4,0,4
15061319,4,3,3,1,3
15062142,4,3,4,0,4
15060320,3,3,3,1,2
15061768,3,4,4,0,4
15061522,3,4,4,0,4
15060081,4,3,3,1,3
15061656,4,4,4,0,4
15061759,4,4,4,0,4
15061928,4,3,3,1,1
15061454,4,2,2,0,4
15061605,3,3,3,0,4
15060087,3,4,4,0,4
15061619,4,4,4,0,4
15060090,2,2,2,1,3
15061731,4,4,4,0,4
15061655,4,3,3,1,4
15061661,3,3,3,0,4
15061499,4,3,3,1,3
15061647,4,3,3,1,3
15061612,3,3,4,0,4
15061742,4,3,3,1,3
15061710,3,3,3,1,3
15062372,4,3,3,1,3
15061583,3,3,3,0,4
15061767,4,3,3,1,3
15062130,4,4,4,0,4
15061637,4,3,3,1,3
15061337,4,3,3,1,3
15062104,4,3,3,1,3
15061579,3,3,4,0,3
15061932,4,2,4,0,4
15061603,3,4,4,0,4
15060025,4,3,3,1,3
15061704,4,3,3,1,3
15061334,4,4,4,0,4
15061631,3,3,3,1,3
15060964,4,4,4,0,4
15061778,4,4,4,0,4
15061718,4,2,2,0,4
15061486,3,4,4,0,4
15060214,4,2,3,0,4
15061333,4,3,3,1,2
15061962,4,2,4,0,4
15061624,3,4,4,0,4
15061282,3,3,3,0,4
15061529,3,1,2,2,2
15061935,4,2,4,0,4
15061568,4,4,4,0,4
15061491,4,4,4,0,4
15061318,4,4,4,0,4
15061361,4,3,3,1,3
15061515,4,3,3,0,4
15062123,4,3,3,1,3
15061358,4,3,3,1,3
15061428,4,3,3,1,3
15061496,3,4,4,0,4
15061648,4,2,3,1,3
15061808,3,3,4,0,4
15061600,4,4,4,0,4
15061730,3,3,3,1,3
15061623,4,3,3,1,3
15061405,3,3,3,0,4
15061299,3,3,3,0,4
15061578,4,3,3,1,3
15061476,3,3,4,0,4
15061765,3,1,2,2,2
15062111,4,2,3,1,3
15061397,3,4,4,0,4
15061713,4,3,3,1,3
15061584,2,3,4,0,4
15061912,4,1,4,0,4
15061260,4,3,3,1,3
15062099,4,4,4,0,4
15061350,4,3,3,1,3
15060933,1,4,4,0,4
15061548,4,4,4,0,4
15061348,4,3,3,1,3
15061560,4,3,3,0,4
15061544,3,4,4,0,4
15061449,4,2,2,0,4
15062348,4,3,3,1,3
15061916,4,3,3,1,2
15062138,3,4,4,NA,4
15061946,3,4,4,0,4
15061676,4,3,3,1,3
15060536,2,4,4,0,4
15061391,4,4,4,0,4
15061662,4,2,2,0,4
15061228,4,4,4,0,4
15061356,2,2,2,1,3
15061963,4,4,4,0,4
15061338,3,4,4,0,4
15062331,2,2,2,1,3
15062098,4,3,3,1,3
15062114,3,3,4,0,3
15062046,4,1,4,0,4
15062370,4,3,3,1,3
15061685,4,3,3,1,3
15061540,4,3,3,1,3
15061721,4,3,3,1,3
15062074,4,4,4,0,4
15062362,4,3,3,1,3
15061689,4,4,4,0,4
15061357,4,3,3,1,3
15061376,4,3,3,1,3
15061308,4,4,4,0,4
