SAMPLES,c1_4464,c1_7029,c1_7192,c1_7964,c2_32056
15061942,3,0,2,2,4
15061763,3,2,2,4,3
15061801,3,2,3,1,4
15061494,3,2,4,3,4
15061613,3,3,3,2,2
15062137,1,0,2,3,4
15061319,3,1,2,1,3
15062142,2,3,1,3,4
15060320,4,2,2,3,4
15061768,2,1,2,4,4
15061522,4,2,1,2,4
15060081,3,1,2,1,3
15061656,4,2,3,1,4
15061759,2,1,1,4,4
15061928,1,2,2,2,4
15061454,4,1,0,2,4
15061605,3,3,3,2,2
15060087,3,1,2,3,4
15061619,1,0,2,3,4
15060090,3,3,4,2,4
15061731,1,0,2,3,4
15061655,2,2,2,1,4
15061661,3,3,3,2,2
15061499,3,1,4,2,NA
15061647,3,1,2,1,3
15061612,3,3,2,4,3
15061742,3,1,4,2,NA
15061710,4,2,1,2,4
15062372,3,1,1,2,4
15061583,3,3,3,2,2
15061767,4,1,2,1,3
15062130,2,1,2,3,4
15061637,3,1,2,1,3
15061337,2,1,2,3,4
15062104,3,2,2,2,4
15061579,2,1,4,3,4
15061932,3,0,3,3,4
15061603,3,1,2,3,4
15060025,3,1,2,1,3
15061704,3,1,2,1,3
15061334,1,1,1,3,4
15061631,4,2,1,2,4
15060964,1,1,4,2,4
15061778,1,0,2,3,4
15061718,4,1,0,2,4
15061486,3,4,2,3,4
15060214,3,0,4,3,3
15061333,3,2,0,1,4
15061962,3,0,3,3,4
15061624,3,1,2,3,4
15061282,3,3,3,2,2
15061529,4,0,0,2,3
15061935,3,0,3,3,4
15061568,2,1,1,3,4
15061491,1,0,2,3,4
15061318,2,1,2,4,3
15061361,2,1,2,3,4
15061515,4,0,2,3,2
15062123,3,1,4,2,NA
15061358,3,1,2,1,3
15061428,3,1,1,2,4
15061496,2,1,2,3,4
15061648,2,2,3,2,4
15061808,3,2,3,1,4
15061600,3,0,4,3,4
15061730,3,1,2,1,4
15061623,3,1,2,1,3
15061405,3,3,3,2,2
15061299,3,3,3,2,2
15061578,3,2,2,2,4
15061476,4,1,1,3,3
15061765,4,0,0,2,3
15062111,4,1,3,3,4
15061397,3,1,2,3,4
15061713,3,1,2,1,3
15061584,4,0,3,2,4
15061912,3,3,2,4,4
15061260,3,1,2,1,3
15062099,4,1,3,3,4
15061350,3,1,1,2,4
15060933,3,3,3,1,4
15061548,3,1,2,2,3
15061348,2,1,2,3,4
15061560,3,1,3,2,2
15061544,3,1,1,3,4
15061449,4,1,0,2,4
15062348,3,1,1,2,4
15061916,2,1,2,3,4
15062138,3,1,2,3,3
15061946,2,1,2,3,4
15061676,2,1,2,3,4
15060536,2,1,2,3,4
15061391,1,0,2,3,4
15061662,4,1,0,2,4
15061228,3,3,2,1,4
15061356,3,3,4,2,4
15061963,1,0,2,3,4
15061338,3,1,2,3,4
15062331,3,3,4,2,4
15062098,3,1,1,2,4
15062114,2,1,4,3,4
15062046,3,3,2,4,4
15062370,3,2,2,2,4
15061685,3,3,2,2,3
15061540,3,1,4,2,NA
15061721,1,2,3,4,4
15062074,4,0,3,1,4
15062362,2,1,2,3,4
15061689,1,0,2,3,4
15061357,3,2,2,2,4
15061376,3,1,1,2,4
15061308,1,0,2,3,4
