SAMPLES,c1_11124,c1_11459,c2_38952,c2_48033,c2_52898
15060021,0,3,2,2,2
15060027,0,4,4,0,2
15060039,1,3,1,1,1
15060042,0,2,2,2,2
15060050,0,3,2,1,1
15060056,0,2,4,0,0
15060063,0,3,3,1,2
15060070,1,2,3,1,3
15060072,1,3,3,0,2
15060082,0,4,2,1,1
15060085,0,4,3,0,2
15060097,1,3,2,0,2
15060101,0,4,4,1,2
15060102,0,4,4,1,1
15060110,1,2,3,1,3
15060112,0,4,4,1,2
15060114,0,3,2,0,1
15060120,0,3,2,1,2
15060121,1,4,3,1,2
15060122,0,3,2,1,1
15060138,0,4,4,2,3
15060160,0,3,2,2,2
15060187,0,4,2,0,1
15060188,1,2,3,1,2
15060190,0,4,4,0,3
15060191,0,4,4,0,2
15060215,0,3,2,0,1
15060313,0,3,1,0,1
15060345,0,4,4,0,1
15060383,0,3,1,0,1
15060420,0,4,4,0,1
15060543,1,4,3,0,0
15060570,0,4,4,0,0
15060797,0,4,4,0,0
15060846,0,3,2,1,1
15060907,0,3,4,1,0
15060909,1,3,3,1,1
15060910,0,3,3,1,3
15061007,0,3,4,0,1
15061011,0,4,4,0,1
15061122,0,3,2,1,1
15061204,0,4,4,0,0
15061213,1,3,1,1,1
15061215,1,3,1,1,1
15061216,0,3,4,0,1
15061225,0,3,2,0,1
15061226,0,4,4,0,1
15061237,1,4,3,0,0
15061256,0,3,4,0,1
15061257,1,4,2,1,0
15061258,0,3,4,1,2
15061259,1,2,3,1,3
15061261,0,4,4,0,1
15061262,0,4,4,1,2
15061263,0,4,4,1,2
15061264,0,NA,3,1,2
15061265,0,4,4,0,2
15061270,1,4,3,1,3
15061271,0,3,4,1,1
15061273,0,4,4,0,2
15061274,0,3,4,2,2
15061277,0,3,4,0,2
15061279,0,4,4,1,3
15061281,1,3,1,1,1
15061283,0,4,4,1,2
15061286,0,3,4,1,1
15061288,1,3,1,1,1
15061289,1,3,1,1,1
15061290,0,4,4,0,1
15061291,0,4,4,0,2
15061293,0,3,4,2,1
15061295,0,2,4,1,0
15061296,1,4,3,0,2
15061297,0,3,4,0,1
15061298,1,4,4,2,0
15061300,1,4,3,0,3
15061301,1,4,4,2,0
15061302,0,4,4,0,3
15061303,1,3,3,1,1
15061305,0,4,4,1,3
15061307,0,4,1,1,4
15061312,0,4,4,0,2
15061313,0,4,4,0,2
15061314,0,4,4,1,3
15061317,0,4,4,1,2
15061320,1,4,3,0,0
15061323,0,3,2,0,1
15061324,0,2,4,0,1
15061327,0,4,4,0,1
15061329,1,4,3,0,1
15061330,2,4,2,0,0
15061331,0,4,4,0,1
15061335,0,4,4,0,1
15061336,0,4,4,1,3
15061340,1,2,3,1,3
15061342,0,4,4,1,2
15061344,0,3,3,0,0
15061345,0,4,4,0,1
15061346,0,4,4,0,1
15061347,0,3,4,0,2
15061349,0,4,4,0,3
15061352,1,4,3,1,1
15061353,0,4,4,1,2
15061355,0,4,4,1,2
15061360,0,4,4,1,2
15061364,0,4,4,1,2
15061365,1,3,1,1,1
15061367,1,3,1,1,1
15061368,1,4,3,1,2
15061369,1,4,3,1,2
15061370,0,4,4,0,1
15061377,0,4,4,0,1
15061378,0,4,4,0,1
15061380,0,3,4,0,2
15061382,0,3,2,0,1
15061383,0,4,4,1,2
15061384,1,2,3,1,3
15061385,1,2,3,1,3
15061386,1,4,3,1,2
15061388,0,4,4,1,1
15061389,1,4,3,1,1
15061390,1,4,3,1,1
15061392,0,4,3,0,1
15061394,0,4,4,1,2
15061396,0,4,4,1,2
15061404,1,4,3,1,1
15061406,0,4,4,1,2
15061410,0,4,4,0,2
15061411,0,4,4,0,3
15061414,1,4,3,1,1
15061415,0,3,4,1,2
15061417,1,4,3,1,1
15061418,1,4,3,1,1
15061419,1,2,3,1,3
15061420,1,4,3,0,0
15061421,0,4,4,0,1
