SAMPLES,c2_26165,c2_26210,c2_2653,c2_35101,c2_50502
15060021,3,1,1,3,1
15060027,3,1,3,4,2
15060039,3,1,3,3,2
15060042,3,3,0,3,1
15060050,2,3,2,4,0
15060056,4,1,1,4,2
15060063,1,3,1,2,0
15060070,2,2,0,4,0
15060072,3,1,2,4,4
15060082,2,3,1,4,3
15060085,2,3,1,3,1
15060097,4,2,3,4,2
15060101,3,1,1,4,1
15060102,2,2,1,4,2
15060110,2,2,0,4,0
15060112,2,2,1,4,2
15060114,3,1,3,3,1
15060120,3,3,0,4,4
15060121,4,0,2,3,1
15060122,2,3,2,4,0
15060138,2,2,0,4,2
15060160,2,3,3,4,0
15060187,3,4,2,4,2
15060188,2,2,1,4,0
15060190,2,1,2,3,1
15060191,2,1,1,3,2
15060215,3,1,3,3,1
15060313,3,3,3,3,2
15060345,3,1,2,4,2
15060383,3,3,3,3,2
15060420,3,1,2,4,2
15060543,3,3,1,3,0
15060570,4,3,0,4,1
15060797,3,2,1,2,1
15060846,2,3,2,4,0
15060907,4,3,1,4,2
15060909,3,2,2,4,2
15060910,3,2,2,3,1
15061007,2,2,1,3,2
15061011,2,1,2,3,1
15061122,2,3,2,4,0
15061204,3,2,3,4,1
15061213,3,1,3,3,2
15061215,3,1,3,3,2
15061216,3,2,0,4,1
15061225,3,1,3,3,1
15061226,4,2,0,4,2
15061237,3,3,1,3,0
15061256,2,2,2,2,2
15061257,1,4,0,4,1
15061258,2,3,1,3,2
15061259,2,2,0,4,0
15061261,2,1,2,3,2
15061262,3,1,1,4,1
15061263,4,0,0,4,1
15061264,3,1,2,NA,1
15061265,3,1,1,4,2
15061270,1,2,1,4,2
15061271,2,2,2,3,1
15061273,3,1,1,4,2
15061274,4,1,1,4,2
15061277,4,2,3,3,3
15061279,1,2,2,3,2
15061281,3,1,3,3,2
15061283,2,2,1,4,1
15061286,2,2,2,3,1
15061288,3,1,3,3,2
15061289,3,1,3,3,2
15061290,2,2,2,3,1
15061291,2,2,0,4,1
15061293,1,2,0,2,2
15061295,3,1,1,1,2
15061296,2,2,0,4,1
15061297,2,2,2,2,2
15061298,1,3,1,4,0
15061300,2,1,0,3,2
15061301,1,3,1,4,0
15061302,1,3,2,4,0
15061303,3,2,2,4,2
15061305,3,3,0,4,0
15061307,1,3,2,3,1
15061312,2,2,0,4,1
15061313,2,1,1,3,2
15061314,3,2,1,3,2
15061317,3,1,1,4,1
15061320,1,4,2,4,1
15061323,3,1,3,2,1
15061324,1,3,1,4,2
