SAMPLES,c1_11920,c1_5940,c2_23251,c2_49812,c2_54586
15060021,1,1,0,2,1
15060027,1,1,0,2,2
15060039,1,1,2,2,1
15060042,1,1,0,2,1
15060050,1,2,0,1,1
15060056,3,1,1,2,1
15060063,0,0,3,2,1
15060070,1,0,0,2,2
15060072,3,1,0,1,2
15060082,2,0,0,4,0
15060085,0,1,0,3,0
15060097,2,0,0,0,3
15060101,2,1,0,1,2
15060102,1,1,1,2,2
15060110,1,0,0,2,2
15060112,1,1,0,2,2
15060114,0,1,1,1,3
15060120,1,0,2,3,1
15060121,2,1,0,2,2
15060122,1,2,0,1,1
15060138,1,1,0,2,3
15060160,1,3,0,2,1
15060187,1,0,0,3,0
15060188,1,0,0,2,2
15060190,2,1,2,2,2
15060191,0,1,1,2,1
15060215,0,1,1,1,3
15060313,2,0,2,0,2
15060345,0,0,2,0,4
15060383,2,0,2,0,2
15060420,0,0,2,0,4
15060543,1,0,1,2,1
15060570,0,1,1,0,2
15060797,1,3,1,2,1
15060846,1,2,0,1,1
15060907,1,2,2,2,2
15060909,2,0,1,1,2
15060910,1,1,1,0,3
15061007,1,1,2,2,1
15061011,2,0,2,2,2
15061122,1,2,0,1,1
15061204,2,1,2,2,0
15061213,1,1,2,2,1
15061215,1,1,2,2,1
15061216,3,0,0,2,1
15061225,0,1,1,1,3
15061226,1,1,1,0,1
15061237,1,0,1,2,1
15061256,2,2,0,1,2
15061257,0,0,2,0,2
15061258,2,0,1,2,2
15061259,1,0,0,2,2
15061261,2,0,2,2,2
15061262,2,1,0,1,2
15061263,1,0,0,2,2
15061264,1,1,0,1,2
15061265,2,1,0,1,3
15061270,0,1,0,3,1
15061271,1,0,0,1,3
15061273,2,1,0,1,3
15061274,0,0,1,0,3
15061277,1,0,1,1,2
15061279,0,0,1,0,4
15061281,1,1,2,2,1
15061283,1,1,0,2,2
15061286,1,0,0,1,3
15061288,1,1,2,2,1
15061289,1,1,2,2,1
15061290,2,1,0,0,3
15061291,1,0,1,1,3
15061293,2,1,1,1,3
15061295,2,0,1,1,3
15061296,0,0,1,3,1
15061297,2,2,0,1,2
15061298,2,0,0,1,3
15061300,1,1,1,3,1
15061301,2,0,0,1,3
15061302,0,1,1,2,2
15061303,2,0,1,1,2
15061305,2,1,0,3,1
15061307,1,2,0,2,0
15061312,1,0,1,1,3
15061313,0,1,1,2,1
15061314,0,1,2,1,3
15061317,2,1,0,1,3
15061320,1,2,0,2,1
15061323,0,1,1,1,3
15061324,1,1,1,1,2
15061327,2,0,2,2,3
15061329,1,1,1,1,3
15061330,1,0,0,2,2
15061331,1,0,1,1,3
15061335,2,1,1,2,2
15061336,0,1,0,1,3
15061340,1,0,0,2,2
15061342,1,1,0,2,2
15061344,0,1,1,3,1
15061345,0,0,2,0,4
15061346,0,0,2,0,4
15061347,1,1,0,1,3
15061349,1,1,0,2,2
15061352,1,0,1,1,3
15061353,1,1,0,2,2
15061355,1,1,0,2,2
15061360,1,1,0,2,2
15061364,1,1,0,2,2
15061365,1,1,2,2,1
15061367,1,1,2,2,1
15061368,1,1,0,2,2
15061369,2,1,0,2,2
15061370,0,0,2,0,4
15061377,2,0,2,2,2
15061378,2,1,1,2,2
15061380,1,1,0,1,3
15061382,0,1,1,1,3
15061383,1,1,0,2,2
15061384,1,0,0,2,2
15061385,1,0,0,2,2
15061386,2,1,0,2,2
15061388,1,1,0,2,2
15061389,1,0,1,1,3
15061390,1,0,1,1,3
15061392,2,0,1,2,2
15061394,2,1,0,1,2
15061396,1,1,0,1,2
15061404,1,0,1,1,3
15061406,1,1,0,2,2
15061410,1,1,2,0,4
15061411,0,1,0,3,1
15061414,1,0,1,1,3
15061415,1,0,0,0,3
15061417,1,0,1,1,3
15061418,1,0,1,1,3
15061419,1,0,0,2,2
15061420,1,2,0,2,1
15061421,3,0,2,2,2
15061422,1,0,0,1,3
15061423,1,0,0,1,3
15061424,1,0,1,2,2
15061425,0,0,2,0,4
15061430,0,0,2,0,4
15061434,1,0,0,0,3
15061435,1,1,0,2,2
15061436,1,0,0,0,4
15061437,0,2,0,3,1
15061438,1,0,1,1,3
15061439,0,2,0,3,1
15061441,2,1,1,3,1
15061442,0,1,0,3,1
15061443,1,0,0,0,4
15061444,1,2,0,3,1
15061445,1,1,1,3,1
15061447,1,0,0,1,3
15061453,2,1,1,3,1
15061458,0,0,2,0,4
15061459,1,0,1,1,3
15061461,0,0,2,0,4
15061462,0,2,0,3,1
15061463,1,0,0,2,3
15061469,0,1,1,3,1
15061470,1,2,0,1,1
15061471,1,2,0,1,1
15061475,2,0,2,2,2
15061477,1,2,0,3,1
15061478,1,0,0,2,2
15061479,1,0,0,1,3
15061480,2,1,1,3,1
15061481,0,1,1,2,1
15061482,1,0,0,0,4
15061484,0,1,0,3,1
15061485,1,0,0,0,4
15061487,1,1,1,3,1
15061488,1,0,1,1,3
15061489,1,0,1,1,3
15061490,1,0,1,1,3
15061492,1,0,1,1,3
15061493,1,1,0,1,3
15061495,1,1,0,1,3
15061498,1,0,1,1,3
15061500,1,0,0,0,4
15061501,0,0,2,2,1
15061503,1,0,0,1,3
15061504,0,1,1,1,3
15061505,1,0,0,1,3
15061507,0,1,0,3,1
15061508,0,1,0,3,1
15061509,1,1,1,2,2
15061511,1,1,1,2,2
15061514,2,0,2,2,2
15061516,0,0,2,2,1
15061517,1,1,0,2,2
15061518,1,0,0,2,3
15061520,1,1,1,2,2
15061521,1,1,0,2,1
