SAMPLES,c1_12152,c1_7964,c2_32056,c2_39191,c2_50324
15060021,4,2,4,3,1
15060027,4,3,4,4,4
15060039,3,4,4,4,4
15060042,4,2,4,4,3
15060050,3,2,4,2,3
15060056,3,0,3,4,1
15060063,4,4,4,4,2
15060070,4,3,4,4,3
15060072,3,2,3,3,3
15060082,4,4,3,4,4
15060085,4,2,4,3,3
15060097,3,3,4,4,1
15060101,3,3,2,2,3
15060102,3,2,3,3,2
15060110,4,3,4,4,3
15060112,4,3,4,4,4
15060114,4,2,2,3,4
15060120,4,2,4,4,3
15060121,4,1,3,4,4
15060122,3,2,4,2,3
15060138,4,2,4,4,3
15060160,3,2,4,2,3
15060187,4,2,3,4,2
15060188,4,2,4,4,3
15060190,4,2,4,4,4
15060191,4,2,NA,4,4
15060215,4,2,2,3,4
15060313,3,1,3,2,4
15060345,4,2,4,4,4
15060383,3,1,3,2,4
15060420,4,2,4,4,4
15060543,3,1,4,4,3
15060570,4,3,4,2,4
15060797,4,2,4,4,2
15060846,3,2,4,2,3
15060907,3,3,4,1,3
15060909,3,3,4,4,2
15060910,2,2,3,2,4
15061007,4,2,4,4,3
15061011,4,1,3,4,4
15061122,3,2,4,2,3
15061204,3,1,4,3,2
15061213,3,4,4,4,4
15061215,3,4,4,4,4
15061216,2,0,3,3,1
15061225,4,2,2,3,4
15061226,4,2,3,3,2
15061237,3,1,4,4,3
15061256,4,3,4,3,1
15061257,4,3,4,3,2
15061258,4,1,4,4,4
15061259,4,3,4,4,3
15061261,4,1,3,4,4
15061262,3,3,2,2,3
15061263,4,4,2,3,3
15061264,3,3,2,2,3
15061265,4,1,4,4,4
15061270,4,2,3,4,4
15061271,3,2,4,4,4
15061273,4,1,4,4,4
15061274,4,1,4,4,4
15061277,4,2,4,4,1
15061279,4,3,4,4,4
15061281,3,4,4,4,4
15061283,4,3,4,4,4
15061286,3,2,4,4,4
15061288,3,4,4,4,4
15061289,3,4,4,4,4
15061290,3,1,3,4,3
15061291,4,2,4,4,4
15061293,4,2,4,3,2
15061295,4,2,4,3,2
15061296,4,2,4,4,4
15061297,4,3,4,3,1
15061298,2,2,3,4,4
15061300,4,3,4,4,4
15061301,2,2,3,4,4
15061302,4,3,3,3,4
15061303,3,3,4,4,1
15061305,4,3,3,3,4
15061307,3,1,4,4,3
15061312,4,2,4,4,4
15061313,4,2,NA,4,4
15061314,4,2,4,4,4
15061317,3,3,2,2,3
15061320,1,0,3,4,4
15061323,4,2,2,3,4
15061324,3,2,3,2,2
15061327,4,1,3,4,4
15061329,4,2,4,4,4
15061330,4,2,2,3,3
15061331,4,2,4,4,4
15061335,4,2,4,3,4
15061336,4,3,3,4,4
15061340,4,3,4,4,3
15061342,4,3,4,4,4
15061344,3,3,4,4,3
15061345,4,2,4,4,4
15061346,4,2,4,4,4
15061347,4,3,4,3,2
15061349,4,3,4,3,4
