SAMPLES,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_7871,c1_7872,c1_7874,c1_8069,c2_10681,c2_1296,c2_12976,c2_14980,c2_22024,c2_23776,c2_32257,c2_4030,c2_47199,c2_47202,c2_48818,c2_53914,c2_686,c2_7401
15060021,1,3,3,4,2,3,3,3,3,1,4,3,0,1,2,1,4,4,3,1,3,0,3,1,1
15060027,1,4,3,3,2,3,3,4,4,0,3,2,0,0,0,3,4,4,2,0,4,0,2,3,1
15060039,2,3,3,2,0,3,3,3,4,0,4,4,0,2,2,0,3,3,2,1,4,0,3,2,0
15060042,2,3,4,2,1,3,2,3,3,1,1,3,0,2,2,1,3,4,2,1,3,0,2,3,0
15060050,2,2,3,1,0,4,1,2,2,1,3,4,0,2,3,2,1,3,2,1,3,0,2,1,0
15060056,2,3,4,2,2,3,0,4,4,0,4,4,2,2,0,1,3,4,2,0,4,0,3,0,0
15060063,2,3,3,1,0,3,3,2,2,2,4,4,0,2,1,2,3,3,3,0,3,1,2,1,0
15060070,2,3,4,2,0,4,3,4,4,0,4,4,0,2,0,0,4,4,0,0,4,2,1,3,0
15060072,1,4,4,3,1,3,3,2,2,2,4,3,0,3,2,3,1,3,3,3,2,0,4,1,2
15060082,2,3,4,0,0,2,3,3,4,0,4,4,0,2,2,0,4,4,1,0,4,0,2,3,1
15060085,0,4,4,3,1,2,1,2,2,2,3,3,0,2,2,3,4,4,2,1,3,1,1,2,1
15060097,1,3,3,2,0,3,2,1,3,0,2,2,2,2,1,2,2,3,2,2,4,1,4,2,0
15060101,2,4,4,3,2,3,2,3,3,0,4,2,0,2,1,1,3,3,2,0,4,1,3,2,1
15060102,1,3,4,2,2,2,1,1,2,2,4,4,0,2,NA,1,4,4,2,2,2,1,2,2,1
15060110,2,3,4,2,0,4,3,4,4,0,4,4,0,2,0,0,4,4,0,0,4,2,1,3,0
15060112,2,4,3,3,1,2,2,3,3,1,4,3,0,2,2,2,3,4,1,1,3,0,2,2,1
15060114,2,3,NA,3,2,1,2,3,3,0,3,3,0,2,1,3,1,4,2,0,4,1,3,3,0
15060120,4,2,4,1,0,2,2,4,4,0,4,4,0,1,2,0,4,4,1,0,4,0,1,4,0
15060121,1,4,3,2,1,3,2,3,3,1,4,3,0,2,2,2,4,4,1,1,3,0,2,1,1
15060122,2,2,3,1,0,4,1,2,2,1,3,4,0,2,2,2,1,3,2,1,3,0,2,1,0
15060138,3,3,3,2,0,3,3,4,4,0,4,4,1,2,0,0,4,4,2,2,4,0,2,3,0
15060160,2,2,3,2,0,4,2,2,3,1,3,4,0,2,3,2,1,3,2,2,3,0,2,2,0
15060187,2,4,3,3,1,3,3,3,3,1,2,4,0,1,1,1,3,3,2,1,3,1,3,3,1
15060188,2,3,4,2,0,4,3,4,4,0,4,4,0,2,0,0,3,4,1,0,4,2,1,3,0
15060190,2,4,4,3,1,3,2,3,3,1,4,3,0,2,2,2,3,4,2,1,3,1,3,2,1
15060191,1,4,4,2,1,2,1,3,3,1,4,3,0,1,2,1,2,4,2,1,3,0,2,4,0
15060215,2,3,NA,3,2,2,2,3,3,0,3,3,0,2,1,3,1,4,2,0,4,1,3,3,0
15060313,1,4,3,3,2,3,2,2,3,1,3,3,0,2,2,2,0,2,3,2,3,1,3,2,1
15060345,2,4,3,3,1,3,3,3,3,1,4,3,0,2,2,1,3,4,1,1,3,0,3,3,1
15060383,1,4,3,3,2,3,2,2,3,1,3,3,0,2,3,2,0,2,3,2,3,1,3,2,1
15060420,2,4,3,3,1,3,3,3,3,1,4,3,0,2,2,1,3,4,1,1,3,0,3,3,1
15060543,3,1,4,1,1,3,0,4,4,0,3,3,1,3,0,3,4,3,2,0,4,1,4,3,0
15060570,1,3,4,4,2,0,1,3,3,1,3,4,0,2,1,1,3,1,2,1,2,0,3,3,0
15060797,0,4,4,2,0,2,3,3,3,1,4,2,1,2,2,1,2,3,2,0,4,0,1,3,0
15060846,2,2,3,1,0,4,1,2,2,1,3,4,0,2,3,2,1,3,2,1,3,0,2,1,0
15060907,3,2,4,2,2,2,1,4,4,0,4,4,0,3,0,2,1,2,3,0,4,0,3,1,0
15060909,1,4,3,2,0,4,1,2,4,0,4,3,2,2,0,1,4,3,1,1,4,1,3,3,0
15060910,2,3,2,3,2,3,0,2,2,1,2,3,0,2,2,1,2,3,2,1,3,1,3,0,1
15061007,1,4,4,2,0,2,4,4,4,0,4,4,0,2,0,2,4,4,3,0,4,0,2,0,0
15061011,1,4,4,2,1,3,1,3,3,1,4,3,0,2,2,1,3,4,2,2,3,0,2,3,1
15061122,2,2,3,1,0,4,1,2,2,1,3,4,0,2,2,2,1,3,2,1,3,0,2,1,0
15061204,2,4,4,4,2,2,1,2,2,1,2,3,0,3,2,1,2,3,3,1,3,0,3,0,NA
15061213,2,3,3,2,0,3,3,3,4,0,4,4,0,2,2,0,3,3,2,1,4,0,3,2,0
15061215,2,3,3,2,0,3,3,3,4,0,4,4,0,2,2,0,3,3,2,1,4,0,3,2,0
15061216,3,3,4,4,3,3,1,3,3,1,4,3,1,3,0,2,4,4,2,1,3,0,3,0,0
15061225,2,NA,NA,3,2,2,2,3,3,0,3,3,0,2,1,3,2,4,2,0,4,1,3,3,0
15061226,1,3,4,3,1,2,1,4,4,0,4,4,0,1,0,2,3,1,3,0,4,0,3,3,0
15061237,3,1,4,1,1,3,0,4,4,0,3,3,1,3,0,3,4,3,2,0,4,1,4,3,0
15061256,1,4,4,3,1,1,0,4,4,0,3,4,2,2,0,2,3,4,2,0,4,1,2,1,2
15061257,2,2,4,1,1,2,2,4,4,0,2,3,1,3,0,3,3,3,2,0,4,1,3,2,0
15061258,2,3,4,2,0,1,2,3,3,1,3,4,0,1,3,2,3,3,1,1,3,0,3,3,1
15061259,2,3,4,2,0,4,3,4,4,0,4,4,0,2,0,0,4,4,0,0,4,2,1,3,0
15061261,1,4,4,2,1,3,1,3,3,1,4,3,0,2,2,1,3,4,2,2,3,0,2,3,1
15061262,2,4,4,3,2,3,2,3,3,0,4,2,0,2,1,1,3,3,2,0,4,1,3,2,1
15061263,3,4,4,4,2,2,2,4,4,0,4,2,0,2,0,1,3,3,3,0,4,1,3,3,1
