SAMPLES,c1_13006,c1_16534,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_513,c1_5837,c1_7871,c1_7872,c1_7874,c1_8069,c2_10681,c2_12976,c2_14980,c2_22024,c2_27270,c2_39029,c2_4030,c2_47202,c2_53914,c2_686
15060021,0,0,1,3,3,4,2,3,3,0,1,3,3,1,4,3,1,2,1,2,3,3,3,3,1
15060027,4,3,1,4,3,3,2,3,3,3,0,4,4,0,3,2,0,0,3,3,1,2,4,2,3
15060039,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15060042,2,2,2,3,4,2,1,3,2,2,0,3,3,1,1,3,2,2,1,3,1,2,3,2,3
15060050,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,3,2,3,2,2,3,2,1
15060056,4,0,2,3,4,2,2,3,0,4,1,4,4,0,4,4,2,0,1,2,1,2,4,3,0
15060063,2,0,2,3,3,1,0,3,3,4,0,2,2,2,4,4,2,1,2,4,3,3,3,2,1
15060070,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15060072,3,1,1,4,4,3,1,3,3,2,0,2,2,2,4,3,3,2,3,2,0,3,2,4,1
15060082,1,2,2,3,4,0,0,2,3,4,0,3,4,0,4,4,2,2,0,3,1,1,4,2,3
15060085,1,2,0,4,4,3,1,2,1,3,0,2,2,2,3,3,2,2,3,2,2,2,3,1,2
15060097,2,2,1,3,3,2,0,3,2,1,1,1,3,0,2,2,2,1,2,4,1,2,4,4,2
15060101,2,1,2,4,4,3,2,3,2,3,1,3,3,0,4,2,2,1,1,4,1,2,4,3,2
15060102,2,2,1,3,4,2,2,2,1,3,1,1,2,2,4,4,2,NA,1,2,1,2,2,2,2
15060110,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15060112,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15060114,2,2,2,3,NA,3,2,1,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15060120,0,3,4,2,4,1,0,2,2,3,0,4,4,0,4,4,1,2,0,4,1,1,4,1,4
15060121,1,1,1,4,3,2,1,3,2,4,1,3,3,1,4,3,2,2,2,3,3,1,3,2,1
15060122,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,2,2,3,2,2,3,2,1
15060138,0,2,3,3,3,2,0,3,3,1,0,4,4,0,4,4,2,0,0,4,1,2,4,2,3
15060160,3,2,2,2,3,2,0,4,2,3,0,2,3,1,3,4,2,3,2,3,2,2,3,2,2
15060187,1,2,2,4,3,3,1,3,3,2,1,3,3,1,2,4,1,1,1,4,2,2,3,3,3
15060188,2,2,2,3,4,2,0,4,3,2,NA,4,4,0,4,4,2,0,0,4,1,1,4,1,3
15060190,1,1,2,4,4,3,1,3,2,2,0,3,3,1,4,3,2,2,2,3,2,2,3,3,2
15060191,2,1,1,4,4,2,1,2,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15060215,2,2,2,3,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15060313,1,0,1,4,3,3,2,3,2,1,1,2,3,1,3,3,2,2,2,3,1,3,3,3,2
15060345,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15060383,1,0,1,4,3,3,2,3,2,1,1,2,3,1,3,3,2,3,2,3,1,3,3,3,2
15060420,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15060543,2,1,3,1,4,1,1,3,0,2,2,4,4,0,3,3,3,0,3,3,2,2,4,4,3
15060570,2,2,1,3,4,4,2,0,1,4,0,3,3,1,3,4,2,1,1,3,4,2,2,3,3
15060797,2,1,0,4,4,2,0,2,3,1,1,3,3,1,4,2,2,2,1,3,2,2,4,1,3
15060846,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,3,2,3,2,2,3,2,1
15060907,2,1,3,2,4,2,2,2,1,4,1,4,4,0,4,4,3,0,2,3,3,3,4,3,1
15060909,1,1,1,4,3,2,0,4,1,2,2,2,4,0,4,3,2,0,1,4,2,1,4,3,3
15060910,2,0,2,3,2,3,2,3,0,3,1,2,2,1,2,3,2,2,1,3,0,2,3,3,0
15061007,1,1,1,4,4,2,0,2,4,4,1,4,4,0,4,4,2,0,2,3,2,3,4,2,0
15061011,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061122,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,2,2,3,2,2,3,2,1
15061204,1,1,2,4,4,4,2,2,1,2,1,2,2,1,2,3,3,2,1,3,2,3,3,3,0
15061213,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061215,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061216,2,0,3,3,4,4,3,3,1,3,1,3,3,1,4,3,3,0,2,3,2,2,3,3,0
15061225,2,2,2,NA,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061226,1,1,1,3,4,3,1,2,1,4,0,4,4,0,4,4,1,0,2,2,3,3,4,3,3
15061237,2,1,3,1,4,1,1,3,0,2,2,4,4,0,3,3,3,0,3,3,2,2,4,4,3
15061256,2,2,1,4,4,3,1,1,0,3,1,4,4,0,3,4,2,0,2,3,1,2,4,2,1
15061257,1,1,2,2,4,1,1,2,2,1,0,4,4,0,2,3,3,0,3,3,1,2,4,3,2
15061258,2,2,2,3,4,2,0,1,2,2,1,3,3,1,3,4,1,3,2,3,1,1,3,3,3
15061259,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15061261,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061262,2,1,2,4,4,3,2,3,2,3,1,3,3,0,4,2,2,1,1,4,1,2,4,3,2
15061263,3,1,3,4,4,4,2,2,2,3,1,4,4,0,4,2,2,0,1,4,1,3,4,3,3
15061264,2,1,2,4,3,3,2,3,2,3,1,3,3,0,4,2,2,1,1,4,1,2,4,3,2
15061265,1,2,2,4,4,3,1,3,3,4,1,4,4,0,4,3,3,0,1,4,1,2,4,2,3
15061270,2,1,1,4,3,1,1,3,2,3,1,3,3,1,4,3,2,2,1,3,2,2,3,2,3
15061271,2,2,0,4,4,1,1,3,2,4,0,2,2,2,3,4,3,0,0,4,2,1,2,3,0
15061273,1,2,2,4,4,3,1,3,3,4,1,4,4,0,4,3,3,0,1,4,1,2,4,2,3
15061274,2,1,0,4,4,2,0,4,2,3,0,1,2,2,3,4,4,2,2,3,0,2,2,2,2
15061277,3,2,1,4,3,0,0,1,0,3,2,1,3,1,3,4,3,2,1,3,2,3,3,2,3
15061279,3,1,1,4,3,2,1,1,2,2,0,2,3,1,3,3,2,2,1,3,1,1,3,2,3
15061281,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061283,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061286,2,2,0,4,4,1,1,3,2,4,0,2,2,2,3,4,3,0,0,4,2,1,2,3,0
15061288,3,3,2,3,3,3,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061289,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061290,2,1,2,4,4,1,0,4,0,3,1,3,4,0,4,4,2,0,1,3,1,3,4,3,3
15061291,2,1,1,4,4,2,0,2,3,3,0,3,3,1,3,4,4,2,2,3,3,3,3,3,3
15061293,2,2,2,4,4,2,1,2,2,2,1,3,3,1,4,3,1,2,1,3,1,1,3,2,2
15061295,1,2,1,4,4,2,0,1,3,2,0,4,4,0,3,4,1,0,2,2,2,2,4,2,2
15061296,2,1,2,3,4,3,0,3,2,2,1,2,3,1,4,4,2,2,2,3,0,2,2,2,3
15061297,2,2,1,4,4,3,1,1,0,3,1,4,4,0,3,4,2,0,2,3,1,2,4,2,1
15061298,1,1,0,4,4,3,2,4,4,2,1,3,3,1,3,3,2,3,2,2,2,2,3,2,1
15061300,2,2,2,3,4,3,2,3,1,2,1,3,4,0,3,2,0,0,3,4,0,1,3,3,4
15061301,1,1,0,4,4,3,2,4,4,2,1,3,3,1,3,3,2,3,2,2,2,2,3,2,1
15061302,2,0,2,4,4,2,1,3,3,3,1,3,3,1,4,3,1,2,2,3,2,0,3,2,2
15061303,1,1,1,4,3,2,0,4,2,2,2,2,4,0,4,3,2,0,1,4,2,1,4,3,3
15061305,0,2,2,3,4,3,1,2,3,3,0,4,4,0,3,3,1,0,0,3,1,0,3,2,3
15061307,1,1,3,4,4,2,2,2,1,3,0,4,4,0,2,2,0,0,0,4,2,3,4,2,2
15061312,2,1,1,4,4,2,0,2,3,3,0,3,3,1,3,4,4,2,2,3,3,3,3,3,3
15061313,2,1,1,4,4,2,1,2,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15061314,2,0,1,4,3,3,1,3,2,4,1,2,3,1,4,3,3,2,1,3,0,1,3,3,0
15061317,2,1,2,4,4,3,2,3,2,3,1,3,3,0,4,2,2,2,1,4,1,2,4,3,2
15061320,1,1,0,4,4,2,2,2,1,3,0,3,3,0,3,4,3,1,2,2,1,3,4,3,0
15061323,2,2,2,3,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061324,0,1,0,4,3,3,2,3,3,2,2,3,4,0,2,2,3,0,3,2,0,3,3,2,1
15061327,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,1,1,3,1,2,3,2,3
15061329,2,2,0,4,3,3,0,2,2,3,1,3,3,1,4,4,2,2,2,2,2,3,3,2,1
15061330,1,1,2,3,3,3,3,3,4,1,2,2,3,0,4,2,1,1,2,3,0,2,4,4,2
15061331,3,2,2,3,4,2,0,4,2,3,1,2,3,1,3,4,4,2,2,2,1,1,3,2,2
15061335,2,1,1,4,4,2,1,3,4,3,0,4,4,0,4,3,2,0,2,4,2,3,4,1,2
15061336,2,2,2,4,3,1,1,2,4,2,1,3,4,0,3,3,1,0,0,4,2,1,4,2,3
15061340,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,2,3
15061342,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061344,1,3,3,4,2,2,1,3,2,2,0,4,4,0,3,3,2,0,3,4,1,1,4,2,1
15061345,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15061346,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15061347,1,1,1,3,4,4,1,1,2,1,0,4,4,0,4,4,2,0,3,2,1,2,4,2,3
15061349,2,0,1,4,3,2,1,3,2,3,1,3,4,0,4,3,2,0,2,4,0,1,4,1,2
15061352,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061353,2,2,2,4,3,3,1,2,2,1,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061355,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061360,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061364,2,2,2,4,3,3,1,2,2,1,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061365,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,2,2
15061367,3,3,2,3,3,2,0,3,3,0,0,3,4,0,4,4,2,2,0,3,2,2,4,3,2
15061368,1,1,1,4,3,2,1,3,2,4,1,3,3,1,4,3,2,2,2,3,3,1,3,2,1
